-----
{
 "description": "This data provides commodity head-wise index numbers of imports of the unit values and of quantum of imports from 2000-01 to 2011-12.", 
 "file_name": "INDEX_NUMBERS_OF_IMPORTS_OF_THE_UNIT_VALUES_AND_OF_QUANTUM_OF_IMPORTS_2.xls", 
 "title": "Index Numbers Of Imports Of The Unit Values And Of Quantum Of Imports From 2000-01 To 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/INDEX_NUMBERS_OF_IMPORTS_OF_THE_UNIT_VALUES_AND_OF_QUANTUM_OF_IMPORTS_2.xls"
}
-----
"Commodity Heads","  2001-02","  2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Machinery & transport Equipment",125.0,150.0,200.0,252.0,358.0,372.0,480.0,538.0,549.0,527.0,253.0
"Power-Generating Machinery & Equipment",123.0,129.0,172.0,206.0,303.0,370.0,500.0,355.0,412.0,478.0,435.0
"Machinery Specialized for Particular Industries",125.0,170.0,209.0,303.0,451.0,460.0,616.0,752.0,669.0,542.0,569.0
"Metalworking Machinery",72.0,88.0,172.0,210.0,256.0,379.0,478.0,631.0,492.0,571.0,851.0
"General Industrial Machinery & Equipment and machine Parts",116.0,140.0,179.0,220.0,297.0,315.0,482.0,622.0,591.0,597.0,782.0
"Office Machines & Automatic Data Processing Machines",126.0,163.0,160.0,218.0,281.0,354.0,340.0,554.0,565.0,627.0,100.0
"Telecommunications & Sound recording &  Reproducing Apparatus & Equipment",184.0,298.0,450.0,621.0,894.0,1028.0,740.0,1184.0,1291.0,1807.0,1753.0
"Electrical Machinery, Appartus & Appliances, and Electrical Parts Thereof",148.0,161.0,192.0,238.0,290.0,392.0,404.0,622.0,547.0,602.0,668.0
"Road Vehicles & Parts & Accessories",75.0,84.0,154.0,211.0,274.0,288.0,400.0,392.0,427.0,585.0,725.0
"Other Transport Equipment",121.0,226.0,357.0,393.0,869.0,912.0,1769.0,1592.0,1337.0,762.0,869.0
"Miscellaneous Manufactured Articles",133.0,134.0,143.0,159.0,202.0,236.0,222.0,313.0,341.0,338.0,379.0
"Professional, Scientific & Controlling Instruments & Apparatus",131.0,128.0,141.0,186.0,249.0,306.0,312.0,468.0,412.0,486.0,476.0
"Photographic Apparatus, Equipment & Supplies  & Optical Goods; Watches & Clocks",123.0,117.0,131.0,141.0,157.0,152.0,176.0,158.0,155.0,174.0,218.0
"Miscellaneous Manufactured Articles",156.0,167.0,167.0,185.0,233.0,301.0,253.0,374.0,396.0,356.0,523.0
"General Index",103.0,109.0,128.0,150.0,174.0,191.0,218.0,490.0,288.0,311.0,246.0
