-----
{
 "description": "This data provides district-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2011-12.", 
 "file_name": "DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls", 
 "title": "District-Wise Allocation / Release And Expenditure of NRDWP Fund For 2011-2012 ", 
 "url": "http://data.gov.in/sites/default/files/DISTRICT_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_11-12.xls"
}
-----
"State Name","District Name","Opening Balance (Rs. in Crores)","Allocation Total (Rs. in Crores)","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)","Expenditure Central (Rs. in Crores)","Expenditure State (Rs. in Crores)"
"ANDHRA PRADESH","WEST GODAVARI(05)",0.55,34.93,20.62,14.31,31.35,27.1,4.25,31.3,27.05,4.25
"ARUNACHAL PRADESH","StateHQ(ARUNACHAL PRADESH)",0.0,0.0,0.0,0.0,5.11,5.11,0.0,3.44,3.44,0.0
"ARUNACHAL PRADESH","ANJAW",0.0,5.05,5.05,0.0,7.23,6.67,0.56,7.23,6.66,0.56
"ARUNACHAL PRADESH","CHANGLANG",0.1,8.9,8.9,0.0,17.53,16.1,1.43,17.52,16.09,1.43
"ARUNACHAL PRADESH","DIBANG VALLEY",0.0,3.32,3.32,0.0,7.13,6.81,0.31,7.11,6.79,0.31
"ARUNACHAL PRADESH","EAST KAMENG",0.0,7.53,7.53,0.0,16.99,16.03,0.95,16.98,16.02,0.95
"ARUNACHAL PRADESH","EAST SIANG",0.0,7.74,7.74,0.0,15.73,14.58,1.15,15.73,14.58,1.15
"ARUNACHAL PRADESH","KURUNG KUMEY",0.0,7.32,7.32,0.0,13.52,10.97,2.55,13.49,10.93,2.55
"ARUNACHAL PRADESH","LOHIT",0.0,8.59,8.59,0.0,18.1,16.81,1.29,17.98,16.7,1.29
"ARUNACHAL PRADESH","LOWER DIBANG VALLEY",0.0,6.41,6.41,0.0,11.33,10.34,0.98,11.28,10.3,0.98
"ARUNACHAL PRADESH","LOWER SUBANSIRI",0.0,6.36,6.36,0.0,12.73,11.94,0.79,12.72,11.93,0.79
"ARUNACHAL PRADESH","PAPUM PARE (ITANAGAR)",0.0,22.48,22.48,0.0,23.67,22.54,1.13,23.67,22.54,1.13
"ARUNACHAL PRADESH","TAWANG",0.01,3.28,3.28,0.0,13.65,12.91,0.74,13.65,12.91,0.74
"ARUNACHAL PRADESH","TIRAP",0.0,8.95,8.95,0.0,16.29,15.01,1.28,16.28,15.0,1.28
"ARUNACHAL PRADESH","UPPER SIANG",0.0,5.9,5.9,0.0,12.64,11.81,0.84,12.63,11.79,0.84
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0.0,7.36,7.36,0.0,13.13,11.81,1.31,13.12,11.8,1.31
"ARUNACHAL PRADESH","WEST KAMENG",0.0,3.19,3.19,0.0,13.61,12.78,0.83,13.6,12.77,0.83
"ARUNACHAL PRADESH","WEST SIANG",0.0,9.11,9.11,0.0,16.88,15.53,1.34,16.85,15.51,1.34
"ASSAM","StateHQ(ASSAM)",0.0,0.0,0.0,0.0,175.86,154.84,21.02,175.83,154.81,21.02
"ASSAM","BAKSHA",0.0,0.0,0.0,0.0,10.76,10.76,0.0,10.75,10.75,0.0
"ASSAM","BARPETA",0.0,0.0,0.0,0.0,8.31,4.83,3.48,8.31,4.83,3.48
"ASSAM","BONGAIGAON",0.0,0.0,0.0,0.0,5.88,2.52,3.36,5.88,2.52,3.35
"ASSAM","CACHAR",0.0,0.0,0.0,0.0,38.69,29.46,9.23,38.69,29.46,9.23
"ASSAM","CHIRANG",0.0,0.0,0.0,0.0,6.97,6.97,0.0,6.97,6.97,0.0
"ASSAM","DARRANG",0.0,0.0,0.0,0.0,9.24,6.29,2.95,9.23,6.28,2.95
"ASSAM","DHEMAJI",0.0,0.0,0.0,0.0,5.91,4.83,1.08,5.91,4.83,1.08
"ASSAM","DHUBRI",0.0,0.0,0.0,0.0,9.07,6.85,2.22,8.84,6.62,2.22
"ASSAM","DIBRUGARH",0.0,0.0,0.0,0.0,10.28,7.33,2.95,10.28,7.33,2.95
"ASSAM","GOALPARA",0.0,0.0,0.0,0.0,9.95,5.33,4.62,9.95,5.33,4.62
"ASSAM","GOLAGHAT",0.0,0.0,0.0,0.0,24.46,20.46,4.0,24.38,20.38,4.0
"ASSAM","HAILAKANDI",0.0,0.0,0.0,0.0,36.31,26.06,10.24,36.3,26.06,10.24
"ASSAM","JORHAT",0.0,0.0,0.0,0.0,43.88,33.85,10.03,43.81,33.78,10.03
"ASSAM","KAMRUP",0.0,0.0,0.0,0.0,86.75,46.79,39.97,86.7,46.74,39.97
"ASSAM","KARBI ANGLONG",0.0,0.0,0.0,0.0,10.5,10.5,0.0,10.5,10.5,0.0
"ASSAM","KARIMGANJ",0.0,0.0,0.0,0.0,19.06,11.89,7.17,19.05,11.88,7.17
"ASSAM","KOKRAJHAR",0.0,0.0,0.0,0.0,14.65,14.65,0.0,14.64,14.64,0.0
"ASSAM","LAKHIMPUR",0.0,0.0,0.0,0.0,7.57,3.05,4.52,7.57,3.05,4.52
"ASSAM","MARIGAON",0.0,0.0,0.0,0.0,3.52,2.34,1.18,3.47,2.34,1.14
"ASSAM","NAGAON",0.0,0.0,0.0,0.0,17.4,12.7,4.7,17.4,12.7,4.7
"ASSAM","NALBARI",0.0,0.0,0.0,0.0,9.47,7.38,2.09,9.4,7.36,2.04
"ASSAM","NORTH CACHAR HILLS",0.0,0.0,0.0,0.0,3.3,3.3,0.0,3.3,3.3,0.0
"ASSAM","SIBSAGAR",0.0,0.0,0.0,0.0,14.02,11.0,3.03,13.95,10.93,3.03
"ASSAM","SONITPUR",0.0,0.0,0.0,0.0,24.96,16.19,8.77,24.96,16.19,8.77
"ASSAM","TINSUKIA",0.0,0.0,0.0,0.0,6.05,3.47,2.58,5.99,3.41,2.58
"ASSAM","UDALGURI",0.0,0.0,0.0,0.0,5.64,5.64,0.0,5.63,5.63,0.0
"BIHAR","StateHQ(BIHAR)",0.0,0.0,0.0,0.0,4.1,4.1,0.0,3.08,3.08,0.0
"BIHAR","ARARIA",0.0,4.26,3.04,1.21,12.0,7.33,4.68,10.27,6.26,4.02
"BIHAR","ARWAL",0.0,2.44,1.75,0.68,6.59,4.99,1.61,5.26,4.21,1.05
"BIHAR","AURANGABAD",0.0,5.98,4.42,1.55,17.37,12.73,4.63,14.49,10.81,3.69
"BIHAR","BANKA",0.0,7.17,3.97,3.19,13.55,9.67,3.88,10.05,7.6,2.46
"BIHAR","BEGUSARAI",0.0,12.02,5.83,6.19,23.44,13.94,9.5,20.41,11.6,8.81
"BIHAR","BHAGALPUR",0.0,19.34,15.03,4.3,45.03,37.1,7.93,36.12,29.29,6.83
"BIHAR","BHOJPUR(AARA)",0.0,8.4,7.18,1.21,14.56,12.67,1.89,9.28,8.34,0.94
"BIHAR","BUXAR",0.0,6.94,4.78,2.17,11.5,8.92,2.58,10.26,8.03,2.22
"BIHAR","DARBHANGA",0.0,4.0,3.33,0.67,6.45,5.71,0.74,6.17,5.43,0.74
"BIHAR","GAYA",0.0,11.91,9.49,2.42,33.31,30.12,3.19,27.46,24.56,2.9
"BIHAR","GOPALGANJ",0.0,1.03,0.93,0.1,2.55,2.2,0.36,2.51,2.2,0.31
"BIHAR","JAMUI",0.0,6.83,5.15,1.68,10.17,8.33,1.84,9.24,7.45,1.79
"BIHAR","JEHANABAD",0.0,5.52,4.19,1.33,11.02,9.36,1.66,7.58,6.7,0.88
"BIHAR","KAIMUR (BHABUA)",0.0,4.64,3.41,1.24,10.32,8.68,1.64,8.43,7.2,1.23
"BIHAR","KATIHAR",0.0,4.65,2.33,2.32,11.84,6.07,5.78,11.14,5.46,5.68
"BIHAR","KHAGARIA",0.0,3.53,2.68,0.85,11.26,6.32,4.94,8.72,5.87,2.85
"BIHAR","KISHANGANJ",0.0,5.02,2.59,2.43,12.14,4.15,7.99,9.49,3.8,5.69
"BIHAR","LAKHISARAI",0.0,3.74,2.85,0.89,11.42,8.68,2.74,9.43,7.18,2.25
"BIHAR","MADHEPURA",0.0,6.12,5.01,1.11,16.12,10.88,5.25,12.72,9.37,3.36
"BIHAR","MADHUBANI",0.0,4.94,3.09,1.85,11.75,7.42,4.33,10.4,6.74,3.66
"BIHAR","MUNGER",0.0,3.36,1.44,1.92,13.46,9.02,4.45,9.28,6.46,2.82
"BIHAR","MUZAFFARPUR",0.0,2.8,2.36,0.43,14.83,14.0,0.83,12.0,11.33,0.67
"BIHAR","NALANDA",0.0,13.52,8.97,4.55,35.39,28.46,6.93,29.29,24.0,5.29
"BIHAR","NAWADA",0.0,8.89,7.78,1.11,26.22,24.17,2.05,21.26,19.82,1.43
"BIHAR","PASHCHIM CHAMPARAN",0.0,2.7,1.82,0.88,9.71,7.86,1.85,6.85,5.66,1.19
"BIHAR","PATNA",0.0,13.06,7.23,5.83,35.28,23.33,11.95,28.27,18.14,10.12
"BIHAR","PURBA CHAMPARAN (MOTIHARI)",0.0,4.13,3.29,0.84,9.04,8.11,0.93,5.7,5.5,0.2
"BIHAR","PURNIA",0.0,11.5,5.73,5.77,21.73,11.63,10.1,20.66,10.79,9.87
"BIHAR","ROHTAS",0.0,8.61,7.5,1.11,18.36,16.25,2.11,13.22,12.18,1.04
"BIHAR","SAHARSA",0.0,3.35,1.64,1.71,7.9,5.0,2.9,6.53,4.28,2.25
"BIHAR","SAMASTIPUR",0.0,8.1,7.5,0.6,18.22,16.63,1.59,16.7,15.4,1.3
"BIHAR","SARAN",0.0,5.08,3.08,2.0,8.94,6.76,2.18,7.0,5.63,1.37
"BIHAR","SHEIKHPURA",0.0,2.99,2.26,0.74,8.86,7.83,1.03,7.77,6.83,0.94
"BIHAR","SHEOHAR",0.0,1.15,0.45,0.69,4.15,2.01,2.14,3.76,1.9,1.86
"BIHAR","SITAMARHI",0.0,2.61,1.32,1.29,7.62,5.86,1.76,5.84,4.54,1.29
"BIHAR","SIWAN",0.0,1.18,0.66,0.52,6.02,4.63,1.39,5.82,4.56,1.26
"BIHAR","SUPAUL",0.0,5.46,4.33,1.14,15.51,12.38,3.13,13.93,11.46,2.47
"BIHAR","VAISHALI",0.0,10.19,6.35,3.84,25.58,21.64,3.94,20.63,17.64,2.98
"CHANDIGARH","StateHQ(CHANDIGARH)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHANDIGARH","CHANDIGARH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","StateHQ(CHATTISGARH)",0.0,3.12,3.12,0.0,4.33,4.33,0.0,3.52,3.52,0.0
"CHATTISGARH","BALOD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","BALODA BAZAR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","BALRAMPUR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","BASTAR",0.42,0.97,0.5,0.47,31.82,14.58,17.24,28.94,11.76,17.18
"CHATTISGARH","BEMETARA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","BIJAPUR",1.32,1.49,1.32,0.17,4.58,2.4,2.18,5.16,2.98,2.17
"CHATTISGARH","BILASPUR",4.61,5.14,4.61,0.53,14.27,6.16,8.11,16.5,8.39,8.11
"CHATTISGARH","DANTEWADA",2.45,2.72,2.45,0.27,7.04,3.6,3.44,8.66,5.22,3.44
"CHATTISGARH","DHAMTARI",2.07,2.35,2.07,0.28,8.79,4.08,4.71,9.67,4.98,4.69
"CHATTISGARH","DURG",3.71,4.21,3.71,0.5,24.47,13.64,10.82,23.11,12.75,10.36
"CHATTISGARH","GARIYABAND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","JANJGIR-CHAMPA",3.24,3.59,3.24,0.35,13.0,6.55,6.45,12.03,5.62,6.41
"CHATTISGARH","JASHPUR",5.91,6.34,5.91,0.43,12.35,5.87,6.48,16.43,9.95,6.48
"CHATTISGARH","KANKER",4.43,4.73,4.43,0.3,6.0,3.14,2.86,9.7,6.84,2.86
"CHATTISGARH","KAWARDHA",3.77,4.07,3.77,0.3,8.24,3.93,4.3,8.75,4.47,4.28
"CHATTISGARH","KONDAGAON",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","KORBA",6.0,6.33,6.0,0.33,7.6,3.4,4.2,10.37,6.79,3.58
"CHATTISGARH","KORIYA",3.95,4.22,3.95,0.27,7.56,3.87,3.69,9.28,5.59,3.69
"CHATTISGARH","MAHASAMUND",1.39,1.69,1.39,0.3,8.44,4.05,4.39,7.67,3.31,4.36
"CHATTISGARH","MUNGELI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","NARAYANPUR",1.15,1.22,1.15,0.07,3.56,2.23,1.33,3.17,1.84,1.33
"CHATTISGARH","RAIGARH",6.15,6.62,6.15,0.47,15.11,6.88,8.23,19.31,11.42,7.89
"CHATTISGARH","RAIPUR",4.15,4.95,4.15,0.8,31.77,16.81,14.96,29.84,15.74,14.1
"CHATTISGARH","RAJNANDAGON",6.78,7.28,6.78,0.5,12.28,6.24,6.04,14.99,9.15,5.84
"CHATTISGARH","SUKMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","SURAJPUR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHATTISGARH","SURGUJA",6.53,7.33,6.53,0.8,20.18,9.3,10.88,21.3,10.79,10.51
"DADRA and NAGAR HAVELI","StateHQ(DADRA and NAGAR HAVELI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DADRA and NAGAR HAVELI","DADRA AND NAGAR HAVELI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DAMAN and DIU","StateHQ(DAMAN and DIU)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DAMAN and DIU","DAMAN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DAMAN and DIU","DIU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","StateHQ(DELHI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","CENTRAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","EAST   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","NEW DELHI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","NORTH   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","NORTH EAST   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","NORTH WEST   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","SOUTH  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","SOUTH WEST   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DELHI","WEST   ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GOA","StateHQ(GOA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GOA","NORTH GOA",0.0,4.92,2.46,2.46,2.32,1.16,1.16,2.32,1.16,1.16
"GOA","SOUTH GOA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"GUJARAT","StateHQ(GUJARAT)",0.0,17.67,17.67,0.0,656.42,15.3,641.13,656.42,15.3,641.13
"GUJARAT","AHMADABAD",0.76,83.3,6.3,77.0,48.41,8.66,39.75,28.27,7.72,20.54
"GUJARAT","AMRELI",0.09,16.22,3.12,13.1,24.31,0.47,23.84,11.19,0.29,10.9
"GUJARAT","ANAND  ",2.18,63.67,20.97,42.7,41.62,5.88,35.75,30.43,7.33,23.1
"GUJARAT","BANAS KANTHA",4.42,110.05,62.05,48.0,105.77,56.72,49.05,85.96,49.94,36.02
"GUJARAT","BHARUCH",0.58,28.13,2.19,25.94,44.01,26.32,17.69,28.69,13.0,15.69
"GUJARAT","BHAVNAGAR",0.46,32.55,2.85,29.7,42.73,2.77,39.96,15.99,1.51,14.48
"GUJARAT","DANG",2.21,10.27,4.72,5.55,41.37,16.63,24.74,9.12,2.71,6.4
"GUJARAT","DOHAD  ",2.09,49.85,14.7,35.15,47.05,22.05,25.0,44.94,21.5,23.44
"GUJARAT","GANDHINAGAR",1.06,28.68,11.53,17.15,29.52,20.88,8.64,27.88,19.9,7.98
"GUJARAT","JAMNAGAR",0.72,31.25,10.15,21.1,29.46,1.75,27.71,23.08,2.32,20.76
"GUJARAT","JUNAGADH",0.5,92.19,20.99,71.2,75.41,18.17,57.24,51.78,10.97,40.81
"GUJARAT","KACHCHH",0.64,89.1,45.9,43.2,173.89,98.14,75.75,65.12,20.11,45.01
"GUJARAT","KHEDA",0.63,49.14,18.03,31.11,30.57,4.78,25.79,23.85,4.56,19.28
"GUJARAT","MAHESANA",0.13,68.07,2.92,65.15,64.29,5.68,58.62,48.73,5.63,43.1
"GUJARAT","NARMADA  ",0.31,14.45,7.55,6.9,16.2,7.47,8.74,10.03,6.23,3.79
"GUJARAT","NAVSARI  ",0.84,31.62,23.12,8.5,30.34,8.82,21.52,16.49,5.4,11.09
"GUJARAT","PANCH MAHALS",4.99,81.29,14.69,66.6,72.52,6.81,65.71,45.22,10.67,34.56
"GUJARAT","PATAN  ",0.42,78.83,26.58,52.25,28.02,2.85,25.17,16.66,3.17,13.49
"GUJARAT","PORBANDAR  ",3.08,43.16,35.01,8.15,30.77,24.33,6.44,28.55,23.64,4.91
"GUJARAT","RAJKOT",2.67,86.77,6.02,80.75,106.34,32.5,73.84,62.0,8.66,53.35
"GUJARAT","SABAR KANTHA",7.6,78.66,12.66,66.0,40.44,12.39,28.05,36.64,16.94,19.7
"GUJARAT","SURAT",2.72,90.23,3.6,86.63,27.35,15.06,12.29,26.6,14.54,12.06
"GUJARAT","SURENDRANAGAR",0.94,45.82,41.37,4.45,19.04,9.77,9.28,19.08,8.23,10.85
"GUJARAT","TAPI",0.28,50.96,15.96,35.0,30.06,8.33,21.74,17.0,6.37,10.63
"GUJARAT","VADODARA",1.54,76.85,27.85,49.0,65.63,35.04,30.59,51.98,30.51,21.47
"GUJARAT","VALSAD",1.36,30.1,4.03,26.07,28.57,9.04,19.53,18.47,10.16,8.31
"HARYANA","StateHQ(HARYANA)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HARYANA","AMBALA",0.0,0.0,0.0,0.0,19.92,12.84,7.08,19.92,12.84,7.08
"HARYANA","BHIWANI",0.0,0.0,0.0,0.0,76.17,52.48,23.69,76.16,52.47,23.69
"HARYANA","FARIDABAD",0.0,0.0,0.0,0.0,11.82,8.85,2.97,11.46,8.85,2.61
"HARYANA","FATEHABAD ",0.0,0.0,0.0,0.0,25.33,13.9,11.43,25.33,13.9,11.43
"HARYANA","GURGAON",0.0,0.0,0.0,0.0,13.94,9.37,4.57,13.73,9.37,4.36
"HARYANA","HISAR",0.0,0.0,0.0,0.0,32.9,26.55,6.34,32.67,26.52,6.15
"HARYANA","JHAJJAR ",0.0,0.0,0.0,0.0,41.27,28.38,12.89,41.26,28.37,12.89
"HARYANA","JIND",0.0,0.0,0.0,0.0,27.27,15.13,12.14,27.27,15.13,12.14
"HARYANA","KAITHAL",0.0,0.0,0.0,0.0,28.59,19.23,9.37,28.46,19.2,9.26
"HARYANA","KARNAL",0.0,0.0,0.0,0.0,12.4,8.71,3.69,12.4,8.71,3.69
"HARYANA","KURUKSHETRA",0.0,0.0,0.0,0.0,10.11,5.23,4.88,10.11,5.23,4.88
"HARYANA","MAHENDRAGARH",0.0,0.0,0.0,0.0,66.63,13.86,52.77,66.63,13.86,52.77
"HARYANA","MEWAT",0.0,0.0,0.0,0.0,11.5,4.31,7.19,11.11,4.31,6.8
"HARYANA","PALWAL",0.0,0.0,0.0,0.0,85.53,36.18,49.34,85.45,36.18,49.26
"HARYANA","PANCHKULA ",0.0,0.0,0.0,0.0,7.15,3.36,3.79,7.11,3.36,3.75
"HARYANA","PANIPAT",0.0,0.0,0.0,0.0,13.88,10.16,3.72,13.69,9.97,3.72
"HARYANA","REWARI",0.0,0.0,0.0,0.0,46.07,15.35,30.73,45.52,15.25,30.27
"HARYANA","ROHTAK",0.0,0.0,0.0,0.0,15.77,9.4,6.37,15.76,9.39,6.37
"HARYANA","SIRSA",0.0,0.0,0.0,0.0,17.89,9.82,8.07,17.03,8.96,8.07
"HARYANA","SONIPAT",0.0,0.0,0.0,0.0,22.98,12.84,10.14,22.98,12.84,10.14
"HARYANA","YAMUNANAGAR",0.0,0.0,0.0,0.0,35.28,30.0,5.28,35.25,30.0,5.25
"HIMACHAL PRADESH","StateHQ(HIMACHAL PRADESH)",1.48,1.65,1.48,0.0,1.53,1.53,0.0,1.55,1.55,0.0
"HIMACHAL PRADESH","BILASPUR",0.0,28.92,6.84,22.08,33.02,10.94,22.08,31.61,10.86,20.75
"HIMACHAL PRADESH","CHAMBA",0.0,13.3,3.41,9.89,16.25,6.35,9.89,14.59,6.13,8.45
"HIMACHAL PRADESH","HAMIRPUR",0.0,15.1,5.03,10.07,19.42,9.35,10.07,19.15,9.09,10.07
"HIMACHAL PRADESH","KANGRA",0.0,54.72,13.48,41.25,68.58,27.34,41.25,68.42,27.17,41.25
"HIMACHAL PRADESH","KINNAUR",0.0,4.59,0.0,4.59,2.87,0.57,2.3,0.0,0.0,0.0
"HIMACHAL PRADESH","KULLU",0.0,11.82,3.9,7.92,14.94,7.02,7.92,14.37,6.98,7.39
"HIMACHAL PRADESH","LAHUL AND SPITI",0.0,4.09,0.0,4.09,4.11,0.02,4.09,1.75,0.0,1.75
"HIMACHAL PRADESH","MANDI",0.0,39.76,18.73,21.03,52.19,31.16,21.03,51.61,30.73,20.88
"HIMACHAL PRADESH","SHIMLA",0.0,28.81,14.78,14.03,39.89,25.86,14.03,30.6,24.97,5.63
"HIMACHAL PRADESH","SIRMAUR",0.0,19.1,8.91,10.18,25.2,15.02,10.18,25.2,15.02,10.18
"HIMACHAL PRADESH","SOLAN",0.0,18.39,6.25,12.14,22.52,10.34,12.18,19.37,9.44,9.93
"HIMACHAL PRADESH","UNA",0.0,11.51,1.67,9.85,13.99,4.14,9.85,12.33,3.99,8.34
"JAMMU AND KASHMIR","StateHQ(JAMMU AND KASHMIR)",0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0
"JAMMU AND KASHMIR","ANANTNAG",0.0,0.0,0.0,0.0,36.52,33.42,3.1,35.76,32.81,2.94
"JAMMU AND KASHMIR","BANDIPORA",0.0,0.0,0.0,0.0,20.88,20.24,0.65,18.05,17.84,0.21
"JAMMU AND KASHMIR","BARAMULLA",0.0,0.0,0.0,0.0,50.24,42.16,8.08,46.19,38.32,7.88
"JAMMU AND KASHMIR","BUDGAM",0.0,0.0,0.0,0.0,35.04,30.19,4.85,33.66,29.47,4.19
