"Category","Items","Sub-Items","Andhra Pradesh 2012-13 AP","Arunachal Pradesh 2012-13 AP","Assam 2012-13 AP","Bihar 2012-13 AP","Chattishgarh 2012-13 AP","Goa 2012-13 AP","Gujarat 2012-13 AP","Haryana 2012-13 AP","Himachal Pradesh 2012-13 AP","Jammu & Kashmir 2012-13 AP","Jharkhand 2012-13 AP","Karnataka 2012-13 AP","Kerala 2012-13 AP","Madhya Pradesh 2012-13 AP","Maharashtra 2012-13 AP","Manipur 2012-13 AP","Meghalaya 2012-13 AP","Mizoram 2012-13 AP","Nagaland 2012-13 AP","Odisha 2012-13 AP","Punjab 2012-13 AP","Rajasthan 2012-13 AP","Sikkim 2012-13 AP","Tamilnadu 2012-13 AP","Tripura 2012-13 AP","Uttar Pradesh 2012-13 AP","Uttarakhand 2012-13 AP","West Bengal 2012-13 AP","Total - All States 2012-13 AP","Delhi 2012-13 AP","Puducherry 2012-13 AP","Total -  All States & Uts 2012-13 AP"
"State Government","State's Borrowings","Gross Borrowings - Bonds/Debentures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3
"State Government","State's Borrowings","Repayments - Total ",7313.42,158.24,985.11,3054.48,603.07,205.4,6452.0,1360.71,1930.31,1317.18,1547.47,3670.08,1725.61,2345.62,10557.22,130.08,81.25,72.39,380.42,1491.86,3397.0,2334.0,47.98,2720.14,276.53,4864.94,493.46,4944.64,64460.61,1300.0,178.7,65939.31
"State Government","State's Own Resources (incl. Borrowings) ","Total (1+2)",43041.62,223.76,2638.93,20826.41,16960.64,3987.2,37589.88,13470.71,-508.72,-3197.95,12326.27,31877.35,8016.25,21908.93,37200.37,66.43,840.55,53.32,-389.0,10444.66,4826.93,17868.0,262.99,22699.21,-669.06,37545.5,2719.39,12409.57,355040.14,13839.79,1580.0,370459.93
"State Government","Central Assistance( Grants)","3: Central Assistance( Grants)",5893.38,3311.24,7861.07,7173.59,2694.36,391.05,4410.12,1029.29,3858.72,10497.95,3973.73,3413.0,1665.75,6091.07,7799.63,3433.57,2698.45,2246.68,2689.0,4805.34,1944.56,3477.0,1614.01,3473.48,2919.06,12254.5,5125.61,7298.33,124043.54,1160.21,1420.0,126623.75
"State Government","Central Assistance( Grants)","Normal Central Assistance",703.56,1141.24,2811.79,1219.43,307.25,61.39,443.39,215.98,1390.27,2754.49,392.34,509.67,366.25,782.78,773.24,840.54,698.33,804.61,850.74,604.64,256.27,647.0,542.64,664.42,1186.62,2225.34,1372.54,1023.29,25590.05,281.75,504.1,26375.9
"State Government","Central Assistance( Grants)","ACA for EAPs",55.0,"",1145.53,0.0,67.0,0.0,0.0,0.0,491.28,328.5,0.0,123.92,"",320.35,57.03,100.0,450.0,86.76,79.2,216.0,"",254.0,130.5,153.44,46.0,28.97,1354.31,122.54,5610.33,60.21,800.0,6470.54
"State Government","Central Assistance( Grants)","Others",5134.82,2200.0,3903.75,5954.16,2320.11,329.66,3966.73,813.31,2014.55,7727.36,3581.39,2779.41,1299.5,4987.94,6969.36,2493.03,1604.62,1355.31,1773.24,3984.7,1688.29,2576.0,972.87,2655.62,1706.44,10000.19,2398.76,6152.5,93343.62,818.25,115.9,94277.77
"State Government","Central Assistance( Grants)","Advance SPA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"State Government","Central Assistance( Grants)","Installment of recovery of Advance SPA",0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38,312.4,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0.0,14.18,0.0,0.0,0.0,32.0,0.0,20.0,0.0,0.0,0.0,500.46,0.0,0.0,500.46
"State Government","State Government Resources","A: Total (1+2+3)",48935.0,3535.0,10500.0,28000.0,19655.0,4378.25,42000.0,14500.0,3350.0,7300.0,16300.0,35290.35,9682.0,28000.0,45000.0,3500.0,3539.0,2300.0,2300.0,15250.0,6771.49,21345.0,1877.0,26172.69,2250.0,49800.0,7845.0,19707.9,479083.68,15000.0,3000.0,497083.68
"Public Sector Enterprise (PSE)","Public Sector Enterprise (PSE)","Internal Resources",0.0,0.0,0.0,0.0,-2168.79,0.0,0.0,430.0,0.0,0.0,0.0,1210.0,605.0,0.0,26000.0,0.0,400.0,0.0,0.0,676.18,14.02,-10634.0,0.0,1237.97,0.0,8000.0,355.0,2264.79,28390.17,862.0,0.0,29252.17
"Public Sector Enterprise (PSE)","Public Sector Enterprise (PSE)","Extra Budgetary Resources",0.0,0.0,0.0,0.0,4464.49,6.0,9000.0,9520.0,350.0,0.0,0.0,5529.65,495.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.82,6031.49,21775.0,0.0,0.0,0.0,0.0,0.0,150.0,58645.45,0.0,0.0,58645.45
"Public Sector Enterprise (PSE)","Public Sector Enterprise (PSE)","Budgetary Support",0.0,0.0,0.0,0.0,314.28,252.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.23,689.94,0.0,0.0,689.94
"Public Sector Enterprise (PSE)","Public Sector Enterprise (PSE)","B: Total",0.0,0.0,0.0,0.0,2609.98,258.43,9000.0,9950.0,350.0,0.0,0.0,6739.65,1100.0,0.0,26000.0,0.0,400.0,0.0,0.0,2000.0,6045.51,11141.0,0.0,1237.97,0.0,8000.0,355.0,2538.02,87725.56,862.0,0.0,88587.56
"Local Bodies","Urban Local Bodies","Internal resources",0.0,0.0,0.0,0.0,0.0,20.01,0.0,1174.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,964.0,0.0,328.55,0.0,0.0,0.0,0.0,3169.88,0.0,0.0,3169.88
"Local Bodies","Urban Local Bodies","Extra Budgetary resources",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
"Local Bodies","Urban Local Bodies","Budgetary Support",0.0,0.0,0.0,0.0,805.12,12.71,0.0,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.99,2594.72,0.0,0.0,2594.72
"Local Bodies","Urban Local Bodies","Total Urban Local Bodies",0.0,0.0,0.0,0.0,805.12,32.72,0.0,1264.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,1014.0,0.0,328.55,0.0,0.0,0.0,1686.99,5814.6,0.0,0.0,5814.6
"Local Bodies","Rural Local Bodies","Internal resources",0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,260.79,0.0,0.0,0.0,0.0,1451.93,0.0,0.0,1451.93
"Local Bodies","Rural Local Bodies","Extra Budgetary resources",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Local Bodies","Rural Local Bodies","Budgetary Support",0.0,0.0,0.0,0.0,409.9,30.6,0.0,79.64,0.0,0.0,0.0,0.0,3228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.09,5725.23,0.0,0.0,5725.23
"Local Bodies","Rural Local Bodies","Total Rural Local Bodies",0.0,0.0,0.0,0.0,409.9,30.6,0.0,770.78,0.0,0.0,0.0,0.0,3228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,260.79,0.0,0.0,0.0,1977.09,7177.16,0.0,0.0,7177.16
"Local Bodies","Urban & Rural Local Bodies","C: Total (Rural + Urban) Local Bodies",0.0,0.0,0.0,0.0,1215.02,63.32,0.0,2035.0,0.0,0.0,0.0,0.0,3228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.0,1014.0,0.0,589.34,0.0,0.0,0.0,3664.08,12991.76,0.0,0.0,12991.76
"Public Sector & Local Bodies","PSEs & Local Bodies (B+C)","Total (PSEs & Local Bodies) (B+C)",0.0,0.0,0.0,0.0,3825.0,321.75,9000.0,11985.0,350.0,0.0,0.0,6739.65,4328.0,0.0,26000.0,0.0,400.0,0.0,0.0,2000.0,7228.51,12155.0,0.0,1827.31,0.0,8000.0,355.0,6202.1,100717.32,862.0,0.0,101579.32
"Aggregate Plan Resources (A+B+C)","Aggregate Plan Resources","Aggregate Plan Resources (SORs + PSEs + Local Bodies) (A+B+C)",48935.0,3535.0,10500.0,28000.0,23480.0,4700.0,51000.0,26485.0,3700.0,7300.0,16300.0,42030.0,14010.0,28000.0,71000.0,3500.0,3939.0,2300.0,2300.0,17250.0,14000.0,33500.0,1877.0,28000.0,2250.0,57800.0,8200.0,25910.0,579801.0,15862.0,3000.0,598663.0
