"River","Parameter",2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0
"Narmada, 1312*, 21#","Conductivity (µmhos/cm)","101-1124","102-1341","95-441","181-815","190-1746","188-682","244-1629","180-853","178-1930","194-727"
"Narmada, 1312*, 21#","DO(mg/I)","3.6-5.7","5.8-9.8","4.5-9.5","5.5-9.6","4.8-10.9","6.2-11","6.2-10.4","4.9-13","4.2-11.5","4.8-11"
"Narmada, 1312*, 21#","BOD(mg/I)","0.3-5.7","0.1-3.8","0.4-3.3","0.2-3.8","0.6-4.5","0.4-3.7","1.2-3.5","0.2-11.4","0.2-30","0.21-5.4"
"Narmada, 1312*, 21#","COD(mg/I)","10-66.6","6-47","7-29","NA","12-18.3","3-50","3-19.3","5.46","6-60","NA"
"Narmada, 1312*, 21#","Total Coliform(MPN/100 ml)","4-2400","9-2400","4-1600","3-2400","3-2400","3-2400","7-1600","0-2400","2-1600","4 - 11000"
"Narmada, 1312*, 21#","Faecal Coliform (MPN/100 ml)","2-64","2-64","1-110","2-15","2-210","0-39","0-15","0-140","0-90","0-4600"
"Godawari, 1465*, 35#","Temp (0C)","20-33","22-35","22-37","21-35","23-32","19-34","20-37","13-35","15-41","12-40"
"Godawari, 1465*, 35#","pH","6.9-8.8","7-9","7.1-8.7","6.5-9","6.7-9.1","6.65-9.11","5.9-8.9","5.2-9.6","6-9.2","5.4-8.9"
"Godawari, 1465*, 35#","Conductivity (µmhos/cm)","102-1240","111-1400","115-1350","86-1290","121-1300","75-691","126-918","114-3994","115-3169","91-1670"
"Godawari, 1465*, 35#","DO(mg/I)","1.2-11.5","3.1-10.9","3.2-9.3","2.4-9.2","0.8-8.7","1.1-9.6","3.2-7.5","1.2-11.3","3.2-12.3","1.8-14.2"
"Godawari, 1465*, 35#","BOD(mg/I)","0.5-66","0.5-78","1.7-53","0.2-15","0.5-20","1.2-32","0.2-36","0.2-20","0.0-26","0.3-60"
"Godawari, 1465*, 35#","COD(mg/I)","11.2-156","3-96","5-188","NA","4 -80","3-36","2-16","4 -24","0.4-64","NA"
"Godawari, 1465*, 35#","Total Coliform(MPN/100 ml)","70-1800","8-5260","70-68200","4-22x104","2-33x103","2-31x103","0-2200","3-28x103","5-1600","2-2400"
"Godawari, 1465*, 35#","Faecal Coliform (MPN/100 ml)","3-20","2-3640","3-1400","2-5x104","1-10x103","2-6x103","5-36x103","0-800","0-340","1-1600"
"Krishna, 1401*, 24#","Temp (0C)","18-37","18-33","18-35","18-38","24-37","15-40","13-38","17.3-39","18.4-41","17-39"
"Krishna, 1401*, 24#","pH","7-9","6.8-9.5","6.7-8.9","6.7-9","6.5-9.9","6.32-9.30","6.2-9.1","5.8-8.9","6.7-9.0","6.5-9.1"
"Krishna, 1401*, 24#","Conductivity (µmhos/cm)","75-1900","28-11050","36-40000","71-44000","69-43300","76-2580","69-23400","44-14290","75-19960","42-16720"
"Krishna, 1401*, 24#","DO(mg/I)","2.6-10","2.9-10.9","0.7-12.6","0.4-9.2","1.4-8.8","3.0-8.5","3.0-10","1.1-9.8","0-12.6","1.5-11.8"
"Krishna, 1401*, 24#","BOD(mg/I)","0.3-10.5","0.2-10","0.5-17","0.3-9","0.4-40","0.4-14.8","0.1-9.8","0.2-17.6","0.3-9.6","0-10"
"Krishna, 1401*, 24#","COD(mg/I)","7-72","3-88","10.5-68","NA","4 -44","4 -32.4","4 -48","4 -40","4.0-45","NA"
"Krishna, 1401*, 24#","Total Coliform(MPN/100 ml)","17-2400","17-33300","6-7x104","15-124x103","17-84x103","4 -86x103","0-71x103","8-16x103","8-170000","2-4000"
"Krishna, 1401*, 24#","Faecal Coliform (MPN/100 ml)","3-1600","3-1x103","2-2x104","3-28x103","1-34x103","1-6x103","0-1600","0-3x103","0-1400","0-1600"
"Cauvery, 800*, 29#","Temp (0C)","22-39","21-37","8-34","19-35","20-37","20-34","19-32","20-35","20-34","21-30"
"Cauvery, 800*, 29#","pH","7-8.9","2-9.2","7-9.2","6.6-9","6.2-9.5","7-9.3","6.5-8.8","6.5-8.8","6.5-8.9","6.5-8.9"
"Cauvery, 800*, 29#","Conductivity (µmhos/cm)","75-3460","31-53100","42-57200","35-39720","28-48700","26-1694","28-56500","27-28700","65-81800","18-8430"
"Cauvery, 800*, 29#","DO(mg/I)","0.0-17.9","0.1-12.6","2.1-13.5","3.3-9.9","0.3-9.8","2.7-8.9","0-12.4","0.6-14","1.5-10.3","0.4-12.2"
"Cauvery, 800*, 29#","BOD(mg/I)","0.1-48","0.1-26.6","0.2-10","1-9","1-12","1-6","0.1-38","0.1-23","0.1-17","0.1-27"
"Cauvery, 800*, 29#","COD(mg/I)","8-62","0-30","16-128","NA","16-96","8-24","8-45","10-45","12-48","NA"
"Cauvery, 800*, 29#","Total Coliform(MPN/100 ml)","20-16000","39-16x103","4-22x103","2-5x104","2-9500","90-3500","40-28x103","27-5400","7-9200","70-15000"
"Cauvery, 800*, 29#","Faecal Coliform (MPN/100 ml)","3-5000","2-28x103","2-4x103","2-17x103","1-3x103","3-1400","4-17x103","0-3500","2-5400","20-12000"
"Mahanadi, 851*, 22#","Temp (0C)","16-38","18-38","17-37","17-34","22-34","20-32","26-33","18-36","17-39","17-39"
"Mahanadi, 851*, 22#","pH","7-9","7.3-8.9","6.5-8.6","6.3-8.8","6.1-8.7","6.97-8.9","7.3-8.54","6.7-8.8","6.7-8.8","7.0-9.3"
"Mahanadi, 851*, 22#","Conductivity (µmhos/cm)","92-3100","27-15940","77-83600","105-20700","75-36279","113-34587","102-813","109-29400","103-48830","93-42350"
"Mahanadi, 851*, 22#","DO(mg/I)","5.1-8.8","1.3-10.4","4.7-10.1","4.4 -9.4","4.5-10","4.7-8.5","6.2-8.9","0.8-8.9","0.2-11","4.4-11"
"Mahanadi, 851*, 22#","BOD(mg/I)","1.5","1-7.6","0.3-5.6","0.2-4","0.2-16","0.2-3.8","1.2-3.6","0.2-4.6","0.2-7.1","0.2-14.3"
"Mahanadi, 851*, 22#","COD(mg/I)","6.6-50","7-39","10-70","NA","4 -150","20-40","2.8-30","3-87.4","3.2-28","NA"
"Mahanadi, 851*, 22#","Total Coliform(MPN/100 ml)","20-48000","15-30000","4 -35x103","3-92x103","3-92x103","14 -92x103","27-35x103","15-16x104","5-1600000","10-160000"
"Mahanadi, 851*, 22#","Faecal Coliform (MPN/100 ml)","23-23000","50-17000","50-28x103","27-24x103","78-54x103","68-54x103","700-17x103","310-54x103","110-160000","45-92000"
"Brahmaputra, 916*, 10#","Temp (0C)","17-33","15-32","14-32","15-34","NA","18-30","18-32","12-32","17-31","18-32"
"Brahmaputra, 916*, 10#","pH","7-8.4","6.5-9","6.4-8.4","5.2-9","5.9-7.6","6.9-8","5.9-7.9","6.1-8.1","6.1-8.1","6.5-8.1"
"Brahmaputra, 916*, 10#","Conductivity (µmhos/cm)","95-493","104 -684","77.570","91.445","20.408","55.485","76.645","75.460","69-303","49-371"
"Brahmaputra, 916*, 10#","DO(mg/I)","4-10.5","1.1-10.5","1.2-11.5","1.1-9.4","2-10.5","4.2-10.2","5.1-10","3.3-9.6","4.4-10.5","3.6-9.4"
"Brahmaputra, 916*, 10#","BOD(mg/I)","0.4-3.7","0.1-3.9","0.4-3.5","0.4-4.3","0.3-6.2","0.3-5.7","0.1-3.4","0.4 -5.4","0.3-5.4","0.6-6.3"
"Brahmaputra, 916*, 10#","COD(mg/I)","5-37.4","6-11","4.8-27.4","NA","NA","3-47.2","3.1-15.4","6.1-12.1","4.3-13.5","NA"
"Brahmaputra, 916*, 10#","Total Coliform(MPN/100 ml)","300-11x104","360-240000","360-24x104","360-24x104","","1-24x104","0-24x104","1-24x104","1-24000","0-3000"
"Brahmaputra, 916*, 10#","Faecal Coliform (MPN/100 ml)","300-24x104","30024000","300-24x104","300-24x104","150-24x104","300-24 x104","0-24x104","0-24x103","0-1100","0-360"
