-----
{
 "description": "This data provides state-wise allocation, release and expenditure of National Rural Drinking Water Programme (NRDWP) fund all over India for 2011-12.", 
 "file_name": "STATE_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_2011-12.xls", 
 "title": "State-wise Allocation / Release And Expenditure of NRDWP Fund: 2011-2012 ", 
 "url": "http://data.gov.in/sites/default/files/STATE_WISE_ALLOCATION_RELEASE_AND_EXPENDITURE_FOR_FY_2011-12.xls"
}
-----
"S.No.","State","Latest Reported Month Programme / Support","Opening Balance (Central)(01/04/2011)","Allocation Total (Rs. in Crores)
[Allocation Central + Allocation State]","Allocation Central (Rs. in Crores)","Allocation State (Rs. in Crores)","Release Total (Rs. in Crores)
[Release Central + Release State]","Release Central (Rs. in Crores)","Release State (Rs. in Crores)","Expenditure Total (Rs. in Crores)
[Expenditure Central + Expenditure State]","Expenditure Central (Rs. in Crores)","%age against the Central Fund [ Expenditure Central /(Opening Balance Central + Release Central] * 100","Expenditure State (Rs. in Crores)","Bank Interest","Other Deposits / Recoveries"
26.0,"NAGALAND","March / March",1.99,96.98,81.68,15.3,96.21,80.91,15.3,97.12,81.82,98.7,15.3,0.02,0.0
27.0,"SIKKIM","March / March",4.78,28.1,28.1,0.0,69.19,69.19,0.0,24.49,24.49,33.11,0.0,0.25,0.0
28.0,"TRIPURA","March / March",27.53,67.03,56.2,10.83,94.69,83.86,10.83,119.96,108.37,97.3,11.59,1.02,0.0
29.0,"ANDAMAN and NICOBAR","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,"CHANDIGARH","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,"DADRA and NAGAR HAVELI","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,"DAMAN and DIU","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,"DELHI","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,"LAKSHADWEEP","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,"PUDUCHERRY","- / -",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total","","",3902.09,17914.43,8330.0,9584.43,16405.27,8474.02,7931.21,15501.83,8934.86,72.19,6566.96,80.93,0.0
