-----
{
 "description": "This table contains data related to export of Ores and Minerals from 2008-09 to 2010-11 (excluding fuel, atomic and minor minerals).", 
 "file_name": "EXPORT_OF_ORES_AND_MINERALS.xls", 
 "title": "Export Of Ores And Minerals From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/EXPORT_OF_ORES_AND_MINERALS.xls"
}
-----
"Ore/Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"Chrome ore lumps","tonne",204313.0,827899.0,29784.0,192175.0,55711.0,855744.0
"Clay Others","tonne",337244.0,392298.0,93381.0,273221.0,50121.0,199490.0
"Coal (Excl. Lignite)","000 t",1656.0,3484645.0,2471.0,5208101.0,4327.0,11516365.0
"Lignite","000 t",11.0,186090.0,"NA",6397.0,"NA",9834.0
"Coke","tonne",1345534.0,7295252.0,127251.0,2057266.0,650394.0,9912439.0
"Coal Gas","tonne",21000.0,465624.0,8621.0,412734.0,0.0,0.0
"Cobalt (Ores & concs.)","tonne",522.0,125282.0,1.0,6.0,51.0,3733.0
"Copper ores & conc.","tonne",26613.0,397134.0,40422.0,286841.0,8187.0,370999.0
"Corundum (natural)","tonne",2312.0,9801.0,6807.0,34137.0,412.0,2527.0
"Diamond : Total","","NA",722606545.0,"NA",859420958.0,"NA",1179119264.0
"Diamond (mostly cut)","crt.",57960232.0,720920219.0,66090838.0,851256380.0,78994450.0,1176426881.0
"Diamond (industrial)","crt.",2484310.0,1185472.0,770352.0,1058591.0,923182.0,191097.0
"Diamond (powder)","'000 crt.",8637.0,500854.0,16961.0,7105987.0,27362.0,2501286.0
"Diatomite","tonne",725.0,4974.0,1146.0,11025.0,4558.0,40147.0
"Dolomite","tonne",18892.0,48338.0,18707.0,46616.0,22871.0,62679.0
"Earth clay","tonne",2170.0,13636.0,3305.0,18392.0,2521.0,13050.0
"Emerald (uncut & cut):Total","","NA",4800533.0,"NA",4826365.0,"NA",3775168.0
"  Emerald (uncut)","tonne",2.0,39954.0,1.0,320832.0,4.0,52311.0
"  Emerald (cut)","'000 crt.",6089.0,4760579.0,14213.0,4505533.0,17179.0,3722857.0
"Felspar (natural)","tonne",337664.0,924103.0,315549.0,1074155.0,342280.0,1156358.0
"Felspar (uncut & cut):Total","","NA",191202.0,"NA",50612.0,"NA",12842.0
"  Felspar (uncut)","tonne","NA",3848.0,"NA",115.0,"NA",301.0
"  Felspar (cut)","'000 crt.",1353.0,187354.0,358.0,50497.0,222.0,12541.0
"Fireclay","tonne",5590.0,19655.0,9315.0,23727.0,8975.0,22758.0
"Flint","tonne",1693.0,7102.0,940.0,2653.0,1688.0,6320.0
"Fluorspar","tonne",203.0,1730.0,2024.0,18121.0,345.0,3389.0
"Garnet (Abrasive)","tonne",252478.0,1939894.0,171420.0,1470702.0,209326.0,1571489.0
"Garnet (cut & uncut) : Total","","NA",76503.0,"NA",137014.0,"NA",18450.0
"  Garnet (uncut)","tonne","NA",42.0,"NA",1026.0,1.0,1193.0
"  Garnet (cut)","'000 crt.",101.0,76461.0,103.0,135988.0,260.0,17257.0
"Granite : Total","tonne",3958853.0,48149007.0,3827668.0,49937324.0,4369384.0,53841248.0
"  Granite (crude or roughly trimmed)","tonne",2641496.0,16334115.0,2598235.0,16165697.0,2829329.0,16529603.0
"  Granite (cut blocks/slabs)","tonne",379326.0,1995799.0,295794.0,2341327.0,353597.0,2354229.0
"  Granite (polished blocks/tiles)","tonne",308493.0,9606869.0,207505.0,6719493.0,392244.0,10721576.0
"  Granite(others)","tonne",629538.0,20212224.0,726134.0,24710807.0,794214.0,24235840.0
"Graphite (natural)","tonne",1909.0,91887.0,1048.0,81374.0,1070.0,69546.0
"Gypsum & plaster","tonne",209157.0,157652.0,100520.0,114300.0,100470.0,134338.0
"Iron ore: Total","000 t",68904.0,217253097.0,101531.0,283661742.0,46881.0,214159541.0
"Iron ore conc:Non Agglomated","000 t",1193.0,4396081.0,498.0,1276716.0,142.0,563698.0
"Iron ore Fines","000 t",58458.0,179843910.0,91045.0,255552349.0,43353.0,200653480.0
"Iron ore Lumps","000 t",8344.0,26009673.0,9701.0,26092192.0,3299.0,12366740.0
"Iron ore Pellates","000 t",909.0,7002286.0,287.0,739673.0,87.0,574835.0
"Iron ore Pyrites","000 t","NA",1147.0,"NA",812.0,"NA",788.0
"Kaolin","tonne",120418.0,477819.0,160935.0,490785.0,110117.0,408198.0
"Kieselgurh","tonne",4.0,43.0,123.0,1017.0,79.0,935.0
"Kyanite","tonne",219.0,1149.0,130.0,2315.0,28.0,381.0
"Lead ores & concs.","tonne",81095.0,5649354.0,36476.0,2434582.0,122200.0,10827976.0
"Lime stone","tonne",2122989.0,1255352.0,2405783.0,1537749.0,1040693.0,710924.0
"Magnesite : Total","tonne",12284.0,136358.0,10595.0,141740.0,22763.0,198972.0
"  Magnesia (fused)","tonne",758.0,7820.0,6.0,23.0,67.0,1638.0
"  Magnesite (not calcined)","tonne",459.0,6301.0,625.0,8425.0,891.0,13442.0
"  Magnesite (calcined)","tonne",75.0,785.0,38.0,671.0,169.0,2730.0
"  Magnesia :Dead-burnt","tonne",25.0,490.0,76.0,1390.0,3.0,88.0
"  Magnesium oxide","tonne",7640.0,82556.0,6139.0,78132.0,4448.0,61311.0
"  Magnesite (Others)","tonne",3327.0,38406.0,3711.0,53099.0,17185.0,119763.0
"Manganese ore : Total","tonne",205424.0,1206074.0,289468.0,1167004.0,117963.0,836888.0
"  Manganese ore (46% or more Mn)","tonne",4212.0,104668.0,3371.0,59208.0,16147.0,286225.0
"   Manganese ore (35% or more but below 46% Mn)","tonne",1344.0,7631.0,0.0,0.0,2250.0,7552.0
"   Manganese ore (30% or more  but below 35% Mn)","tonne",68122.0,506401.0,104737.0,402400.0,30858.0,147030.0
"   Manganese ore (Ferruginous, 10% or more  but b)","tonne",0.0,0.0,19700.0,54727.0,0.0,0.0
"   Manganese ore (others)","tonne",131746.0,587374.0,161660.0,650669.0,68708.0,396081.0
"Marble : Total","tonne",306545.0,3628602.0,275502.0,3045855.0,321293.0,3110107.0
"   Marble (dressed)","tonne",217874.0,2151093.0,211359.0,2003559.0,251567.0,2020044.0
"   Marble (others)","tonne",88671.0,1477509.0,64143.0,1042296.0,69726.0,1090063.0
"Mica : Total","tonne",191037.0,1802852.0,94216.0,1620533.0,125357.0,2220119.0
"  Mica (unmanufactured):Total","tonne",190427.0,1361696.0,93341.0,1319956.0,124796.0,1870866.0
"    Mica (blocks)","tonne",3311.0,94977.0,1400.0,71381.0,3008.0,107538.0
"    Mica (splittings)","tonne",2952.0,72596.0,2704.0,74207.0,1999.0,61712.0
"    Mica (powder)","tonne",72106.0,710212.0,62073.0,778727.0,85560.0,1254584.0
"    Mica (condenser films)","tonne",9.0,2280.0,0.0,0.0,8.0,515.0
"    Mica (waste & scrap)","tonne",112049.0,481631.0,27164.0,395641.0,34221.0,446517.0
" Mica (worked):Total","tonne",610.0,441156.0,875.0,300577.0,561.0,349253.0
"   Mica (cond. films,plates cuts NES)","tonne",1.0,1889.0,"NA",1307.0,4.0,2685.0
"   Mica (washers & discs)","tonne",29.0,20439.0,498.0,23229.0,55.0,60770.0
"   Mica (sheets & strips)","tonne",25.0,9263.0,8.0,4833.0,36.0,26602.0
"   Micanite & other built-up mica","tonne",12.0,7608.0,10.0,3894.0,13.0,4342.0
"   Mica (bricks)","tonne","NA",265.0,1.0,1289.0,100.0,1568.0
"   Mica worked (others)","tonne",543.0,401692.0,358.0,266025.0,353.0,253286.0
"Molybdenum Ores &Conc.","tonne",29784.0,162824.0,9056.0,33227.0,938.0,24570.0
"Niobium or tantalum ores&conc.","tonne",36.0,34325.0,10.0,13304.0,25.0,42652.0
"Natural gas","tonne",38074.0,1518657.0,9293.0,379069.0,27244.0,1191530.0
"Nickel ores & concs.","tonne",0.0,0.0,20.0,45.0,0.0,0.0
"Ochre:Total","tonne",12828.0,133324.0,8661.0,102014.0,9016.0,109290.0
"  Ochre(earth colours)","tonne",12109.0,111212.0,7556.0,75808.0,7476.0,75020.0
"  Ochre (persian red)","tonne",54.0,7855.0,20.0,1295.0,29.0,1626.0
"  Ochre (red oxide)","tonne",657.0,13634.0,1081.0,24621.0,1288.0,28284.0
"  Ochre (yellow ochre)","tonne",8.0,623.0,4.0,290.0,223.0,4360.0
"Petroleum (crude)","000 t",56.0,1397827.0,34.0,888968.0,1.0,548.0
"Precious&semi-prec.stones NES : Total","","NA",7791082.0,"NA",9658362.0,"NA",11074898.0
"   Precious & semi preci. stones (uncut)","tonne",25917.0,327091.0,43397.0,488554.0,10876.0,1383533.0
"   Precious &semi precious stones (cut)","'000 crt.",19637.0,7463991.0,121801.0,9169808.0,206165.0,9691365.0
"Precious metals and ores/conc.: Total","Kg.",69617500.0,777291.0,146202.0,68351.0,76625.0,22702.0
"   Gold ores & conc.","Kg.",20000.0,1021.0,7568.0,8121.0,2625.0,792.0
"   Precious metals ores& conc. (otrs)","Kg.",69556000.0,776251.0,138634.0,60230.0,74000.0,21910.0
"   Silver Ores/Conc.","Kg.",41500.0,19.0,0.0,0.0,0.0,0.0
"Quartz & Quartzite (natural)","tonne",185306.0,859700.0,256421.0,1092657.0,203363.0,1208710.0
"Quartz  (natural)","tonne",148661.0,629584.0,202138.0,831203.0,165532.0,932931.0
"Quartzite (natural)","tonne",36645.0,230116.0,54283.0,261454.0,37831.0,275779.0
"Rock phosphate (Total)","tonne",5408.0,27205.0,924.0,10138.0,711.0,4487.0
"Salts(other than common salt)","tonne",1001498.0,1487346.0,1545022.0,1955033.0,1886641.0,1803375.0
"Sand, excl. metal bearing","tonne",469008.0,339987.0,26932.0,88278.0,10305.0,124563.0
"Sand Stone","tonne",748753.0,4358769.0,632406.0,4387790.0,296796.0,3003688.0
"Silica sand","tonne",17164.0,182087.0,7478.0,30073.0,12267.0,145497.0
"Sillimanite","tonne",2013.0,11798.0,6708.0,21409.0,2325.0,26451.0
"Slate : Total","tonne",154017.0,2072052.0,125463.0,1980721.0,113466.0,1455831.0
"   Slate (worked)","tonne",40067.0,800754.0,38114.0,890963.0,19685.0,421097.0
"   Slate (others)","tonne",113950.0,1271298.0,87349.0,1089758.0,93781.0,1034734.0
"Steatite : Total","tonne",99520.0,650768.0,87870.0,618521.0,113411.0,800844.0
"   Steatite blocks","tonne",6418.0,38698.0,4602.0,24355.0,4122.0,24693.0
"   Steatite lumps","tonne",6930.0,32297.0,7915.0,44587.0,9674.0,43337.0
"   Steatite powder & others","tonne",86172.0,579773.0,75353.0,549579.0,99615.0,732814.0
"Sulphur (excl.sublimed,ppt& colloidal)","tonne",171160.0,3971228.0,124884.0,504615.0,167009.0,978329.0
"Tin ores & conc.","tonne",2.0,21.0,7.0,371.0,0.0,0.0
"Titanium ores & Concentrates: Total","tonne",226306.0,1872050.0,464947.0,2526109.0,1893721.0,9678965.0
"   Titanium ores&Conc.:Ilmenite","tonne",224884.0,1841826.0,463625.0,2506478.0,1886469.0,9517746.0
"   Titanium ores&Conc.:Rutile","tonne",933.0,24100.0,382.0,14399.0,3688.0,132424.0
"   Titanium  ores & Conc.(Other )","tonne",489.0,6124.0,940.0,5232.0,3564.0,28795.0
"Tripoli earth","tonne",25.0,391.0,0.0,0.0,0.0,0.0
"Tungsten ores &concs.","tonne",15915.0,56550.0,0.0,0.0,32.0,19244.0
"Vanadium ores &concs.","tonne",0.0,0.0,124.0,18554.0,"NA",1.0
"Vermiculite","tonne",1118.0,7861.0,1015.0,6398.0,1449.0,10442.0
"Witherite","tonne",155.0,1550.0,111.0,543.0,17.0,351.0
"Wollastonite","tonne",21413.0,220102.0,12880.0,153755.0,20151.0,230659.0
"Zinc ores &concs.","tonne",88387.0,2389172.0,191960.0,6167984.0,439265.0,18270707.0
"Zirconium ores &Conc.","tonne",25.0,692.0,8015.0,112724.0,31764.0,473254.0
"Other Minerals","tonne",752524.0,814178.0,372874.0,430820.0,702066.0,533801.0
