-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2010-11 (all figures are in Rs. Lakh) ", 
 "file_name": "spoutlay_1011_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/spoutlay_1011_ds.xls"
}
-----
"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-anticipated-expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-anticipated-expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-anticipated-expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-anticipated-expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-anticipated-expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-anticipated-expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-anticipated-expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-anticipated-expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-anticipated-expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-anticipated-expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-anticipated-expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-anticipated-expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-anticipated-expenditure","MP-Approved-Outlay","MP-Revised-Outlay-anticipated-expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-anticipated-expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-anticipated-expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-anticipated-expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-anticipated-expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-anticipated-expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-anticipated-expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-anticipated-expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-anticipated-expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-anticipated-expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-anticipated-expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-anticipated-expenditure","UP-Approved-Outlay","UP-Revised-Outlay-anticipated-expenditure","Uttrakhand-Approved-Outlay","Uttrakhand-Revised-Outlay-anticipated-expenditure","WB-Approved-Outlay","WB-Revised-Outlay-anticipated-expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-anticipated-expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-anticipated-expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-anticipated-expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-anticipated-expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-anticipated-expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-anticipated-expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-anticipated-expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-anticipated-expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-anticipated-expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-anticipated-expenditure"
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","11. Cooperation",5046.76,5023.42,799.0,440.14,1132.0,1832.0,23735.79,33576.08,12819.07,12819.07,"","",5407.0,5407.0,9400.0,9400.0,173.0,173.0,1582.0,1582.0,4500.0,4500.0,24043.0,42352.0,4250.0,4250.0,11080.0,11080.0,3239.0,3239.0,220.0,220.0,550.0,550.0,600.0,642.0,473.0,473.0,8106.0,8105.0,865.0,504.0,1000.0,6489.0,137.37,137.37,37077.59,53696.0,745.79,583.18,4480.0,4480.0,3576.17,3576.17,13064.0,13064.0,178101.54,228193.43,341.0,341.0,10.0,10.0,3.0,3.0,12.0,12.0,0.0,0.0,900.0,900.0,5400.0,3167.0,6666.0,4433.0,184767.54,232626.43
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (a) Agiculture marketing",0.0,0.0,30.0,105.0,0.0,0.0,0.0,0.0,1810.75,1810.75,0.1,0.1,710.0,710.0,0.0,0.0,0.0,0.0,1102.4,1102.4,3358.0,3358.0,655.0,325.0,"","",7158.62,7158.62,0.0,0.0,4.0,4.0,300.0,300.0,0.0,0.0,"","",342.0,342.0,0.0,0.0,12620.0,10000.0,0.0,0.0,0.0,0.0,549.39,898.99,0.0,0.0,0.0,0.0,10480.26,10480.26,39120.52,36595.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,388.0,315.0,388.0,39435.52,36983.12
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (b) Others",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,31000.0,0.0,0.0,0.0,0.0,31200.0,31200.0,1600.0,1600.0,11270.0,11270.0,17011.48,17011.48,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,4249.0,4249.0,400.0,400.0,8865.0,8865.0,27458.43,27458.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116360.0,160000.0,0.0,0.0,"","",249413.91,293053.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,650.0,0.0,0.0,650.0,650.0,250063.91,293703.91
"I","2010-11","AGRICULTURE & ALLIED ACTIVITIES","Total - (I) ",146904.94,135593.673,11137.0,11194.62,66619.0,64825.0,119323.72,111411.71,138502.58,138502.58,9872.5,9872.5,206280.0,206280.0,80910.0,80910.0,22343.0,27545.92,28474.68,28474.68,49849.0,49849.0,219547.0,209272.0,67755.0,67755.0,131012.89,131012.89,227377.0,227377.0,6560.79,7775.36,21154.0,21154.0,22959.95,25291.32,16390.0,16390.0,72637.43,75220.53,31748.08,50834.39,126814.7,161610.66,4762.43,4762.43,143793.17,159610.0,18489.22,16004.01,315758.0,341238.0,41543.19,41543.19,90486.21,90486.21,2439005.48,2511796.673,5444.0,5444.0,47.0,47.0,607.0,607.0,795.0,795.0,0.0,0.0,3475.0,3475.0,18104.3,13400.0,28472.3,23768.0,2467477.78,2535564.673
"II","2010-11","RURAL DEVELOPMENT","1. Special Programme for Rural Development ",281828.11,285741.44,435.0,445.74,87887.0,86027.0,1125.0,1100.0,2255.5,2255.5,680.0,680.0,14825.76,14825.76,10405.0,10405.0,1428.0,1428.0,1801.21,1801.21,1500.0,1500.0,3577.0,774.0,13793.0,13793.0,42517.52,42517.52,51709.0,51709.0,563.75,563.75,800.0,800.0,2000.0,934.34,132.0,132.0,3670.0,3170.0,3348.6,2712.5,4899.98,34735.4,284.35,284.35,0.0,274344.0,28.54,21.37,5079.0,3227.0,0.0,0.0,1150.0,1150.0,537723.32,837077.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,10.0,10.0,110.0,110.0,537833.32,837187.88
"II","2010-11","RURAL DEVELOPMENT","2. Rural Employment: (a) Swaranjyanti Gram Swarozgar Yojana (SGSY)",0.0,0.0,148.34,125.0,0.0,0.0,10100.0,7500.0,2417.86,2417.86,0.0,0.0,1706.98,1706.98,0.0,0.0,689.0,689.0,689.73,689.73,4000.0,4000.0,2405.0,6828.0,0.0,0.0,4949.02,4949.02,"","",131.99,131.99,200.0,200.0,0.0,0.0,84.0,84.0,2000.0,2200.0,0.0,0.0,2250.0,2550.0,0.0,0.0,0.0,0.0,721.47,360.44,14850.0,12000.0,0.0,0.0,6515.0,6515.0,53858.39,52947.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,53907.39,52947.02
"II","2010-11","RURAL DEVELOPMENT","2. Rural Employment: (b) Sampoorna Gram  Rozgar Yojana (SGRY)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,6860.64,6860.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,7385.64,7385.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,1.0,128.0,7386.64,7513.64
"II","2010-11","RURAL DEVELOPMENT","2. Rural Employment: (c)  National Food for Work Programme/NEGP",0.0,0.0,825.0,800.0,0.0,0.0,28122.19,12346.19,25622.35,25622.35,0.0,0.0,11600.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,14483.0,14483.0,0.0,0.0,58453.0,58453.0,36145.0,36145.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,10000.0,15000.0,0.0,0.0,40000.0,31500.0,0.0,0.0,0.0,0.0,4265.0,2259.59,39990.0,49990.0,0.0,0.0,17125.0,17125.0,298130.54,286824.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,298130.54,286825.13
"II","2010-11","RURAL DEVELOPMENT","2. Rural Employment: (d) Others (To be specified)",33268.0,33456.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,418.0,9500.0,9500.0,0.0,0.0,8870.0,8870.0,0.0,0.0,17200.0,17200.0,"",0.0,0.0,0.0,18450.0,18450.0,28255.0,28255.0,4209.0,4209.0,70.0,70.0,480.0,621.66,2890.0,2890.0,0.0,0.0,7800.0,4300.0,5460.0,7902.42,0.0,0.0,210561.69,0.0,1.63,1.27,2000.0,1000.0,39637.42,39637.42,12000.0,12000.0,401100.74,188810.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,15300.0,0.0,0.0,10.0,0.0,15310.0,15300.0,416410.74,204110.77
"II","2010-11","RURAL DEVELOPMENT","2. Rural Employment: Sub-Total",33268.0,33456.0,1003.34,955.0,0.0,0.0,38222.19,19846.19,28040.21,28040.21,418.0,418.0,23306.98,23306.98,0.0,0.0,9559.0,9559.0,7550.37,7550.37,31200.0,31200.0,16888.0,21311.0,0.0,0.0,81852.02,81852.02,64400.0,64400.0,4340.99,4340.99,1770.0,1770.0,480.0,621.66,2974.0,2974.0,12000.0,17200.0,7800.0,4300.0,47710.0,41952.42,0.0,0.0,210561.69,0.0,4988.1,2621.3,56840.0,62990.0,39637.42,39637.42,35665.0,35665.0,760475.31,535967.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,15300.0,0.0,0.0,60.0,129.0,15360.0,15429.0,775835.31,551396.56
"II","2010-11","RURAL DEVELOPMENT","3. Land Reforms",755.0,7093.2,875.0,874.12,1323.0,773.0,11201.27,6101.27,1054.85,1054.85,503.0,503.0,18904.5,18904.5,1501.5,1501.5,529.0,529.0,2300.0,2300.0,1500.0,1500.0,150.0,350.0,1000.0,1000.0,5370.0,5370.0,6410.0,6410.0,50.0,50.0,300.0,300.0,400.0,399.0,247.0,247.0,10090.0,8800.0,0.0,0.0,7097.97,928.52,5.0,5.0,0.0,0.0,93.37,87.33,10.0,7.0,0.0,0.0,3372.0,3372.0,75042.46,68460.29,453.0,453.0,0.0,0.0,6.0,6.0,41.0,41.0,0.0,0.0,0.0,0.0,70.0,70.0,570.0,570.0,75612.46,69030.29
"II","2010-11","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (a) Community Development & Panchayts",9512.0,9512.0,1154.0,1174.12,12224.0,12224.0,7204.41,9970.95,2665.75,2665.75,3563.0,3563.0,54556.0,54556.0,"","",5350.0,5391.86,2200.0,2200.0,1800.0,1800.0,46036.0,41936.0,16880.0,16880.0,68058.3,68058.3,13500.0,13500.0,201.42,201.42,1050.0,1050.0,0.0,0.0,2906.0,2906.0,71.7,77.7,0.0,0.0,42200.07,50247.07,2713.63,2713.63,51706.83,31630.0,2721.2,2773.2,125200.0,124900.0,7394.62,7394.62,0.0,0.0,480868.93,467325.62,4400.0,4400.0,500.0,500.0,558.0,558.0,823.0,823.0,1003.0,1003.0,0.0,0.0,6650.01,4800.0,13934.01,12084.0,494802.94,479409.62
"II","2010-11","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (b) Other Programmes of Rural Development",37328.0,37328.0,4348.0,4410.0,0.0,0.0,42000.0,42000.0,3761.95,3761.95,666.0,666.0,18500.0,18500.0,58676.0,58676.0,"",0.0,0.0,0.0,107700.0,107700.0,49223.0,49502.0,0.0,0.0,512.5,512.5,0.0,0.0,5340.0,5340.0,5850.0,5850.0,2037.0,2013.0,527.0,527.0,105.0,105.0,60153.2,77084.38,2455.15,850.0,4966.43,4966.43,0.0,0.0,16.31,8.09,78533.0,72375.0,0.0,0.0,92185.0,92185.0,574883.54,584360.35,384.0,384.0,0.0,0.0,226.0,226.0,0.0,0.0,0.0,0.0,300.0,300.0,419.0,444.0,1329.0,1354.0,576212.54,585714.35
"II","2010-11","RURAL DEVELOPMENT","4. Other Rural Development Programmes: Sub-Total",46840.0,46840.0,5502.0,5584.12,12224.0,12224.0,49204.41,51970.95,6427.7,6427.7,4229.0,4229.0,73056.0,73056.0,58676.0,58676.0,5350.0,5391.86,2200.0,2200.0,109500.0,109500.0,95259.0,91438.0,16880.0,16880.0,68570.8,68570.8,13500.0,13500.0,5541.42,5541.42,6900.0,6900.0,2037.0,2013.0,3433.0,3433.0,176.7,182.7,60153.2,77084.38,44655.22,51097.07,7680.06,7680.06,51706.83,31630.0,2737.51,2781.29,203733.0,197275.0,7394.62,7394.62,92185.0,92185.0,1055752.47,1051685.97,4784.0,4784.0,500.0,500.0,784.0,784.0,823.0,823.0,1003.0,1003.0,300.0,300.0,7069.01,5244.0,15263.01,13438.0,1071015.48,1065123.97
"II","2010-11","RURAL DEVELOPMENT","TOTAL - II",362691.11,373130.64,7815.34,7858.98,101434.0,99024.0,99752.87,79018.41,37778.26,37778.26,5830.0,5830.0,130093.24,130093.24,70582.5,70582.5,16866.0,16907.86,13851.58,13851.58,143700.0,143700.0,115874.0,113873.0,31673.0,31673.0,198310.34,198310.34,136019.0,136019.0,10496.16,10496.16,9770.0,9770.0,4917.0,3968.0,6786.0,6786.0,25936.7,29352.7,71301.8,84096.88,104363.17,128713.41,7969.41,7969.41,262268.52,305974.0,7847.52,5511.29,265662.0,263499.0,47032.04,47032.04,132372.0,132372.0,2428993.56,2493191.7,5237.0,5237.0,500.0,500.0,790.0,790.0,864.0,864.0,16303.0,16303.0,400.0,400.0,7209.01,5453.0,31303.01,29547.0,2460296.57,2522738.7
"III","2010-11","SPECIAL AREAS PROGRAMMES"," SPECIAL AREAS PROGRAMMES",2500.0,2500.0,10950.0,11777.4,114128.0,113146.78,75249.0,102822.28,38726.53,38726.53,1152.6,1152.6,14200.0,14200.0,2700.0,2700.0,1647.0,1647.0,35697.9,35697.9,46193.0,46193.0,27932.0,58694.0,7678.0,7678.0,71161.0,71161.0,29091.0,29091.0,2119.0,2912.0,5615.0,5615.0,7125.0,7837.0,15430.0,15430.0,117655.0,158685.0,0.0,0.0,35847.5,9923.5,3599.0,3599.0,17758.0,17758.0,12863.5,10347.5,99632.0,105159.0,0.0,0.0,89347.21,89347.21,885997.24,963800.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885997.24,963800.7
