-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juveniles apprehended under cognizable crime under Indian Penal Code (IPC) and Special & Local Laws (SLL).", 
 "file_name": "JUVENILES_APPREHENDED_UNDER_COGNIZABLE_CRIME_IPC_SLL.xls", 
 "title": "All India And State-wise Juveniles Apprehended Under Cognizable Crime ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILES_APPREHENDED_UNDER_COGNIZABLE_CRIME_IPC_SLL.xls"
}
-----
"State/U.T","Year","Indian Penal Code (IPC) - Boys","Indian Penal Code (IPC) - Girls","Indian Penal Code (IPC) - Total ","Special and Local Laws (SLL) - Boys ","Special and Local Laws (SLL) - Girls","Special and Local Laws (SLL) - Total"
"Chandigarh",2009.0,133.0,1.0,134.0,1.0,0.0,1.0
"D. & N.Haveli",2009.0,26.0,0.0,26.0,0.0,0.0,0.0
"Daman and Diu",2009.0,2.0,0.0,2.0,0.0,1.0,1.0
"Delhi",2009.0,576.0,8.0,584.0,2.0,0.0,2.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,75.0,4.0,79.0,2.0,0.0,2.0
"Total 2010",2010.0,26160.0,1311.0,27471.0,2603.0,229.0,2832.0
"Andhra Pradesh",2010.0,1806.0,57.0,1863.0,72.0,14.0,86.0
"Arunachal Pradesh",2010.0,80.0,1.0,81.0,0.0,0.0,0.0
"Assam",2010.0,361.0,22.0,383.0,2.0,0.0,2.0
"Bihar",2010.0,691.0,2.0,693.0,49.0,0.0,49.0
"Chhattisgarh",2010.0,2057.0,71.0,2128.0,228.0,0.0,228.0
"Goa",2010.0,70.0,6.0,76.0,1.0,0.0,1.0
"Gujarat",2010.0,1520.0,168.0,1688.0,351.0,82.0,433.0
"Haryana",2010.0,797.0,39.0,836.0,68.0,3.0,71.0
"Himachal Pradesh",2010.0,196.0,10.0,206.0,12.0,0.0,12.0
"Jammu & Kashmir",2010.0,20.0,7.0,27.0,0.0,0.0,0.0
"Jharkhand",2010.0,71.0,25.0,96.0,5.0,3.0,8.0
"Karnataka",2010.0,157.0,23.0,180.0,24.0,0.0,24.0
"Kerala",2010.0,779.0,22.0,801.0,25.0,0.0,25.0
"Madhya Pradesh",2010.0,5707.0,321.0,6028.0,401.0,20.0,421.0
"Maharashtra",2010.0,5573.0,311.0,5884.0,488.0,16.0,504.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,110.0,0.0,110.0,8.0,0.0,8.0
"Mizoram",2010.0,68.0,8.0,76.0,11.0,29.0,40.0
"Nagaland",2010.0,46.0,0.0,46.0,7.0,0.0,7.0
"Orissa",2010.0,515.0,12.0,527.0,17.0,0.0,17.0
"Punjab",2010.0,215.0,11.0,226.0,18.0,2.0,20.0
"Rajasthan",2010.0,2118.0,105.0,2223.0,155.0,0.0,155.0
"Sikkim",2010.0,66.0,0.0,66.0,7.0,9.0,16.0
"Tamil Nadu",2010.0,1077.0,14.0,1091.0,516.0,37.0,553.0
"Tripura",2010.0,30.0,15.0,45.0,1.0,0.0,1.0
"Uttar Pradesh",2010.0,767.0,14.0,781.0,70.0,1.0,71.0
"Uttarakhand",2010.0,148.0,0.0,148.0,6.0,0.0,6.0
"WestBengal",2010.0,242.0,35.0,277.0,48.0,12.0,60.0
"A. & N.Islands",2010.0,21.0,4.0,25.0,1.0,0.0,1.0
"Chandigarh",2010.0,166.0,0.0,166.0,2.0,0.0,2.0
"D. & N.Haveli",2010.0,19.0,0.0,19.0,0.0,0.0,0.0
"Daman and Diu",2010.0,9.0,0.0,9.0,0.0,1.0,1.0
"Delhi",2010.0,619.0,4.0,623.0,4.0,0.0,4.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,39.0,4.0,43.0,6.0,0.0,6.0
"Total 2011",2011.0,29234.0,1532.0,30766.0,2675.0,446.0,3121.0
"Andhra Pradesh",2011.0,2363.0,61.0,2424.0,46.0,4.0,50.0
"Arunachal Pradesh",2011.0,91.0,2.0,93.0,0.0,0.0,0.0
"Assam",2011.0,411.0,13.0,424.0,3.0,0.0,3.0
"Bihar",2011.0,1005.0,60.0,1065.0,61.0,0.0,61.0
"Chhattisgarh",2011.0,2106.0,72.0,2178.0,336.0,178.0,514.0
"Goa",2011.0,105.0,9.0,114.0,16.0,27.0,43.0
"Gujarat",2011.0,1812.0,156.0,1968.0,421.0,121.0,542.0
"Haryana",2011.0,726.0,32.0,758.0,74.0,2.0,76.0
"Himachal Pradesh",2011.0,228.0,8.0,236.0,22.0,0.0,22.0
"Jammu & Kashmir",2011.0,15.0,3.0,18.0,3.0,0.0,3.0
"Jharkhand",2011.0,306.0,58.0,364.0,43.0,4.0,47.0
"Karnataka",2011.0,327.0,40.0,367.0,9.0,0.0,9.0
"Kerala",2011.0,838.0,5.0,843.0,42.0,0.0,42.0
"Madhya Pradesh",2011.0,5089.0,406.0,5495.0,296.0,3.0,299.0
"Maharashtra",2011.0,6064.0,353.0,6417.0,330.0,23.0,353.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2011.0,122.0,2.0,124.0,4.0,0.0,4.0
"Mizoram",2011.0,54.0,0.0,54.0,42.0,9.0,51.0
"Nagaland",2011.0,42.0,1.0,43.0,3.0,0.0,3.0
"Orissa",2011.0,594.0,18.0,612.0,16.0,0.0,16.0
"Punjab",2011.0,185.0,8.0,193.0,22.0,0.0,22.0
"Rajasthan",2011.0,2363.0,82.0,2445.0,94.0,3.0,97.0
"Sikkim",2011.0,63.0,0.0,63.0,14.0,1.0,15.0
"Tamil Nadu",2011.0,1383.0,17.0,1400.0,632.0,51.0,683.0
"Tripura",2011.0,74.0,18.0,92.0,0.0,0.0,0.0
"Uttar Pradesh",2011.0,1084.0,46.0,1130.0,69.0,5.0,74.0
"Uttarakhand",2011.0,80.0,3.0,83.0,3.0,0.0,3.0
"WestBengal",2011.0,510.0,45.0,555.0,52.0,13.0,65.0
"A. & N.Islands",2011.0,8.0,0.0,8.0,0.0,0.0,0.0
"Chandigarh",2011.0,155.0,0.0,155.0,4.0,0.0,4.0
"D. & N.Haveli",2011.0,21.0,1.0,22.0,0.0,0.0,0.0
"Daman and Diu",2011.0,14.0,0.0,14.0,0.0,2.0,2.0
"Delhi",2011.0,925.0,9.0,934.0,8.0,0.0,8.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,71.0,4.0,75.0,10.0,0.0,10.0
