-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on juvenile delinquency under Special And Local Laws (SLL).", 
 "file_name": "JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls", 
 "title": "All India And State-wise Juvenile Delinquency Under Special And Local Laws ", 
 "url": "http://data.gov.in/sites/default/files/JUVENILE_DELINQUENCY_UNDER_SPECIAL_AND_LOCAL_LAWS_SLL.xls"
}
-----
"State/U.T","Year","Arms Act","Narcotic Drugs and psycho Substances Act","Gambling Act","Excise Act","Prohibition Act","Explosive and Explosive Substances Act","Immoral Traffic (Prevention) Act","Indian Railways Act","Other Crimes","Total"
"Uttarakhand",2009.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,69.0,74.0
"WestBengal",2009.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0
"A. & N.Islands",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Chandigarh",2009.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"D. & N.Haveli",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Daman and Diu",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Delhi",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Total 2010",2010.0,154.0,82.0,326.0,249.0,314.0,13.0,10.0,2.0,1408.0,2558.0
"Andhra Pradesh",2010.0,4.0,4.0,10.0,26.0,2.0,5.0,0.0,0.0,15.0,66.0
"Arunachal Pradesh",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Assam",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"Bihar",2010.0,16.0,5.0,3.0,5.0,0.0,2.0,0.0,0.0,18.0,49.0
"Chhattisgarh",2010.0,10.0,18.0,30.0,21.0,0.0,2.0,0.0,0.0,147.0,228.0
"Goa",2010.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Gujarat",2010.0,0.0,4.0,55.0,0.0,174.0,0.0,0.0,0.0,162.0,395.0
"Haryana",2010.0,4.0,2.0,24.0,30.0,0.0,0.0,2.0,0.0,9.0,71.0
"Himachal Pradesh",2010.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0
"Jammu & Kashmir",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jharkhand",2010.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,7.0
"Karnataka",2010.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,0.0,12.0,23.0
"Kerala",2010.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,8.0,15.0
"Madhya Pradesh",2010.0,56.0,2.0,95.0,83.0,0.0,1.0,0.0,0.0,134.0,371.0
"Maharashtra",2010.0,17.0,3.0,85.0,0.0,119.0,0.0,2.0,0.0,179.0,405.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
"Mizoram",2010.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,38.0
"Nagaland",2010.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0
"Orissa",2010.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,14.0
"Punjab",2010.0,2.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0
"Rajasthan",2010.0,9.0,9.0,13.0,65.0,0.0,0.0,0.0,0.0,50.0,146.0
"Sikkim",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0
"Tamil Nadu",2010.0,1.0,1.0,0.0,0.0,11.0,0.0,3.0,2.0,532.0,550.0
"Tripura",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Uttar Pradesh",2010.0,25.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,62.0
"Uttarakhand",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
"WestBengal",2010.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,41.0
"A. & N.Islands",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Chandigarh",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"D. & N.Haveli",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Daman and Diu",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Delhi",2010.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
"Total 2011",2011.0,159.0,78.0,424.0,198.0,313.0,11.0,15.0,2.0,1637.0,2837.0
"Andhra Pradesh",2011.0,0.0,2.0,13.0,5.0,1.0,0.0,3.0,0.0,18.0,42.0
"Arunachal Pradesh",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Assam",2011.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"Bihar",2011.0,18.0,7.0,5.0,3.0,0.0,3.0,0.0,0.0,24.0,60.0
"Chhattisgarh",2011.0,11.0,15.0,123.0,53.0,0.0,2.0,0.0,0.0,310.0,514.0
"Goa",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0
"Gujarat",2011.0,1.0,1.0,47.0,0.0,215.0,0.0,5.0,0.0,195.0,464.0
"Haryana",2011.0,5.0,2.0,24.0,26.0,0.0,0.0,2.0,0.0,15.0,74.0
"Himachal Pradesh",2011.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,17.0
"Jammu & Kashmir",2011.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
"Jharkhand",2011.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,16.0,24.0
"Karnataka",2011.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,8.0
"Kerala",2011.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,20.0,26.0
"Madhya Pradesh",2011.0,46.0,6.0,140.0,65.0,0.0,1.0,1.0,0.0,17.0,276.0
"Maharashtra",2011.0,15.0,4.0,54.0,0.0,92.0,0.0,0.0,1.0,130.0,296.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2011.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
"Mizoram",2011.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,51.0
"Nagaland",2011.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
"Orissa",2011.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,15.0
"Punjab",2011.0,8.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0
"Rajasthan",2011.0,14.0,2.0,9.0,20.0,0.0,0.0,0.0,0.0,23.0,68.0
"Sikkim",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
"Tamil Nadu",2011.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,666.0,672.0
"Tripura",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Uttar Pradesh",2011.0,19.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,29.0,65.0
"Uttarakhand",2011.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
"WestBengal",2011.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,49.0
"A. & N.Islands",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chandigarh",2011.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
"D. & N.Haveli",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Daman and Diu",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
"Delhi",2011.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0
