-----
{
 "description": "This table contains data related to quantity and value of imports of Ores and Minerals from 2008-09 to 2010-11", 
 "file_name": "IMPORTS_OF_ORES_AND_MINERALS.xls", 
 "title": "Imports Of Ores And Minerals From 2008-09 To 2010-11 ", 
 "url": "http://data.gov.in/sites/default/files/IMPORTS_OF_ORES_AND_MINERALS.xls"
}
-----
"Ore/Mineral","Unit","Quantity 2008-09","Value 2008-09","Quantity 2009-10","Value 2009-10","Quantity 2010-11(P)","Value 2010-11(P)"
"  Granite(others)","tonne",5147.0,144442.0,8589.0,180664.0,15672.0,385768.0
"Graphite (natural)","tonne",7309.0,247346.0,12780.0,395701.0,14348.0,460015.0
"Gypsum & plaster","tonne",890912.0,1419361.0,1548701.0,2212673.0,1697746.0,2212981.0
"Iron ore : Total","000 t",69.0,611112.0,897.0,4681128.0,1867.0,10284802.0
"Iron ore conc.:Non Agglomated","000 t","++",805.0,10.0,1601.0,5.0,79.0
"Iron Ore Fines","000 t","...","...",152.0,779767.0,55.0,179933.0
"Iron Ore Lumps","000 t","...","...","...","...",678.0,18869.0
"Iron Ore Pellates","000 t",69.0,604776.0,721.0,3889791.0,1115.0,10070122.0
"Iron Ore Pyrites","000 t","++",5531.0,14.0,9969.0,14.0,15799.0
"Kaolin","tonne",62083.0,632016.0,46708.0,563887.0,52663.0,636698.0
"Kieselgurh","tonne",176.0,9685.0,195.0,6337.0,156.0,5670.0
"Kyanite","tonne",200.0,4457.0,292.0,8171.0,504.0,11318.0
"Lead ores & concs.","tonne",5184.0,193822.0,6944.0,223284.0,9722.0,342050.0
"Lime stone","tonne",3603340.0,5607948.0,3899308.0,6191762.0,5035678.0,7043286.0
"Magnesite : Total","tonne",51422.0,1427008.0,66118.0,2053876.0,54929.0,1590290.0
"  Magnesia (fused)","tonne",10854.0,332290.0,11846.0,327914.0,7869.0,244338.0
"  Magnesite (not calcined)","tonne",441.0,9389.0,412.0,17890.0,478.0,11829.0
"  Magnesite (calcined)","tonne",12992.0,381550.0,21758.0,752797.0,13239.0,415407.0
"  Magnesite :Dead-burnt  Magnesia","tonne",19669.0,431172.0,13950.0,267092.0,16579.0,320044.0
"  Magnesium oxide","tonne",4333.0,182792.0,4677.0,232483.0,6264.0,270221.0
"  Magnesite (Others) ","tonne",3133.0,89815.0,13475.0,455700.0,10500.0,328451.0
"Manganese ore:Total","tonne",852198.0,19818562.0,797933.0,7470849.0,1299643.0,17813482.0
"  Manganese ore (46% or more Mn )","tonne",398033.0,11041290.0,283146.0,3227378.0,531465.0,8247614.0
"  Manganese ore (35% or more but below 46% Mn )","tonne",431162.0,8557785.0,512498.0,4212534.0,752600.0,9386983.0
"  Manganese ore (30% or more but below 35% Mn )","tonne",11062.0,115633.0,299.0,3126.0,3097.0,30401.0
"  Manganese ore (others)","tonne",11941.0,103854.0,1990.0,27811.0,12481.0,148484.0
"Marble : Total","tonne",313680.0,6533016.0,431022.0,8418728.0,512169.0,10320860.0
"  Marble (dressed)","tonne",217913.0,3621757.0,312665.0,5136712.0,427558.0,7273477.0
"  Marble (others)","tonne",95767.0,2911259.0,118357.0,3282016.0,84611.0,3047383.0
"Mica : Total","tonne",2323.0,424930.0,1661.0,422697.0,1687.0,411461.0
"  Mica (unmanufactured)","tonne",552.0,14913.0,379.0,15874.0,409.0,13603.0
"    Mica (blocks)","tonne",59.0,4624.0,"++",137.0,"++",12.0
"    Mica (powder)","tonne",150.0,4526.0,72.0,6343.0,126.0,8429.0
"    Mica (splittings)","tonne",106.0,3249.0,191.0,5739.0,258.0,4707.0
"    Mica (waste & scrap)","tonne",237.0,2514.0,116.0,3655.0,25.0,455.0
"  Mica (worked)","tonne",1771.0,410017.0,1282.0,406823.0,1278.0,397858.0
"      Mica (cond. films,plates cuts NES)","tonne",144.0,27934.0,115.0,22377.0,92.0,48778.0
"      Mica (washers & discs)","tonne","++",17.0,5.0,384.0,1.0,221.0
"      Mica (sheets & strips)","tonne",241.0,7509.0,136.0,10535.0,203.0,9356.0
"      Micanite & other built-up mica","tonne",41.0,4702.0,27.0,3809.0,22.0,2122.0
"      Mica (Bricks)","tonne","….","…..","….","…..",4.0,1389.0
"      Mica worked (others)","tonne",1345.0,369855.0,999.0,369718.0,956.0,335992.0
"Molybdenum Ores &Conc.","tonne",2559.0,4597646.0,3751.0,3336296.0,4382.0,6086645.0
"Natural gas","tonne",8306769.0,128867509.0,9110571.0,110672243.0,9765763.0,146481792.0
"Niobium/Tantalum Ores &Conc. ","tonne",312.0,56528.0,5.0,18268.0,11.0,9227.0
"Nickel ores & concs. ","tonne",346.0,160035.0,91.0,80938.0,219.0,143868.0
"Ochre total","tonne",1643.0,110488.0,2378.0,123482.0,1324.0,141001.0
"  Ochre(Earth colours)","tonne",202.0,1895.0,1155.0,6865.0,50.0,2404.0
"  Ochre(Persian red)","tonne",28.0,5268.0,"++",179.0,135.0,15796.0
"  Ochre(Red oxide)","tonne",1355.0,94084.0,1145.0,111074.0,1086.0,116068.0
"  Ochre(Yellow Ochre) ","tonne",58.0,9241.0,78.0,5364.0,53.0,6733.0
"Petroleum (crude)","000 t",130042.0,3468454807.0,153629.0,3659009475.0,153120.0,4216162484.0
"Precious&semi-prec.stones NES : Total","","**",4832841.0,"**",5803493.0,"**",7051601.0
"Precious & semi preci. stones (uncut)","tonne",773.0,3091723.0,455.0,4067067.0,72591.0,4706924.0
"Precious & semi precious stones (cut)","'000 crt.",3395.0,1741118.0,3744.0,1736426.0,5756.0,2344677.0
"Precious metal ores & conc.","kg",9606.0,2486.0,525.0,37392.0,167.0,298094.0
"Quartz & Quartzite (natural)","tonne",326.0,9794.0,823.0,11964.0,496.0,8699.0
"Quartz  (natural)","tonne",285.0,9100.0,486.0,7765.0,412.0,6189.0
" Quartzite (natural)","tonne",41.0,694.0,337.0,4199.0,84.0,2510.0
"Rock phosphate","tonne",5009662.0,48404898.0,5683654.0,32750208.0,5194203.0,32110281.0
"Salts(other than common salt)","tonne",31948.0,69337.0,30838.0,67124.0,34148.0,82776.0
"Sand, excl. metal bearing","tonne",1041318.0,332095.0,493454.0,177268.0,22379.0,28609.0
"Sand stone","tonne",52.0,398.0,21000.0,22343.0,"…","…"
"Silica sand","tonne",10240.0,220828.0,15384.0,287033.0,93741.0,413702.0
"Sillimanite","tonne",2745.0,36142.0,1148.0,12589.0,1363.0,15992.0
"Slate ","tonne",13.0,601.0,146.0,4663.0,89.0,3678.0
"Steatite : Total","tonne",5218.0,91045.0,2605.0,52455.0,10087.0,130423.0
"  Steatite blocks","tonne","…","…",54.0,325.0,1.0,129.0
"  Steatite lumps ","tonne",216.0,1345.0,180.0,876.0,6594.0,38009.0
"  Steatite powder & others","tonne",5002.0,89700.0,2371.0,51254.0,3492.0,92285.0
"Sulphur(excl.sublimed,ppt & colloidal) ","tonne",1286429.0,29944603.0,1533628.0,6810816.0,1356774.0,10977136.0
"Tin ores & concs.","tonne",979.0,464371.0,487.0,168047.0,195.0,86167.0
"Titanium ores & Concentrates: Total ","tonne",11071.0,283881.0,32104.0,747639.0,66759.0,861652.0
"  Titanium ores&Conc.:Ilmenite","tonne",1492.0,6725.0,11137.0,68649.0,48747.0,287449.0
"  Titanium ores&Conc.:Rutile","tonne",6592.0,210186.0,15239.0,527866.0,13390.0,432741.0
"  Titanium  ores & Conc.(Other ) ","tonne",2987.0,66970.0,5728.0,151124.0,4622.0,141462.0
"Tripoli earth","tonne",21.0,471.0,39.0,930.0,19.0,486.0
"Tungsten ores & concs.","tonne",20.0,370.0,87.0,1538.0,27.0,900.0
"Vanadium Ores & Conc. ","tonne",39.0,22500.0,60.0,7762.0,4.0,1182.0
"Vermiculite ","tonne",305.0,13072.0,84.0,1906.0,312.0,7519.0
"Witherite","tonne",150.0,2128.0,"….","….",3.0,52.0
"Wollastonite","tonne",223.0,4785.0,351.0,3889.0,2600.0,23913.0
"Zinc ores & concs.","tonne",78201.0,2217983.0,59857.0,1911107.0,88171.0,3415929.0
"Zirconium ores & Conc. ","tonne",30477.0,1268366.0,34724.0,1517772.0,54312.0,2665929.0
"Other Minerals ","tonne",44994.0,390728.0,34178.0,369539.0,40359.0,367542.0
