-----
{
 "description": "Approved Outlay, Revised Outlay & Expenditure State-wise and Sector-wise for major Heads of Development for the Annual Plan 2011-12 (all figures are in Rs. Lakh) ", 
 "file_name": "spout_1112_ds.xls", 
 "title": "State wise/Sector wise Approved Outlay, Revised Outlay and Expenditure for Annual Plan 2011-12 ", 
 "url": "http://data.gov.in/sites/default/files/spout_1112_ds.xls"
}
-----
"no","finanical_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Andhra-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Arunachal-Pradesh-Approved-Outlay","Arunachal-Pradesh-Revised-Outlay-or-Anticipated-Expenditure","Assam-Approved-Outlay","Assam-Revised-Outlay-or-Anticipated-Expenditure","Bihar-Approved-Outlay","Bihar-Revised-Outlay-or-Anticipated-Expenditure","Chhatisgarh-Approved-Outlay","Chhatisgarh-Revised-Outlay-or-Anticipated-Expenditure","Goa-Approved-Outlay","Goa-Revised-Outlay-or-Anticipated-Expenditure","Gujarat-Approved-Outlay","Gujarat-Revised-Outlay-or-Anticipated-Expenditure","Haryana-Approved-Outlay","Haryana-Revised-Outlay-or-Anticipated-Expenditure","Himachal-pradesh-Approved-Outlay","Himachal-pradesh-Revised-Outlay-or-Anticipated-Expenditure","Jammu-Kashmir-Approved-Outlay","Jammu-Kashmir-Revised-Outlay-or-Anticipated-Expenditure","Jharkhand-Approved-Outlay","Jharkhand-Revised-Outlay-or-Anticipated-Expenditure","Karnataka-Approved-Outlay","Karnataka-Revised-Outlay-or-Anticipated-Expenditure","Kerala-Approved-Outlay","Kerala-Revised-Outlay-or-Anticipated-Expenditure","MP-Approved-Outlay","MP-Revised-Outlay-or-Anticipated-Expenditure","Maharashtra-Approved-Outlay","Maharashtra-Revised-Outlay-or-Anticipated-Expenditure","Manipur-Approved-Outlay","Manipur-Revised-Outlay-or-Anticipated-Expenditure","Meghalaya-Approved-Outlay","Meghalaya-Revised-Outlay-or-Anticipated-Expenditure","Mizoram-Approved-Outlay","Mizoram-Revised-Outlay-or-Anticipated-Expenditure","Nagaland-Approved-Outlay","Nagaland-Revised-Outlay-or-Anticipated-Expenditure","Orissa-Approved-Outlay","Orissa-Revised-Outlay-or-Anticipated-Expenditure","Punjab-Approved-Outlay","Punjab-Revised-Outlay-or-Anticipated-Expenditure","Rajasthan-Approved-Outlay","Rajasthan-Revised-Outlay-or-Anticipated-Expenditure","Sikkim-Approved-Outlay","Sikkim-Revised-Outlay-or-Anticipated-Expenditure","TamilNadu-Approved-Outlay","TamilNadu-Revised-Outlay-or-Anticipated-Expenditure","Tripura-Approved-Outlay","Tripura-Revised-Outlay-or-Anticipated-Expenditure","UP-Approved-Outlay","UP-Revised-Outlay-or-Anticipated-Expenditure","Uttarakhand-Approved-Outlay","Uttarakhand-Revised-Outlay-or-Anticipated-Expenditure","WB-Approved-Outlay","WB-Revised-Outlay-or-Anticipated-Expenditure","Total-States-Approved-Outlay","Total-States-Revised-Outlay-or-Anticipated-Expenditure","AandN-Islands-Approved-Outlay","AandN-Islands-Revised-Outlay-or-Anticipated-Expenditure","Chandigarh-Approved-Outlay","Chandigarh-Revised-Outlay-or-Anticipated-Expenditure","DandN-Haveli-Approved-Outlay","DandN-Haveli-Revised-Outlay-or-Anticipated-Expenditure","DandDiu-Approved-Outlay","DandDiu-Revised-Outlay-or-Anticipated-Expenditure","Delhi-Approved-Outlay","Delhi-Revised-Outlay-or-Anticipated-Expenditure","Lakshadweep-Approved-Outlay","Lakshadweep-Revised-Outlay-or-Anticipated-Expenditure","Puducherry-Approved-Outlay","Puducherry-Revised-Outlay-or-Anticipated-Expenditure","Total-UTs-Approved-Outlay","Total-UTs-Revised-Outlay-or-Anticipated-Expenditure","Total-States-UTs-Approved-Outlay","Total-States-UTs-Revised-Outlay-or-Anticipated-Expenditure"
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","11. Cooperation",4744.0,4744.0,392.0,392.0,1332.0,1275.0,24253.79,82125.92,13271.0,13271.0,1724.92,1724.92,7500.0,7500.0,10400.0,25688.0,135.0,135.0,838.0,838.0,8450.54,14938.0,39543.0,39543.0,4300.0,4300.0,50980.0,50980.0,4816.32,4816.32,683.0,588.84,1250.0,1640.0,871.0,904.23,790.0,790.0,10300.0,25300.0,750.0,7887.0,1173.53,1173.53,239.07,239.07,27192.0,23405.0,744.29,949.3,4480.0,4478.0,3887.43,3887.43,12568.0,12568.0,237608.89,336081.56,183.0,183.0,20.0,20.0,0.0,0.0,18.0,18.0,0.0,0.0,600.0,600.0,3100.0,2445.5,3921.0,3266.5,241529.89,339348.06
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (a) Agiculture marketing",0.0,0.0,79.0,79.0,152.0,149.0,0.0,0.0,2840.0,2840.0,0.08,0.08,880.0,880.0,0.0,0.0,0.0,0.0,1115.0,1115.0,0.0,0.0,350.0,350.0,35758.0,35758.0,0.0,0.0,0.0,0.0,5.0,3.5,700.0,700.0,0.0,0.0,0.0,0.0,1618.0,1523.0,0.0,0.0,7500.0,7500.0,0.0,0.0,0.0,0.0,1153.25,401.9,0.0,0.0,0.0,0.0,9437.76,9437.76,61588.09,60737.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61588.09,60737.24
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (b) Others",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50600.0,50600.0,0.0,0.0,0.0,0.0,0.0,0.0,1365.0,1365.0,7184.0,7184.0,19913.0,19913.0,0.0,0.0,0.0,0.0,7476.82,7476.82,0.0,0.0,0.0,2225.0,1348.0,1466.0,250.0,239.9,2350.0,2767.71,32248.0,35696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231134.0,170000.0,0.0,0.0,0.0,0.0,353868.82,298933.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,365.0,365.0,365.0,354233.82,299298.43
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","TOTAL - AGRICULTURE & ALLIED ACTIVITIES",204494.56,204494.56,8660.39,8660.39,71520.05,69692.15,138662.72,222368.85,162169.0,162169.0,14461.75,14461.75,257797.27,257797.27,70555.0,88834.22,29347.0,29840.0,21787.53,21787.53,58450.54,64938.0,365306.0,365306.0,96263.0,96263.0,178120.61,178120.61,255027.33,255027.33,9260.0,6640.04,25393.0,25180.0,32155.64,34538.75,17530.0,18473.21,103355.0,114663.0,43409.66,33184.46,111215.66,111215.66,3920.8,3920.8,203586.0,205252.0,18327.25,7489.13,471458.0,338277.0,52148.09,52148.09,86761.7,86761.7,3111143.55,3077504.5,5731.0,5731.0,56.0,54.0,958.0,958.0,1518.0,1518.0,0.0,0.0,3250.0,3250.0,18933.3,19399.53,30446.3,30910.53,3141589.85,3108415.03
"II","2011-12","RURAL DEVELOPMENT","1. Special Programme for Rural Development ",335711.46,335711.46,520.0,520.0,0.0,0.0,1230.0,1230.0,2359.0,2359.0,1025.0,1025.0,13664.58,13664.58,0.0,0.0,1611.0,1611.0,1051.91,1051.91,2700.0,2700.0,51497.0,51497.0,28102.0,28102.0,46756.6,46756.6,52046.61,52046.61,542.05,542.05,0.0,0.0,595.0,578.77,0.0,0.0,5400.0,3500.0,3088.1,3750.0,37257.23,37257.23,172.98,172.98,309346.0,0.0,35.0,35.44,5645.0,2478.0,0.0,0.0,650.0,650.0,901006.52,587239.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,35.0,0.0,155.0,120.0,901161.52,587359.63
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (a) Swaranjyanti Gram Swarozgar Yojana (SGSY)",0.0,0.0,107.0,107.0,0.0,0.0,10000.0,10000.0,2447.0,2447.0,260.0,260.0,5500.0,5500.0,0.0,0.0,57.0,57.0,689.73,689.73,5500.0,5500.0,2416.0,2416.0,0.0,0.0,5162.0,5162.0,0.0,0.0,145.19,145.19,400.0,80.0,0.0,0.0,0.0,0.0,3000.0,4000.0,"","",0.0,0.0,0.0,0.0,0.0,0.0,524.23,665.78,16000.0,11577.0,0.0,0.0,6540.0,6540.0,58748.15,55146.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.98,50.0,34.98,50.0,58783.13,55196.7
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (b) Sampoorna Gram  Rozgar Yojana (SGRY)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6860.74,6860.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,6885.74,6885.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6885.74,6885.74
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (c)  National Food for Work Programme/NEGP",0.0,0.0,0.0,0.0,0.0,0.0,27200.0,27200.0,26087.0,26087.0,621.0,621.0,12727.12,12727.12,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,13913.0,13913.0,0.0,0.0,49500.0,49500.0,0.0,0.0,0.0,0.0,4900.0,5500.0,1000.0,995.0,0.0,0.0,15000.0,17000.0,0.0,0.0,35000.0,35000.0,500.0,500.0,0.0,0.0,3955.0,2977.38,65000.0,50000.0,0.0,0.0,19525.0,19525.0,284928.12,271545.5,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,52.01,52.0,284980.13,271597.5
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (d) Others (To be specified)",0.0,0.0,510.0,510.0,72527.0,69187.0,0.0,"",55.0,55.0,0.0,0.0,5000.0,5000.0,11720.0,12858.0,16594.0,16594.0,0.0,0.0,19000.0,19000.0,0.0,0.0,0.0,0.0,15712.0,15712.0,16526.57,16526.57,4209.0,1209.0,1300.0,755.0,0.0,150.0,0.0,0.0,0.0,0.0,5000.0,4000.0,7500.0,7500.0,0.0,0.0,0.0,0.0,1.87,5.16,1800.0,600.0,48823.92,48823.92,15000.0,15000.0,241279.36,233485.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,241279.37,233485.65
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: Sub-Total",0.0,0.0,617.0,617.0,72527.0,69187.0,37200.0,37200.0,28589.0,28589.0,881.0,881.0,23227.12,23227.12,11720.0,12858.0,16651.0,16651.0,7550.47,7550.47,34500.0,34500.0,16329.0,16329.0,0.0,0.0,70374.0,70374.0,16526.57,16526.57,4354.19,1354.19,6600.0,6335.0,1000.0,1145.0,0.0,0.0,18000.0,21000.0,5000.0,4000.0,42500.0,42500.0,500.0,500.0,0.0,0.0,4481.1,3648.32,82800.0,62177.0,48823.92,48823.92,41090.0,41090.0,591841.37,567063.59,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,87.0,102.0,591928.37,567165.59
"II","2011-12","RURAL DEVELOPMENT","3. Land Reforms",7620.0,7620.0,450.0,450.0,1500.5,911.5,11201.27,11093.27,236.0,236.0,732.0,732.0,54438.41,54438.41,1650.0,200.0,139.0,139.0,2500.0,2500.0,1500.0,1500.0,390.0,390.0,825.0,825.0,5403.1,5403.1,4354.01,4354.01,50.0,50.0,550.0,550.0,378.0,373.0,175.0,175.0,9540.0,7095.0,0.0,0.0,6963.42,6963.42,204.14,204.14,0.0,0.0,100.84,98.16,812.0,935.0,0.0,0.0,4300.0,4300.0,116012.69,111536.01,455.0,455.0,0.0,0.0,8.0,8.0,44.0,44.0,0.0,0.0,0.0,0.0,75.0,69.5,582.0,576.5,116594.69,112112.51
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (a) Community Development & Panchayts",45340.0,45340.0,1385.0,1385.0,12229.0,12229.0,4669.0,43544.41,12305.0,12305.0,3834.0,3834.0,57011.7,57011.7,17000.0,80780.0,5217.0,5389.0,2200.0,2200.0,0.0,0.0,0.0,0.0,17200.0,17200.0,72559.03,72559.03,15000.0,15000.0,201.42,0.0,1650.0,2150.0,550.0,1139.65,3019.0,3019.0,20.0,26.0,0.0,0.0,0.0,0.0,12385.23,12385.23,11697.0,8763.0,2751.8,4007.76,110050.0,260159.0,8050.11,8050.11,0.0,0.0,416324.29,668476.89,5081.0,5081.0,300.0,600.0,1208.0,1208.0,1218.0,1218.0,1002.0,1002.0,400.0,400.0,5580.21,7766.65,14789.21,17275.65,431113.5,685752.54
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (b) Other Programmes of Rural Development",35637.0,35637.0,467.4,467.4,0.0,0.0,35689.0,0.0,6125.0,6125.0,6181.0,6181.0,7369.0,7369.0,57500.0,323.9,0.0,0.0,0.0,0.0,131445.0,134945.0,76776.0,76776.0,0.0,0.0,400.0,400.0,30310.67,30310.67,5674.0,4275.42,9931.0,12111.0,1387.0,100.0,60.0,3302.44,185.0,185.0,94051.0,75190.57,191620.4,191620.4,4019.22,4019.22,0.0,266124.0,1333.52,1674.88,76120.0,66150.0,0.0,0.0,97525.0,97525.0,869806.21,1020812.9,368.0,368.0,0.0,0.0,253.0,253.0,0.0,0.0,15220.0,15220.0,0.0,0.0,419.0,365.0,16260.0,16206.0,886066.21,1037018.9
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: Sub-Total",80977.0,80977.0,1852.4,1852.4,12229.0,12229.0,40358.0,43544.41,18430.0,18430.0,10015.0,10015.0,64380.7,64380.7,74500.0,81103.9,5217.0,5389.0,2200.0,2200.0,131445.0,134945.0,76776.0,76776.0,17200.0,17200.0,72959.03,72959.03,45310.67,45310.67,5875.42,4275.42,11581.0,14261.0,1937.0,1239.65,3079.0,6321.44,205.0,211.0,94051.0,75190.57,191620.4,191620.4,16404.45,16404.45,11697.0,274887.0,4085.32,5682.64,186170.0,326309.0,8050.11,8050.11,97525.0,97525.0,1286130.5,1689289.79,5449.0,5449.0,300.0,600.0,1461.0,1461.0,1218.0,1218.0,16222.0,16222.0,400.0,400.0,5999.21,8131.65,31049.21,33481.65,1317179.71,1722771.44
"II","2011-12","RURAL DEVELOPMENT","TOTAL - RURAL DEVELOPMENT",424308.46,424308.46,3439.4,3439.4,86256.5,82327.5,89989.27,93067.68,49614.0,49614.0,12653.0,12653.0,155710.81,155710.81,87870.0,94161.9,23618.0,23790.0,13302.38,13302.38,170145.0,173645.0,144992.0,144992.0,46127.0,46127.0,195492.73,195492.73,118237.86,118237.86,10821.66,6221.66,18731.0,21146.0,3910.0,3336.42,3254.0,6496.44,33145.0,31806.0,102139.1,82940.57,278341.05,278341.05,17281.57,17281.57,321043.0,274887.0,8702.26,9464.56,275427.0,391899.0,56874.03,56874.03,143565.0,143565.0,2894991.08,2955129.02,5956.0,5956.0,300.0,600.0,1469.0,1469.0,1262.0,1262.0,16222.0,16222.0,520.0,520.0,6144.21,8251.15,31873.21,34280.15,2926864.29,2989409.17
