"Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21.505184667,"","","","","","","","","",21.9932126773,"","","","",22.7731830122,"","","","",23.0170288478,23.0657980149,""
"Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",32.2281975938,31.6168343174,29.8770444071,31.6293042653,32.9181910174,33.5667016719,34.3371784385,34.6595588399,35.1161071998,35.1893368343,"",""
"Average precipitation in depth (mm per year)","AG.LND.PRCP.MM","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","","",1083.0,"","","",1083.0,""
"Land area (sq. km)","AG.LND.TOTL.K2","",2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,2973190.0,""
"Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","",1.99068071833,2.2335673261,2.5401663809,2.78954175437,3.03382717298,3.40576328898,4.13067968457,4.8728681202,5.62254013869,6.22820129547,8.95765472313,10.5945406955,11.4092119111,12.534734636,13.9665051224,15.373830344,18.0272571359,20.4197146087,23.1738494582,23.4953821607,25.6471505485,28.2866247893,30.8862463127,33.9026078222,37.2375700763,39.7508116386,42.7248116617,46.1233953688,56.7760836887,60.696734403,65.4805962794,70.1463233932,73.7493905713,77.6362738441,83.7628438949,93.0025201082,102.155796877,111.245929649,120.743841691,128.505319051,"","","","","","","","","","","",""
"Cereal production (metric tons)","AG.PRD.CREL.MT","",87376500.0,87257600.0,90373000.0,93706000.0,79699500.0,80137600.0,95453500.0,102443700.0,106291200.0,113909500.0,113238300.0,108615500.0,119648200.0,106793000.0,127807800.0,121625100.0,138062900.0,142964700.0,126470300.0,140490600.0,147583800.0,136101400.0,166781700.0,164477600.0,165682200.0,164955200.0,156114500.0,183867200.0,199413600.0,193918900.0,193101200.0,201468200.0,208626900.0,211941400.0,210012500.0,218750900.0,223232400.0,226877000.0,236205700.0,234931300.0,242963800.0,206636400.0,236592700.0,229845400.0,239997400.0,242785600.0,260485900.0,266835300.0,250783400.0,267838300.0,285520000.0,""
"Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","",35.03,34.71,35.74,36.69,34.54,34.22,36.86,38.67,40.03,42.53,43.11,40.69,44.25,42.33,47.15,46.1,50.35,52.52,48.93,50.54,54.13,52.85,59.57,60.44,61.34,61.29,59.97,67.14,71.73,72.74,73.84,77.24,79.91,82.27,83.85,87.75,87.87,90.31,94.42,92.28,95.0,84.73,97.13,94.05,99.89,106.06,116.42,117.5,112.2,125.27,133.7,""
"Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","",32.19,31.75,32.48,33.31,31.74,31.7,33.63,35.48,36.71,38.61,39.05,37.43,40.41,39.13,43.48,43.09,46.64,48.11,45.88,47.76,51.14,50.83,56.92,57.99,59.24,60.22,59.68,65.39,69.1,70.31,71.27,74.27,77.04,79.19,81.22,84.65,85.77,88.16,92.26,91.7,94.83,87.38,96.54,94.73,100.08,105.19,114.28,116.63,113.12,122.62,129.33,""
"Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD","",24.61,24.72,24.77,24.73,24.83,25.15,25.6,26.83,27.31,27.06,28.61,29.0,29.64,30.92,32.1,33.76,35.04,35.76,37.29,38.82,41.29,43.77,46.47,48.83,51.42,53.33,54.56,56.15,58.89,60.98,61.87,63.97,66.23,68.5,71.98,74.4,76.52,79.3,82.7,84.69,87.95,89.64,91.74,95.98,100.01,104.01,109.85,112.68,116.21,121.43,123.49,""
"Surface area (sq. km)","AG.SRF.TOTL.K2","",3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,3287260.0,""
"Cereal yield (kg per hectare)","AG.YLD.CREL.KG","",947.3,929.7,965.8,993.6,854.4,864.2,993.7,1036.6,1053.7,1134.8,1136.1,1107.8,1152.8,1074.5,1260.8,1198.7,1331.1,1370.2,1222.3,1350.0,1398.8,1346.4,1564.4,1563.8,1592.2,1585.4,1583.7,1775.8,1916.4,1891.2,1926.3,2024.8,2084.9,2115.5,2111.7,2181.0,2228.6,2248.4,2313.7,2294.2,2423.1,2187.3,2399.4,2350.0,2411.6,2446.5,2583.3,2637.9,2580.8,2676.4,2883.3,""
"Trade in services (% of GDP)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11.9088377563,13.4813773006,12.6525621273,15.8315557465,12.6880371247,14.0946670471,13.985026236,""
"Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",35.8180919844,37.4079206331,34.5748250457,30.850666327,34.3297717495,41.3807298744,32.0244766526,""
"Primary income payments (BoP, current US$)","BM.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12295901918.1,14444753969.6,19165591221.1,20957686734.6,21271739133.0,24729000000.0,27970000000.0,""
"Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.81858367951e+11,2.25086027162e+11,2.78785752272e+11,3.79479380179e+11,3.28257176213e+11,4.3924e+11,5.40392e+11,""
"Insurance and financial services (% of service imports, BoP)","BM.GSR.INSF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6.7825227269,7.89744450031,9.15692868987,8.97828968208,9.680552161,10.0511590209,11.4480039681,""
"Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.34692007368e+11,1.66571862854e+11,2.08610899982e+11,2.91740328015e+11,2.47907713474e+11,3.221541e+11,4.157998e+11,""
"Service imports (BoP, current US$)","BM.GSR.NFSV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",47166360582.4,58514164307.4,70174852290.0,87739052164.5,80349462738.9,1.170859e+11,1.245922e+11,""
"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",671829366.319,845949436.031,1159824390.71,1528826912.72,1860070100.1,2438000000.0,2820000000.0,""
"Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.94154269869e+11,2.39530781131e+11,2.97951343494e+11,4.00437066914e+11,3.49528915346e+11,4.63969e+11,5.68362e+11,""
"Transport services (% of service imports, BoP)","BM.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",44.2827644163,42.9966764395,44.5561622426,49.2226718561,44.4033518342,39.5584865471,45.5139888372,""
"Travel services (% of service imports, BoP)","BM.GSR.TRVL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",13.1166208725,11.6979584271,11.7120840219,10.9483721348,11.5863242552,9.0096245577,11.013530542,""
"Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.316555674183,1.47893639433,1.37451434883,1.57312352035,1.17884208717,0.905308332359,0.792165803685,""
"Secondary income, other sectors, payments (BoP, current US$)","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",475507397.951,857016412.509,1233747715.57,2894628688.96,1652988824.27,2270000000.0,2495000000.0,""
"Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","",9138853.073,11641249.66,57404830.93,10211729.05,29241802.22,15402512.55,13516844.75,39727378.85,27499765.4,30896383.29,42055763.24,65468292.24,93125846.86,98650077.82,105592308.0,51584171.3,67776931.76,259423919.7,350832855.2,419173553.5,537989257.8,161582931.5,44157096.86,36167392.73,486141906.7,751084716.8,1186800171.0,1265419800.0,1652783203.0,1348282857.8,1561865362.3,2059330846.4,3812363580.5,2889988304.6,3853000000.0,4097000000.0,""
"Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10283543308.0,-9299060317.46,-8075694483.59,-30971987180.9,-26186435956.9,-52274664979.1,-60038000000.0,""
"Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-1.23272095814,-0.979759352531,-0.65194907626,-2.53019461316,-1.91789706446,-3.05537412208,-3.20571923171,""
"Net financial account (BoP, current US$)","BN.FIN.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-10824559421.4,-8399404998.97,-6737296325.6,-29826228672.4,-26172856384.4,-53836000000.0,-61684000000.0,""
"Net primary income (BoP, current US$)","BN.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-6649958331.65,-6245325788.46,-6515811030.9,-5364336273.51,-7538933228.61,-15119664979.1,-17932000000.0,""
"Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-27276336270.9,-31769964257.4,-38703712438.7,-74360043516.3,-67410018791.4,-89264000000.0,-1.0368e+11,""
"Net trade in goods (BoP, current US$)","BN.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-32288927608.0,-42695648387.9,-55081319692.8,-92675230456.4,-79950042234.2,-96239100000.0,-1.164128e+11,""
"Net errors and omissions (BoP, current US$)","BN.KAC.EOMS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-541016113.415,899655318.491,1338398158.0,1145758508.56,-279420427.479,-1613335020.85,-1712000000.0,""
"Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-4628652265.34,-5992285935.5,-8201628957.62,-24149749829.7,-19485789182.7,-11013000000.0,-17354000000.0,""
"Portfolio Investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",-12144114067.9,-9545718947.23,-33016300605.4,15074790314.3,-17756860244.5,-36876000000.0,-2664000000.0,""
"Reserves and related items (BoP, current US$)","BN.RES.INCL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14554075997.5,29169924814.8,87488219955.8,25372728203.1,17035954559.1,14126334379.5,-4137139181.99,""
"Net secondary income (BoP, current US$)","BN.TRF.CURR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",23642751294.6,28716229728.4,37143828986.0,48752392608.9,48762516063.1,52109000000.0,61574000000.0,""
"Net capital account (BoP, current US$)","BN.TRF.KOGT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",293000000.0,52000000.0,66000000.0,""
"Grants, excluding technical cooperation (BoP, current US$)","BX.GRT.EXTA.CD.WD","","","","","","","","","","",147350000.0,230260000.0,171200000.0,148610000.0,242690000.0,511050000.0,465430000.0,469580000.0,640430000.0,716990000.0,648520000.0,809270000.0,455610000.0,545160000.0,582540000.0,449840000.0,595470000.0,531450000.0,699650000.0,698080000.0,512250000.0,565260000.0,580600000.0,486630000.0,612480000.0,565120000.0,588920000.0,545550000.0,488260000.0,473260000.0,460590000.0,557160000.0,697950000.0,620830000.0,893420000.0,1091860000.0,892500000.0,1144310000.0,1173000000.0,1225900000.0,1000450000.0,1018880000.0,""
"Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD","","","","","","","","","","",45890000.0,58320000.0,49870000.0,46430000.0,54750000.0,76190000.0,63080000.0,82510000.0,105150000.0,119600000.0,147440000.0,143970000.0,166430000.0,176420000.0,168120000.0,173980000.0,221020000.0,264030000.0,330500000.0,404700000.0,333200000.0,329210000.0,428870000.0,375530000.0,380510000.0,426520000.0,403630000.0,330440000.0,308830000.0,291250000.0,286860000.0,313940000.0,327970000.0,418440000.0,387080000.0,352370000.0,358350000.0,276030000.0,276290000.0,266040000.0,282500000.0,325510000.0,""
"ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",35073974537.6,47423914835.0,58985122161.2,73484592820.6,61624368552.6,76721000000.0,84444000000.0,""
"ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",67.2186259926,68.294957293,68.1495620943,69.2896327776,66.3415969726,61.841352238,61.4920808301,""
"Communications, computer, etc. (% of service exports, BoP)","BX.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",69.1178381735,70.1099552032,70.1629611018,71.2522406127,70.3949635383,71.7469631875,68.0793737484,""
"Primary income receipts (BoP, current US$)","BX.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5645943586.43,8199428181.13,12649780190.2,15593350461.1,13732805904.4,9609335020.85,10038000000.0,""
"Exports of goods and services (BoP, current US$)","BX.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.5458203168e+11,1.93316062904e+11,2.40082039834e+11,3.05119336663e+11,2.60847157422e+11,3.49976e+11,4.36712e+11,""
"Insurance and financial services (% of service exports, BoP)","BX.GSR.INSF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.99412563164,4.99735631038,5.64335819827,5.51779144638,5.52441752413,6.1381094784,6.41325323139,""
"Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0240307976e+11,1.23876214466e+11,1.5352958029e+11,1.99065097558e+11,1.6795767124e+11,2.25915e+11,2.99387e+11,""
"Service exports (BoP, current US$)","BX.GSR.NFSV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",52178951919.5,69439848437.9,86552459544.1,1.06054239105e+11,92889486181.7,1.24061e+11,1.37325e+11,""
"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",205974583.701,60913260.306,163126496.583,147815443.392,191939516.593,128000000.0,302000000.0,""
"Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.60227975266e+11,2.01515491085e+11,2.52731820024e+11,3.20712687124e+11,2.74579963326e+11,3.59585335021e+11,4.4675e+11,""
"Transport services (% of service exports, BoP)","BX.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12.5281183407,12.4590654994,11.7971929736,12.0733368765,12.0923036284,10.7011873191,12.750773712,""
"Travel services (% of service exports, BoP)","BX.GSR.TRVL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",14.3599178541,12.433622987,12.3964877264,11.1566310644,11.9883153091,11.413740015,12.7565993082,""
"Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","",-10326246.7052,-7706430.54257,-36060000.0,18090000.0,48570000.0,79160000.0,91920000.0,72080000.0,5640000.0,19240000.0,106090000.0,117730000.0,212320000.0,91250000.0,252100000.0,236690000.0,73537638.3885,276512438.974,550370024.929,973271468.723,2143628110.28,2426057021.91,3577330042.35,2634651657.77,2168591054.38,3584217307.19,5471947158.16,5626039508.39,4322747673.13,5771297152.82,7269407225.6,20029119267.0,25227740887.0,43406277076.0,35581372930.0,26502000000.0,32190000000.0,""
"Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","",-0.0103403218386,-0.00740560512812,-0.0292499254323,0.0129807706529,0.0312811938075,0.041752349406,0.0466875141364,0.0352927870296,0.00253950776901,0.00891243163986,0.0448414570083,0.0464688627948,0.0747797908648,0.0302361617,0.0836891675495,0.0724691341448,0.0267562982503,0.0942884201621,0.193660166454,0.292261020379,0.584732728471,0.60683756561,0.845383896503,0.614508869578,0.467022122999,0.755062254718,1.11132924639,1.07613927036,0.699957838853,0.799808034726,0.871406904399,2.11029031481,2.03663008808,3.5459890834,2.60598314349,1.54900131862,1.71877980727,""
"Primary income on FDI (current US$)","BX.KLT.DREM.CD.DT","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143240330.8,2323415258.3,2413012643.4,3479235562.8,5244341659.9,7737524082.8,10909992105.0,11988871923.0,12278774182.0,15344000000.0,16787000000.0,""
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4636519.7626,283578511.925,1369117146.35,5491125009.34,1590475624.44,3958322333.93,2555657283.57,-601151966.913,2317070162.81,2481311864.49,2949583338.55,1063391576.38,8216187274.34,9053979533.38,12151206548.0,9509114657.7,32862817217.0,-15030005085.0,24688929528.0,30442000000.0,-4137000000.0,""
"Secondary income receipts (BoP, current US$)","BX.TRF.CURR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",24512007175.6,30015197182.2,38885426199.1,52065208182.7,50526404972.8,54379000000.0,64069000000.0,""
"Personal transfers, receipts (BoP, current US$)","BX.TRF.PWKR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",21859147408.5,28024797011.2,36769757384.7,49179627877.7,48331658601.9,52489000000.0,61578000000.0,""
"Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","",429883697.5,642343811.0,934415893.6,1164776733.0,1437018555.0,2756975586.0,2301415527.0,2617671387.0,2660081543.0,2294750488.0,2469209229.0,2239903076.0,2665414307.0,2315296143.0,2613844482.0,2383739990.0,3289109375.0,2897425537.0,3522788086.0,5856694336.0,6222996094.0,8765693359.0,10330964840.0,9479300781.0,11124281250.0,12883465820.0,14273018550.0,15735736330.0,20999150390.0,18750376950.0,22125089480.0,28333642280.0,37216755275.0,49977276916.0,49203912009.0,53480000000.0,63818000000.0,""
