"HOTEL NAME","ADDRESS","STATE","PHONE","FAX","EMAIL ID","WEBSITE","TYPE","Rooms"
"The Judges Court","""Heritage VillageParagpur, Distt. - Kangra - 177107, HIMACHAL PRADESH""","HIMACHAL PRADESH","01970-245035/245335","01970-245823","eries@vsnl.com/info@judgescourt.com","www.judgescourt.com","Heritage Basic",10.0
"The Palace","""Chail, Solan,HIMACHAL PRADESH""","HIMACHAL PRADESH",1772652704.0,1772652206.0,"maltidutta50@yahoo.com","NA","Heritage Basic",31.0
"The Castle Naggar","""Naggar, Distt. Kullu - 175130, HIMACHAL PRADESH""","HIMACHAL PRADESH",1902248316.0,1902223429.0,"castle@hptddc.in/kullu@hptdc.in","wwwhptdc.nic.in","Heritage Basic",17.0
"Hotel Cherthala House","""Court JunctionEast of P.M.C. - 5, cherthala - 688 524, KERALA""","KERALA","0475-2223688","","housecherthala@hotmail.com","NA","Heritage Basic",5.0
"Heritaga Methanam","""K P XI / 298Near Perumpadappu, Kumbalanghi Bridge, Kumbalanghi P.O., Kochi - 682 007, KERALA""","KERALA",4842248284.0,4842248284.0,"heritagemethanam@gmail.com/info@heritagemethanam.com","www.heritagemethanam.com","Heritage Basic",7.0
"Old Lighthouse Bristow Hotel ","""Beach Road Next to SBI Training Center Fort Kochi , Cochin , KERALA""","KERALA",4843050102.0,"NA","reservations@oldlighthousehotel.com","NA","Heritage Basic",11.0
"Hotel Le Colonial ","""1/215, Church Road, Vasco-da-Gama Square, Fort Cochin , KERALA""","KERALA",4842217181.0,4842217184.0,"lecolonial@dataone.in","NA","Heritage Basic",8.0
"Kunnathur Mana Ayurveda Heritage","""Door No.VIII/666 Punnayurkulam P.O. Thrissur Dist, Kerala, KERALA""","KERALA","0487 2547552, 254755",4872547554.0,"mail@kmaheritage.com","NA","Heritage Basic",7.0
"Old Harbour Hotel","""No-1/328, Tower Road, Fort Kochi , Kochi , KERALA""","KERALA",4842218006.0,"NA","raintree@fortcochin.com","NA","Heritage Basic",13.0
"Coconut Lagoon","""P.O. Box No. 2Kumarakom, Kottayam - 686563, KERALA""","KERALA","0481-2524491-2524373","0481-2524495","coconutlagoon@cghearth.com","www.cghearth.com","Heritage Basic",36.0
"Beach Hotel","""(Beach Heritage Inn (P) Ltd.)Beach Road, Kozhikode - 673032, KERALA""","KERALA","0495-2762055-57","0495-2365363","info@beachheritage.com","www.beachheritage.com","Heritage Basic",6.0
"Palakkad Heritage Hotels","""Koduvayur P.O.Palakkad, Dist., KERALA ""","KERALA",4923252143.0,4923252144.0,"info@palakkadheritagehotel.com","www.palakkadheritagehotel.com","Heritage Basic",5.0
"Somatheeram Ayurvedic Beach Resort (P) Ltd.","""P.O. ChowaraVia Balaramapuram, Thiruvananthapuram - 695501, KERALA""","KERALA","0471-2268101","0471-2267600","mail@somatheeram.in","www.somatheeram.in","Heritage Basic",42.0
"The Hillway Heritage","""Opp. Police Station, State Highway - 1Kilimanoor P.O., Thiruvananthapuram - 695601, KERALA""","KERALA",4702673555.0,"NA","mail@hillwayhotels.com","www.hillwayhotels.com","Heritage Basic",6.0
"Ahilya Fort ","""Ahilya Fort, Maheshwar, W Nimar , Bhopal , MADHYA PRADESH""","MADHYA PRADESH",7283273329.0,"NA","info@ahilyafort.com","www.ahilyafort.com","Heritage Basic",15.0
"Hotel Rock End Manor ","""Pachmarhi Distt. ,HOSHANGABAD , MADHYA PRADESH""","MADHYA PRADESH",7552774340.0,7552779476.0,"info@mptourism.com","www.mptourism.com","Heritage Basic",6.0
"Satpura Retreat","""Pachmarhi, Dist. Hosangabad, MADHYA PRADESH""","MADHYA PRADESH","07578-252097","NA","satpura@mptourism.com","www.mptourism.com","Heritage Basic",6.0
"Hotel Sheesh Mahal ","""MPSTDC, Orchha, Tikamgarh Dist. , MADHYA PRADESH""","MADHYA PRADESH",7552774340.0,7552779476.0,"info@mptourism.com","www.mptourism.com","Heritage Basic",8.0
"Jehan Numa Palace Hotel ","""157, SHAMLA HILL(M.P) , Bhopal , MADHYA PRADESH""","MADHYA PRADESH",755661100.0,755661720.0,"NA","www.hoteljehanumapalace.com","Heritage Basic",98.0
"LE DUPLEIX ","""(unit of auberge Heritage Hotels) 5, CASERNE STREET , Pondicherry, PONDICHERRY""","PONDICHERRY",4132666001.0,4132334258.0,"gmldp@sarovarhotels.com","NA","Heritage Basic",21.0
"Calve","""A Heritage HotelOld No. 36, New No. 44, Vysial Street, Puducherry - 605 001, PUDUCHERRY""","","0413-2224103-2223738","413-2222613","whclve@gmail.com/calve@vsnl.net","www.calve.in","Heritage Basic",11.0
"Welcome Heritage, Khimsar Fort","""Khimsar, RAJASTHAN ""","RAJASTHAN ",1585262345.0,1585262228.0,"reservation@khimsar.com","NA","Heritage Basic",67.0
"The Bagh ","""Agra Achnara Road Pucca Bagh Bharatpur, Bharatpur, RAJASTHAN ""","RAJASTHAN ",1733253072.0,1733253072.0,"contact@thefortramgarh.com","NA","Heritage Basic",29.0
"Gajner Palace","""P.O. GajnerTehsil : Kolayat, Bikaner - 334001, RAJASTHAN""","RAJASTHAN","01534-275061-9","01534-275060","egmnr@gajner.hrhindia.com","www.hrhindia.com","Heritage Basic",45.0
"The Laxmi Niwas Palace ","""(A Unit of Golden Triangle Fort and Palace Pvt. Ltd.) Dr. Karni Singhji Road ,Bikaner ,RAJASTHAN""","RAJASTHAN",8322226523.0,8322435220.0,"panjimin@bsnl.in","NA","Heritage Basic",24.0
"Chomu Palace","""Near Main ChomuBus Stand, Chomu - 303702, RAJASTHAN""","RAJASTHAN ","01423-300400","01423-300400","gm@chomupalacehotel.com/info@chomupalacehotel.com","www.chomupalacehotel.com","Heritage Basic",58.0
"Bissau Palace ","""Outside Chandpole Gate , Jaipur, RAJASTHAN""","RAJASTHAN ",1412304371.0,1412304628.0,"bissau@sancharnet.in","www.bissaupalace.com","Heritage Basic",50.0
"Deogarh Resorts","""Deogarh MahalP.O. Deogarh Madariya, Distt. Rajsamand - 313331, RAJASTHAN""","RAJASTHAN ","02904-252777","02904-252555","deogarh@datainfosys.net","www.deogarhmahal.com","Heritage Basic",45.0
"Shikarbadi Hotel","""Goverdhan Vilas, Udaipur - 313001, RAJASTHAN""","RAJASTHAN ","0294-2583200/04","0294-2584841","shikarbadi@hrhhotels.com","www.hrhhotels.com","Heritage Basic",25.0
"Welcom Heritage - Koolwal Kothi","""House No. 40,Near Government Hospital RoadNawal Garh District, Jhunjhunu, RAJASTHAN""","RAJASTHAN ","01594-225817","01594-225818","indralokhotels@hotmail.com/holidays@welcomheritagehotels.com","www.welcomheritagehotels.com","Heritage Basic",10.0
"Ajit Bhawan","""Near Circuit House, Jodhpur - 342 006, RAJASTHAN""","RAJASTHAN ","0291-2513333, 251141","0291-2510674","reservations@ajitbhawan.com","www.ajitbhawan.com","Heritage Basic",70.0
"Hotel Samode Palace","""Village Samode, Dist. Jaipur - 303806, RAJASTHAN""","RAJASTHAN","01423-240014","01423-240023","reservations@samode.com","www.samode.com","Heritage Basic",43.0
"Raj Niwas Palace","""National Highway-3, Dholpur - 328 001, RAJASTHAN""","RAJASTHAN","05642-220216","05642-224888","info@dholpurpalace.com","www.dholpurpalace.com","Heritage Basic",20.0
"Hotel Castle Mandawa Pvt.Ltd.","""MandawaJhunjhunu District, Shekhawati - 333704, RAJASTHAN""","RAJASTHAN","0141-2371194/2374112","0141-2372084","reservation@castlemandawa.com/castle@datainfosys.net","www.castlemandawa.com","Heritage Basic",70.0
"Rohet Garh","""Village P.O RohetDistt. Pali, Rajasthan, RAJASTHAN""","RAJASTHAN",2936268231.0,2912649368.0,"rohethouse@dataone.in","NA","Heritage Basic",34.0
"Lake Pichola Hotel","""Piplia Haveli, Out Side ChandpoleUdaipur, Rajasthan, Udaipur, RAJASTHAN""","RAJASTHAN",2942431197.0,9242430575.0,"maltidutta50@yahoo.com","NA","Heritage Basic",32.0
"The Ramgarh Lodge","""Ramgarh LakeJamwa Ramgarh, Jaipur - 303109, RAJASTHAN""","RAJASTHAN","01426-214027/214097","01426-252079","ramgarh.jaipur@tajhotels.com","NA","Heritage Basic",14.0
"Hotel Indra Villas ","""A unit of Desert Heritage Resorts Pvt. Ltd. Ward No.2, Village Alsisar , JHUNJHUNU , RAJASTHAN""","RAJASTHAN",1595275567.0,1595275567.0,"info@indravilasalsisar.com","NA","Heritage Basic",43.0
"Singhasan Haveli","""Goenka Chowk, Mandawa,Dist., JHUNJHUNU, RAJASTHAN""","RAJASTHAN",1126124069.0,1126124073.0,"info@singhasanhaveli.com","NA","Heritage Basic",26.0
"Fort Khejarla","""(Aunit of Bhandari Heritage Pvt. Ltd.)Village Khejarla, Via Bilara, Distt. Jodhpur - 342601, RAJASTHAN""","RAJASTHAN","02930-258485 - 25848","02930-258485","khejarlafort@gmail.com","www.jodhpurforkhejarla.com","Heritage Basic",38.0
"Sardargarh Heritage Hotel ","""Sardargarh Fort, Village-Lawa Sardargarh Sardargarh, Dist:-Rajsamand , Rajsamand , RAJASTHAN""","RAJASTHAN",1592223137.0,1592223137.0,"hotelmandawa@yahoo.co.in","NA","Heritage Basic",24.0
"The Sawai Madhopur Lodge","""Ranthambore National Park Road, Sawai Madhopur - 302 005, RAJASTHAN""","RAJASTHAN","07462-220541","07462-220718","vivanta.sawaimadhopur@tajhotels.com","NA","Heritage Basic",36.0
"Karni Bhawan Palace ","""Gandhi Colony Bikaner ,Bikaner ,RAJASTHAN""","RAJASTHAN",1512524701.0,1512522408.0,"karnihotels@satam.net.in","NA","Heritage Basic",12.0
"Norkhill Hotel ","""Stadium Road, Gangtok , SIKKIM""","SIKKIM",3592205637.0,3592205639.0,"norkhill@elginhotels.com","www.elginhotels.com","Heritage Basic",25.0
"Visalam","""7/1/143 LOCAL FUND ROAD, KANADUKATHAN KARAIKUDI, TAMIL NADU, KARAIKUDI, TAMIL NADU""","TAMIL NADU","04565277301, 2",4565273111.0,"visalam@cghearth.com","NA","Heritage Basic",15.0
"Hotel Fairhavens Holiday Home","""Adacent to Head Post Office Mallital, Nainital, UTTARAKHAND""","UTTARAKHAND",5942236057.0,5942236604.0,"fairhavens@rediffmail.com","NA","Heritage Basic",30.0
"The Naini Retreat","""Ayarapatta Sloppes, Nainital - 263001, UTTARAKHAND""","UTTARAKHAND","05942-235105","05942-235103","info@leisurehotels.co.in/bookings@leisurehotels.in","NA","Heritage Basic",32.0
"The Elgin Hotel","""18, H.D. Lama Road, P.O. Darjeeling, WEST BENGAL""","WEST BENGAL",3542257226.0,3542254267.0,"reservation@elginhotels.com","NA","Heritage Basic",20.0
"Taj Falaknuma Palace ","""Engine Bowli, Falaknuma , Hyderabad, ANDHRA PRADESH""","ANDHRA PRADESH",4066298585.0,4066298586.0,"falaknuma.hyderabad@tajhotels.com","NA","5 Star Deluxe",60.0
"ITC HOTEL KAKATIYA","""6-3-1187,BEGUMPETnull, Hyderabad, ANDHRA PRADESH""","ANDHRA PRADESH",402340032.0,4023401045.0,"itckakatiya@itchotel.in","NA","5 Star Deluxe",188.0
"Eros Hotel Managed by Hilton","""S-1American Plaza, International Trade Tower, Nehru Place, New Delhi - 110 019, DELHI""","DELHI","011-41223344","011-26224288","nehruplace.reservations@hilton.com","www3.hilton.com","5 Star Deluxe",216.0
"The Ashok","""50-BChanakyapuri, New Delhi - 110021, DELHI""","DELHI","011-26110101","011-26873216","ashoknd@ndb.vsnl.net.in","www.theashok.com","5 Star Deluxe",550.0
"Hotel Imperial","""Janpath, New Delhi - 110001, DELHI""","DELHI","011-23341234","011-23342255","luxury@theimperialindia.com","www.theimperialindia.com","5 Star Deluxe",233.0
"Hyatt Regency Delhi","""Bhikaji Cama Place, New Delhi - 110066, DELHI""","DELHI","011-26791234","011-26791017","delhi.regency@hyatt.com","NA","5 Star Deluxe",508.0
"ITC-The Maurya","""ITC LimitedDiplomatic Enclave, New Delhi - 110021, DELHI""","DELHI","011-26112233","011-26113333","reservations.itcmaurya@itchotels.in","NA","5 Star Deluxe",440.0
"Le Meridien Hotel","""8, Windsor Place Janpath, New Delhinull, New Delhi, DELHI""","DELHI",1123710101.0,1123714545.0,"info@lemeridien-newdelhi.com","NA","5 Star Deluxe",358.0
"Taj Palace Hotel ","""Sardar Patel Marg , New Delhi ,DELHI""","DELHI",1126110202.0,1126110808.0,"palace.delhi@tajhotels.com","NA","5 Star Deluxe",409.0
"The Lalit","""Barakhamba AvenueConnaught Place,New Delhi - 110001, DELHI""","DELHI","011-44447777","011-44441234","newdelhi@thelalit.com","NA","5 Star Deluxe",457.0
"The Oberoi -  New Delhi","""Dr. Zakir Hussain Marg, New Delhi - 110003,DELHI""","DELHI","011-24363030","011-24360484","reservations@oberoigroup.com","NA","5 Star Deluxe",283.0
"Aman, New Delhi","""Lodhi Road, New Delhi - 110003, DELHI""","DELHI",1143633333.0,1143633335.0,"amannewdelhi@amanresorts.com","NA","5 Star Deluxe",68.0
"The Hotel Leela Palace Kempinski","""Diplomatic Enclave, New Delhi - 110023,DELHI, National Highway No. 8, New Delhi-110037, DELHI""","DELHI","011-39331234, 1126779090","011-39331235","reservations.newdelhi@theleela.com","NA","5 Star Deluxe",260.0
"Riviera De Goa Resort","""Shimer VaddoXimer, Arpora - 403 518, GOA""","GOA","0832-6655666","0832-2277503","mail@rivieradegoaresorts.com","NA","5 Star Deluxe",104.0
"Vivanta by Taj - Panaji","""Off. D.B. Bandodkar RoadSt. Inez, Panaji - 403001, GOA""","GOA","0832-6633636","0832-6633600","vivanta.panaji@tajhotels.com","NA","5 Star Deluxe",172.0
"Vivanta by Taj - Holiday","""(Earlier known as The Taj Holiday Village)Dando, Candolim, Bardez - 403 515, GOA""","GOA","0832-6645858","0832-6645502","vivanta.holidayvillage@tajhotels.com","www.vivantabytaj.com","5 Star Deluxe",142.0
"Bell Tower Resorts Pvt.Ltd. ","""Bell Tower Resorts Pvt.Ltd. (Retreat by Zuri) Pedda, Uttor Doxi, Varca Salcatte-Goa-403721 , Salcete , GOA""","GOA",8322772996.0,8322772996.0,"NA","NA","5 Star Deluxe",106.0
"Hotel Ramada Caravela Beach Resort","""Varca Beach, Salcete - 403721, GOA""","GOA","0832-6695000","0832-6695699","caravela.gr@advanihotels.com/reservations.gr@advanihotels.com","www.caravelabeachresort.com","5 Star Deluxe",200.0
"Vivanta By Taj- Fort Aguada","""Sinquerim, Bardez - 403519, GOA ""","GOA","0832-6645858","0832-6645868","vivanta.fortaguada@tajhotels.com","www.vivantabytaj.com","5 Star Deluxe",145.0
"Th Lalit Golf & Spa Resort Goa","""(Bharat Hotels Ltd.)Raj Baga,Canacona, GOA""","GOA",8322667777.0,8322667711.0,"goaresv@thelalit.com","NA","5 Star Deluxe",225.0
"Resort Rio","""Resort Rio, Tambudki,Arpora, Bardez, GOA""","GOA",8322267300.0,8322267301.0,"gm@resortrio.com","NA","5 Star Deluxe",82.0
"Hotel Cidade de Goa","""(Unit of Fomento Resorts & Hotels Ltd.), Vainguinim Beach - 403004, GOA""","GOA",8322454545.0,"08322454541/42","cidadedegoa@cidadedegoa.com","www.cidadedegoa.com","5 Star Deluxe",205.0
"Majorda Beach Resort","""MajordaSalcette, Goa - 403713, GOA""","GOA","0832-288111/6681111","0832-2881121/2881124","acc@majordabeachresortgoa.com","www.majordabeachresort.com","5 Star Deluxe",120.0
"The Leela Kempinski, Goa","""MoborCavelossim, Salcette - 403731, GOA""","GOA",8326621234.0,8322871352.0,"reservations.goa@theleela.com","www.theleela.com","5 Star Deluxe",186.0
"Hotel Trident - Gurgaon","""Plot No. 443, Udyog ViharPhase - V, Gurgaon - 122016, HARYANA""","HARYANA","0124-2450505","0124-2450606","reservations@tridenthotels.com","NA","5 Star Deluxe",136.0
"The Leela Kempinski -  Gurgaon","""(Ambience Hotels & Resorts Ltd.) Village Nathupur, N.H.-8 Gurgaon, Gurgaon, HARYANA""","HARYANA",1244771234.0,1244771235.0,"reservations.gurgaon-delhi@theleela.com","NA","5 Star Deluxe",412.0
"The Bristol Hotel","""Adjacent to DLFQutab Enclave Phase - 1, Gurgaon - 122002, HARYANA""","HARYANA","0124-2356030","0124-2357834","contact@thebristolhotel.com","www.thebristolhotel.com","5 Star Deluxe",84.0
"Wildflower Hall","""(Mashobara Resort Limited, A Unit of EIH Limited)Chharabra, Shimla - 171 012, HIMACHAL PRADESH""","HIMACHAL PRADESH","0177-2648585","0177-2648686","reservations@oberoigroup.com","www.oberoihotels.com","5 Star Deluxe",85.0
"Vivanta by Taj -  Whitefield","""ITBP Whitefield, Bangalore - 560066, KARNATAKA""","KARNATAKA","080-66933333","080-66933344","vivanta.whitefield@tajhotels.com","NA","5 Star Deluxe",199.0
"Hotel Golden Palms Hotel & Spa","""NO-31 & 32 GOLDEN PALMS AVENUE OFF TUMKUR ROAD BANGALORE,  KARNATAKA""","KARNATAKA",8023712222.0,8023710022.0,"info@goldenpalmshotel.com","NA","5 Star Deluxe",170.0
"ITC Hotel Windsor & Towers ","""WINDSOR SQUARE, 25 GOLF COURES ROAD, Bangalore , KARNATAKA""","KARNATAKA",802269898.0,802264941.0,"www.welcomgroup.com","NA","5 Star Deluxe",240.0
"The Taj West End","""Race Course Road Bangalore, KARNATAKA""","KARNATAKA",8066605660.0,8066605700.0,"westend.bengalore@tajhotels.com","NA","5 Star Deluxe",117.0
"Sheraton Banglore at Brigade Gateway","""26/1, Rajajinagar ExtensionDr. Rajkumar Road, Malleswaram West, Bangalore, KARNATAKA""","KARNATAKA",9.180413792e+11,9.18022210748e+11,"diwaker.tyagi@shraton.com","www.brigadegroup.com","5 Star Deluxe",230.0
"The Oberoi Bangalore","""39 Mahatma Gandhi RoadBanglore-560001, Bangalore, KARNATAKA""","KARNATAKA",9.18025585858e+11,9.1802558596e+11,"reservations@oberoiblr.com","NA","5 Star Deluxe",160.0
"Vivanta by Taj -  Bangalore","""41/3M.G. Road, Bangalore - 560001, KARNATAKA""","KARNATAKA","0806660 4444","0806661 4444","vivanta.mgroad@tajhotels.com","www.vivantabytaj.com","5 Star Deluxe",167.0
"Park Plaza","""NO. 5 Defence Colony,1st main, Indirangar, KARNATAKA""","KARNATAKA",42197330.0,8042452346.0,"sonusarmag@gmail.com","NA","5 Star Deluxe",218.0
"Dream Hotel Cochin","""37/985, C&D, Sahodaran Ayyappan Road Elamkulam Jnction, Kadavanthara cochin-682020, Cochin, KERALA""","KERALA",4844129999.0,4844129898.0,"reservations@dreamcochin.com","NA","5 Star Deluxe",150.0
"Vivanta by Taj - Bekal ","""A Unit of Khanna Hotels PVt. LTd. BRDC Site No. 5, Kappil Beach P.O. Udma West Kasaragod - 671319, Kasaragod , KERALA""","KERALA",4672265656.0,4672265655.0,"tkhanna99@gmail.com","NA","5 Star Deluxe",73.0
"The Lalit Resorts & Spa Bekal","""Bevoori, Udma, Taluka: Hosedurgh Distt: Kasargod Kerala, Kasaragod , KERALA""","KERALA",4672237777.0,4672237575.0,"resvbekal@thelalit.com","NA","5 Star Deluxe",39.0
"Vivanta By Taj - Kovalam","""(Formerly known as Taj Green Cove Kovalam)G V Raja Vattappara Road, Kovalam, Thiruvananthapuram - 695 527, KERALA""","KERALA","0471-6613000","0471-2487744","Vivanta.kovalam@tajhotels.com","www.vivantabytaj.com","5 Star Deluxe",59.0
"Vivanta by - Taj Malabar ","""Willingdon Island , Cochin , KERALA""","KERALA",4846643000.0,4846643182.0,"malabar.cochin@tajhotels.com","NA","5 Star Deluxe",96.0
"The Raviz Kollam","""Kollam Royal Park Hotel And Resorts P LtdMathilil, Kollam, KERALA""","KERALA",4742751111.0,4742741111.0,"info@theraviz.com","www.theraviz.com","5 Star Deluxe",93.0
"Kovalam Resort Private Limited","""The Leela Kovalam,Kerala, Thiruvananthapuram, KERALA""","KERALA",4713051234.0,4712481043.0,"reservations.kovalam@theleela.com","NA","5 Star Deluxe",127.0
"The Grand Temple View ","""Opp. Circuit House , Khajuraho , MADHYA PRADESH""","MADHYA PRADESH",786272333.0,786272123.0,"khajraho@thegrandhotels.net","NA","5 Star Deluxe",47.0
"Hotel Chandela","""Airport RoadDist. Chhatarpur, Khajuraho - 471606, MADHYA PRADESH""","MADHYA PRADESH","07686-272355, 272364","07686-272365, 272366","chandela.khajuraho@tajhotels.com","NA","5 Star Deluxe",90.0
"Chalet Hotel","""Plot no.39/1 6 to 15 Sector 30 AVashi Navi Mumbai, Mumbai, MAHARASHTRA""","MAHARASHTRA",2227817777.0,2227817979.0,"reservations@fourpointsvashi.com","NA","5 Star Deluxe",118.0
"Four Seasons Hotel","""(Unit of Mogus Estates & Hotels Ltd.) Plot NO.114,Dr.E.Moses Road Worli, Mumbai, MAHARASHTRA""","MAHARASHTRA",2266627770.0,2266627437.0,"reservations.mumbai@fourseasons.com","NA","5 Star Deluxe",202.0
"HOTEL SAHARA STAR ","""DOMESTIC AIRPORT, VILE PARLE (E), MUMBAI , MAHARASHTRA""","MAHARASHTRA",2239895000.0,2239895001.0,"www.saharastar.com","NA","5 Star Deluxe",210.0
"Hyatt Regency Mumbai","""Sahar Airport RoadAndheri (East), Mumbai - 400 099, MAHARASHTRA""","MAHARASHTRA","022-66961234","022-66961235","mumbai.regency@hyatt.com","www.mumbai.regency.hyatt.com","5 Star Deluxe",401.0
"Le Royal Meridien ","""SAHAR AIRPORT ROAD ANDHERI (E) , Mumbai , MAHARASHTRA""","MAHARASHTRA",2228380000.0,2228204399.0,"lmmumbai@vsnl.com","NA","5 Star Deluxe",171.0
"Sun-n-Sand Hotels Pvt. Ltd.","""39Juhu Beach, Mumbai - 400 049, MAHARASHTRA""","MAHARASHTRA","022-26201811-6693888","022-26202170","reservations@sunnsandhotel.com","www.sunnsandhotel.com","5 Star Deluxe",120.0
"The Taj Mahal Palace & Tower ","""Apollo Bunder , Mumbai , MAHARASHTRA""","MAHARASHTRA",2266653366.0,2266650300.0,"tmhbc.bom@tajhotels.com","www.tajhotels.com","5 Star Deluxe",565.0
"Hotel Le Meridien","""R.B.M. Road, Pune - 411001, MAHARASHTRA""","MAHARASHTRA",2026050505.0,2026050506.0,"lmpune@lemeridien-pune.com","www.lemeridien-pune.com","5 Star Deluxe",117.0
"Hotel ITC Grand Central","""287, Babasaheb Ambedkar RoadParel,Mumbai-400012, MAHARASHTRA""","MAHARASHTRA",2224101010.0,2224101111.0,"itcgrandcentral@itchotels.in","NA","5 Star Deluxe",242.0
"The Leela Kempinski","""Sahar, Mumbai - 400 059, MAHARASHTRA""","MAHARASHTRA","022-66911234","022-66911212","reservations.mumbai@theleela.com","www.theleela.com","5 Star Deluxe",393.0
"The Oberoi, Mumbai","""Nariman Point, Mumbai - 400021, MAHARASHTRA""","MAHARASHTRA","022-66325757-6632434","022-66324142","reservations@oberoigroup.com","www.oberoihotels.com","5 Star Deluxe",287.0
"The Westin Mumbai Garden City ","""Oberoi Garden City, International Business Park, Off Western Express Highway, Goregaon (East) , Mumbai , MAHARASHTRA""","MAHARASHTRA",2261470000.0,2261470101.0,"mumbaigardencity@westin.com","NA","5 Star Deluxe",269.0
"Fariyas Resort, Lonavla","""Frichley HillsTungarli, Lonavla - 410401, MAHARASHTRA""","MAHARASHTRA","02114-273852-55","02114-272080","fhrl@fariyas.com","www.fariyas.com","5 Star Deluxe",105.0
"Trident, Nariman Point","""Nariman Point, Mumbai - 400 021, MAHARASHTRA""","MAHARASHTRA","022-66324343","022-66325000","reservations@tridenthotels.com","www.tridenthotels.com","5 Star Deluxe",550.0
"Taj Lands End","""B.J. RoadBand Stand, Bandra (West), Mumbai - 400050, MAHARASHTRA""","MAHARASHTRA","022-66681234","022-66680957 - 66994","landsend.mumbai@tajhotels.com","www.tajhotels.com","5 Star Deluxe",493.0
"Trident -  Bhubaneswar ","""CB - 1 Nayapalli, Bhubaneshwar , ORISSA""","ORISSA",6742301010.0,6742301302.0,"reservations@tridenthotels.com","NA","5 Star Deluxe",62.0
"Hotel Mayfair Lagoon","""8-BJaydev Vihar, Bhubaneswar, ORISSA""","ORISSA","91 674 6660101","91 674 2360236","lagoon@mayfairhotels.com","www.mayfairhotels.com","5 Star Deluxe",102.0
"ISTA Amritsar","""G.T. Road(Adjoining Alpha One City Centre), Amritsar - 143 001, PUNJAB""","PUNJAB","0183-2708888","0183-2700186, 270999","sales@istaamritsar.com/reservations.amritsar@istahotels.com","www.istahotels.com","5 Star Deluxe",248.0
"Sheraton Rajputana Hotel","""Palace Road, Jaipur-302006, RAJASTHAN""","RAJASTHAN",1415100100.0,1415102102.0,"reservations.itcrajputana@itchotels.in","sheratonrajputana@itcwelcomgroup.in","5 Star Deluxe",218.0
"The Oberoi Rajvilas","""Goner Road, Jaipur - 303012, RAJASTHAN""","RAJASTHAN",1412680101.0,1412680202.0,"reservations@oberoigroup.com","www.oberoihotels.com","5 Star Deluxe",71.0
"The Oberoi Udaivilas ","""Haridas Ji Ki Magri , Udaipur , RAJASTHAN""","RAJASTHAN",2942433300.0,2942433200.0,"reservations@oberoigroup.com","NA","5 Star Deluxe",87.0
"Country Inn & Suites By Carlson","""Country Inn & Suites By Carlson (A unit of Shivani Enclaves Pvt.,Khasa Kothi Circle M.I.Road, Jaipur, RAJASTHAN""","RAJASTHAN",2222686.0,2222193.0,"mail@goyalfashions.net","NA","5 Star Deluxe",100.0
