-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on educational and family background of juveniles arrested under Indian Penal Code (IPC) and Special and Local Laws (SLL).", 
 "file_name": "EDUCATIONAL_AND_FAMILY_BACKGROUND_OF_JUVENILES_ARRESTED_UNDER_IPC_SPECIAL_AND_LOCAL_LAWS.xls", 
 "title": "All India And State-wise Educational And Family Background Of Juveniles Arrested Under IPC And Special And Local Laws ", 
 "url": "http://data.gov.in/sites/default/files/EDUCATIONAL_AND_FAMILY_BACKGROUND_OF_JUVENILES_ARRESTED_UNDER_IPC_SPECIAL_AND_LOCAL_LAWS.xls"
}
-----
"State","Year","Illiterate","Primary","Above Primary but below Matric/Hr.Sec","Matric/Higher Sec. and above","Total","Living with parents","Living with guardians","Homeless","Total"
"Uttar Pradesh",2009.0,113.0,176.0,146.0,40.0,475.0,452.0,23.0,0.0,475.0
"Uttarakhand",2009.0,130.0,62.0,32.0,30.0,254.0,178.0,32.0,44.0,254.0
"West Bengal",2009.0,37.0,84.0,47.0,27.0,195.0,80.0,79.0,36.0,195.0
"A. & N.Islands",2009.0,0.0,14.0,22.0,2.0,38.0,35.0,3.0,0.0,38.0
"Chandigarh",2009.0,23.0,34.0,46.0,32.0,135.0,129.0,2.0,4.0,135.0
"D. & N.Haveli",2009.0,8.0,6.0,4.0,8.0,26.0,26.0,0.0,0.0,26.0
"Daman and Diu",2009.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,3.0
"Delhi",2009.0,199.0,160.0,167.0,60.0,586.0,484.0,76.0,26.0,586.0
"Lakshadweep",2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2009.0,27.0,54.0,0.0,0.0,81.0,78.0,3.0,0.0,81.0
"Total 2010",2010.0,6339.0,11086.0,9855.0,3023.0,30303.0,24549.0,4082.0,1672.0,30303.0
"Andhra Pradesh",2010.0,767.0,646.0,421.0,115.0,1949.0,1542.0,235.0,172.0,1949.0
"Arunachal Pradesh",2010.0,0.0,14.0,32.0,35.0,81.0,27.0,54.0,0.0,81.0
"Assam",2010.0,225.0,125.0,26.0,9.0,385.0,158.0,143.0,84.0,385.0
"Bihar",2010.0,241.0,188.0,263.0,50.0,742.0,476.0,149.0,117.0,742.0
"Chhattisgarh",2010.0,442.0,1073.0,739.0,102.0,2356.0,1893.0,430.0,33.0,2356.0
"Goa",2010.0,19.0,15.0,37.0,6.0,77.0,75.0,2.0,0.0,77.0
"Gujarat",2010.0,341.0,942.0,662.0,176.0,2121.0,1676.0,281.0,164.0,2121.0
"Haryana",2010.0,79.0,246.0,443.0,139.0,907.0,740.0,18.0,149.0,907.0
"Himachal Pradesh",2010.0,6.0,28.0,92.0,92.0,218.0,214.0,4.0,0.0,218.0
"Jammu & Kashmir",2010.0,2.0,7.0,15.0,3.0,27.0,26.0,1.0,0.0,27.0
"Jharkhand",2010.0,47.0,42.0,10.0,5.0,104.0,96.0,5.0,3.0,104.0
"Karnataka",2010.0,63.0,69.0,35.0,37.0,204.0,169.0,27.0,8.0,204.0
"Kerala",2010.0,38.0,178.0,348.0,262.0,826.0,764.0,55.0,7.0,826.0
"Madhya Pradesh",2010.0,1696.0,2296.0,1941.0,516.0,6449.0,5326.0,919.0,204.0,6449.0
"Maharashtra",2010.0,810.0,2492.0,2224.0,862.0,6388.0,5166.0,793.0,429.0,6388.0
"Manipur",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2010.0,43.0,48.0,24.0,3.0,118.0,69.0,49.0,0.0,118.0
"Mizoram",2010.0,3.0,40.0,73.0,0.0,116.0,114.0,2.0,0.0,116.0
"Nagaland",2010.0,3.0,12.0,30.0,8.0,53.0,42.0,11.0,0.0,53.0
"Orissa",2010.0,195.0,145.0,164.0,40.0,544.0,443.0,73.0,28.0,544.0
"Punjab",2010.0,81.0,83.0,53.0,29.0,246.0,223.0,21.0,2.0,246.0
"Rajasthan",2010.0,322.0,817.0,960.0,279.0,2378.0,2170.0,165.0,43.0,2378.0
"Sikkim",2010.0,4.0,33.0,43.0,2.0,82.0,70.0,10.0,2.0,82.0
"Tamil Nadu",2010.0,445.0,696.0,455.0,48.0,1644.0,1226.0,302.0,116.0,1644.0
"Tripura",2010.0,35.0,6.0,5.0,0.0,46.0,46.0,0.0,0.0,46.0
"Uttar Pradesh",2010.0,166.0,278.0,308.0,100.0,852.0,741.0,98.0,13.0,852.0
"Uttarakhand",2010.0,51.0,71.0,31.0,1.0,154.0,110.0,2.0,42.0,154.0
"West Bengal",2010.0,30.0,119.0,153.0,35.0,337.0,197.0,122.0,18.0,337.0
"A. & N.Islands",2010.0,1.0,19.0,5.0,1.0,26.0,17.0,9.0,0.0,26.0
"Chandigarh",2010.0,24.0,63.0,48.0,33.0,168.0,160.0,8.0,0.0,168.0
"D. & N.Haveli",2010.0,2.0,9.0,8.0,0.0,19.0,19.0,0.0,0.0,19.0
"Daman and Diu",2010.0,4.0,2.0,3.0,1.0,10.0,4.0,4.0,2.0,10.0
"Delhi",2010.0,154.0,235.0,204.0,34.0,627.0,504.0,87.0,36.0,627.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,0.0,49.0,0.0,0.0,49.0,46.0,3.0,0.0,49.0
"Total 2011",2011.0,6122.0,12803.0,10519.0,4443.0,33887.0,27577.0,4386.0,1924.0,33887.0
"Andhra Pradesh",2011.0,911.0,969.0,402.0,192.0,2474.0,1831.0,192.0,451.0,2474.0
"Arunachal Pradesh",2011.0,0.0,45.0,36.0,12.0,93.0,33.0,60.0,0.0,93.0
"Assam",2011.0,119.0,137.0,141.0,30.0,427.0,289.0,117.0,21.0,427.0
"Bihar",2011.0,234.0,332.0,419.0,141.0,1126.0,795.0,261.0,70.0,1126.0
"Chhattisgarh",2011.0,536.0,1111.0,861.0,184.0,2692.0,1893.0,661.0,138.0,2692.0
"Goa",2011.0,79.0,25.0,48.0,5.0,157.0,154.0,2.0,1.0,157.0
"Gujarat",2011.0,441.0,1154.0,676.0,239.0,2510.0,2042.0,287.0,181.0,2510.0
"Haryana",2011.0,26.0,181.0,479.0,148.0,834.0,601.0,212.0,21.0,834.0
"Himachal Pradesh",2011.0,13.0,28.0,85.0,132.0,258.0,254.0,4.0,0.0,258.0
"Jammu & Kashmir",2011.0,2.0,6.0,10.0,3.0,21.0,20.0,1.0,0.0,21.0
"Jharkhand",2011.0,140.0,190.0,69.0,12.0,411.0,306.0,48.0,57.0,411.0
"Karnataka",2011.0,57.0,174.0,90.0,55.0,376.0,253.0,111.0,12.0,376.0
"Kerala",2011.0,17.0,166.0,400.0,302.0,885.0,690.0,146.0,49.0,885.0
"Madhya Pradesh",2011.0,1445.0,2075.0,1396.0,878.0,5794.0,4892.0,606.0,296.0,5794.0
"Maharashtra",2011.0,691.0,2861.0,2215.0,1003.0,6770.0,5818.0,763.0,189.0,6770.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meghalaya",2011.0,45.0,43.0,36.0,4.0,128.0,86.0,42.0,0.0,128.0
"Mizoram",2011.0,7.0,67.0,28.0,3.0,105.0,89.0,16.0,0.0,105.0
"Nagaland",2011.0,4.0,10.0,29.0,3.0,46.0,38.0,7.0,1.0,46.0
"Orissa",2011.0,140.0,254.0,171.0,63.0,628.0,552.0,57.0,19.0,628.0
"Punjab",2011.0,48.0,61.0,65.0,41.0,215.0,195.0,9.0,11.0,215.0
"Rajasthan",2011.0,432.0,814.0,978.0,318.0,2542.0,2392.0,132.0,18.0,2542.0
"Sikkim",2011.0,8.0,15.0,46.0,9.0,78.0,55.0,18.0,5.0,78.0
"Tamil Nadu",2011.0,240.0,1170.0,617.0,56.0,2083.0,1715.0,238.0,130.0,2083.0
"Tripura",2011.0,48.0,25.0,19.0,0.0,92.0,32.0,49.0,11.0,92.0
"Uttar Pradesh",2011.0,123.0,353.0,471.0,257.0,1204.0,1090.0,96.0,18.0,1204.0
"Uttarakhand",2011.0,23.0,27.0,20.0,16.0,86.0,65.0,3.0,18.0,86.0
"West Bengal",2011.0,54.0,134.0,219.0,213.0,620.0,360.0,118.0,142.0,620.0
"A. & N.Islands",2011.0,1.0,1.0,4.0,2.0,8.0,8.0,0.0,0.0,8.0
"Chandigarh",2011.0,35.0,62.0,39.0,23.0,159.0,158.0,1.0,0.0,159.0
"D. & N.Haveli",2011.0,0.0,12.0,10.0,0.0,22.0,22.0,0.0,0.0,22.0
"Daman and Diu",2011.0,1.0,4.0,6.0,5.0,16.0,12.0,4.0,0.0,16.0
"Delhi",2011.0,202.0,281.0,369.0,90.0,942.0,754.0,123.0,65.0,942.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,0.0,16.0,65.0,4.0,85.0,83.0,2.0,0.0,85.0
