-----
{
 "description": "Data provides all India (from 2001 to 2011) and state/UT-wise (2010 and 2011) details of companies (public and private) newly created by industrial activity (number and authorised capital) as on 31st March.", 
 "file_name": "COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls", 
 "title": "Companies Newly Registered By Industrial Activity - Number And Authorised Capital As On 31st March ", 
 "url": "http://data.gov.in/sites/default/files/COMPANIES_NEWLY_REGISTERED_BY_INDUSTRIAL_ACTIVITY.xls"
}
-----
"Year","Classification","Public - No.","Public - Authorised Capital","Private - No. ","Private - Authorised Capital","Total - No.","Total - Authorised Capital"
2004.0,"Constructions",106.0,219.75,2615.0,302.25,2721.0,522.0
2005.0,"Constructions",130.0,225.37,4216.0,637.02,4346.0,862.39
2006.0,"Constructions",299.0,449.66,7644.0,1464.68,7943.0,1914.34
2007.0,"Constructions",352.0,2648.23,8483.0,4246.98,8835.0,6895.21
2008.0,"Constructions",542.0,6583.43,12810.0,9057.83,13352.0,15641.26
2009.0,"Constructions",424.0,654.06,9245.0,2747.48,9669.0,3401.54
2010.0,"Constructions",258.0,735.67,7042.0,1589.65,7300.0,2325.32
2011.0,"Constructions",452.0,3795.87,10042.0,2502.18,10494.0,6298.05
2001.0,"Wholesale & Retail Trade and Restaurants and Hotels",169.0,320.65,3183.0,472.61,3352.0,793.26
2002.0,"Wholesale & Retail Trade and Restaurants and Hotels",147.0,118.54,3644.0,355.33,3791.0,473.87
2003.0,"Wholesale & Retail Trade and Restaurants and Hotels",189.0,170.31,4988.0,456.21,5177.0,626.52
2004.0,"Wholesale & Retail Trade and Restaurants and Hotels",179.0,89.67,5984.0,600.88,6163.0,690.55
2005.0,"Wholesale & Retail Trade and Restaurants and Hotels",193.0,161.77,8341.0,965.72,8534.0,1127.49
2006.0,"Wholesale & Retail Trade and Restaurants and Hotels",219.0,354.8,10278.0,1292.7,10497.0,1647.5
2007.0,"Wholesale & Retail Trade and Restaurants and Hotels",375.0,12328.15,17495.0,5922.18,17870.0,18250.33
2008.0,"Wholesale & Retail Trade and Restaurants and Hotels",226.0,829.51,10686.0,3592.54,10912.0,4422.05
2009.0,"Wholesale & Retail Trade and Restaurants and Hotels",235.0,339.85,12574.0,2088.67,12809.0,2428.52
2010.0,"Wholesale & Retail Trade and Restaurants and Hotels",196.0,208.54,12900.0,1861.71,13096.0,2070.25
2011.0,"Wholesale & Retail Trade and Restaurants and Hotels",244.0,172.1,18035.0,2310.89,18279.0,2482.99
2001.0,"Transport, Storage and Communication",67.0,10051.83,1118.0,124.67,1185.0,10176.5
2002.0,"Transport, Storage and Communication",30.0,37.22,900.0,111.12,930.0,148.34
2003.0,"Transport, Storage and Communication",36.0,10.03,1136.0,109.32,1172.0,119.35
2004.0,"Transport, Storage and Communication",29.0,166.36,1325.0,219.3,1354.0,385.66
2005.0,"Transport, Storage and Communication",48.0,91.55,1675.0,187.22,1723.0,278.77
2006.0,"Transport, Storage and Communication",61.0,288.41,2044.0,1624.27,2105.0,1912.68
2007.0,"Transport, Storage and Communication",71.0,5224.85,1609.0,1018.44,1680.0,6243.29
2008.0,"Transport, Storage and Communication",93.0,2282.26,2048.0,1075.84,2141.0,3358.1
2009.0,"Transport, Storage and Communication",88.0,218.66,2351.0,1163.92,2439.0,1382.58
2010.0,"Transport, Storage and Communication",65.0,8505.91,2147.0,444.5,2212.0,8950.41
2011.0,"Transport, Storage and Communication",73.0,389.75,2759.0,2118.61,2832.0,2508.36
2001.0,"Finance,Insurance,Real Estate and Business Services",809.0,5056.73,8358.0,1786.25,9167.0,6842.98
2002.0,"Finance,Insurance,Real Estate and Business Services",276.0,402.08,5664.0,1386.08,5940.0,1788.16
2003.0,"Finance,Insurance,Real Estate and Business Services",250.0,676.58,6620.0,691.0,6870.0,1367.58
2004.0,"Finance,Insurance,Real Estate and Business Services",260.0,958.55,7575.0,1023.31,7835.0,1981.86
2005.0,"Finance,Insurance,Real Estate and Business Services",262.0,1705.05,10358.0,1634.33,10620.0,3339.38
2006.0,"Finance,Insurance,Real Estate and Business Services",440.0,2203.78,15153.0,3180.57,15593.0,5384.35
2007.0,"Finance,Insurance,Real Estate and Business Services",294.0,7068.84,6657.0,6155.12,6951.0,13223.96
2008.0,"Finance,Insurance,Real Estate and Business Services",662.0,7977.27,18806.0,17511.25,19468.0,25488.52
2009.0,"Finance,Insurance,Real Estate and Business Services",607.0,2728.76,19641.0,6084.99,20248.0,8813.75
2010.0,"Finance,Insurance,Real Estate and Business Services",626.0,2776.07,23385.0,4453.12,24011.0,7229.19
2011.0,"Finance,Insurance,Real Estate and Business Services",986.0,2789.46,32153.0,5979.99,33139.0,8769.45
2001.0,"Community,Social and Personal Services",151.0,138.63,1407.0,252.14,1558.0,390.77
2002.0,"Community,Social and Personal Services",77.0,125.66,1121.0,118.93,1198.0,244.59
2003.0,"Community,Social and Personal Services",65.0,55.16,1243.0,137.25,1308.0,192.41
2004.0,"Community,Social and Personal Services",53.0,43.82,1512.0,164.94,1565.0,208.76
2005.0,"Community,Social and Personal Services",89.0,1217.71,1826.0,230.24,1915.0,1447.95
2006.0,"Community,Social and Personal Services",85.0,82.15,2221.0,332.89,2306.0,415.04
2007.0,"Community,Social and Personal Services",115.0,424.81,2778.0,913.68,2893.0,1338.49
2008.0,"Community,Social and Personal Services",130.0,5365.61,3647.0,1096.72,3777.0,6462.33
2009.0,"Community,Social and Personal Services",169.0,463.83,4560.0,811.32,4729.0,1275.15
2010.0,"Community,Social and Personal Services",171.0,432.04,5130.0,1057.11,5301.0,1489.15
2011.0,"Community,Social and Personal Services",177.0,367.86,6198.0,1119.54,6375.0,1487.4
