-----
{
 "description": "This data provides all India (2001 to 2011) and state-wise (2009 to 2011) details on motives of murder and culpable homicide not amounting to murder.", 
 "file_name": "MOTIVES_OF_MURDER_AND_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER.xls", 
 "title": "All India And State-wise Motives Of Murder And Culpable Homicide Not Amounting To Murder ", 
 "url": "http://data.gov.in/sites/default/files/MOTIVES_OF_MURDER_AND_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER.xls"
}
-----
"State","Year","Murder - Gain","Culpable homicide - Gain","Murder - Property Dispute","Culpable homicide - Property Dispute","Murder - Personal Vendetta or Enmity","Culpable homicide - Personal Vendetta or Enmity","Murder - Love Affairs/Sexual Causes","Culpable homicide - Love Affairs/Sexual Causes","Murder - Dowry","Culpable homicide - Dowry","Murder - Lunacy","Culpable homicide - Lunacy","Murder - Other Motives","Culpable homicide - Other Motives","Murder - Total","Culpable homicide - Total"
"Punjab",2010.0,8.0,4.0,71.0,2.0,63.0,1.0,137.0,2.0,6.0,0.0,0.0,0.0,622.0,111.0,907.0,120.0
"Rajasthan",2010.0,28.0,0.0,56.0,0.0,77.0,0.0,45.0,0.0,39.0,4.0,0.0,0.0,1176.0,100.0,1421.0,104.0
"Sikkim",2010.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,17.0,2.0
"Tamil Nadu",2010.0,153.0,1.0,164.0,0.0,316.0,1.0,237.0,0.0,6.0,0.0,0.0,0.0,999.0,30.0,1875.0,32.0
"Tripura",2010.0,20.0,0.0,32.0,2.0,57.0,0.0,13.0,2.0,14.0,2.0,0.0,0.0,14.0,2.0,150.0,8.0
"Uttar Pradesh",2010.0,138.0,2.0,161.0,10.0,220.0,8.0,282.0,0.0,0.0,0.0,0.0,0.0,3600.0,1381.0,4401.0,1401.0
"Uttarakhand",2010.0,7.0,0.0,5.0,0.0,0.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,151.0,56.0,176.0,60.0
"WestBengal",2010.0,49.0,2.0,43.0,18.0,145.0,30.0,27.0,0.0,285.0,1.0,1.0,3.0,1848.0,576.0,2398.0,630.0
"A. & N.Islands",2010.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,4.0
"Chandigarh",2010.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,21.0,9.0
"D. & N.Haveli",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0
"Daman and Diu",2010.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0
"Delhi",2010.0,26.0,1.0,33.0,2.0,73.0,6.0,54.0,2.0,5.0,0.0,0.0,0.0,374.0,60.0,565.0,71.0
"Lakshadweep",2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2010.0,0.0,0.0,2.0,0.0,20.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,33.0,16.0
"Andhra Pradesh",2011.0,262.0,4.0,178.0,5.0,304.0,11.0,455.0,2.0,165.0,6.0,5.0,0.0,1439.0,143.0,2808.0,171.0
"Arunachal Pradesh",2011.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,65.0,2.0
"Assam",2011.0,111.0,4.0,216.0,7.0,106.0,3.0,62.0,0.0,68.0,0.0,2.0,0.0,738.0,34.0,1303.0,48.0
"Bihar",2011.0,308.0,10.0,1041.0,53.0,463.0,40.0,146.0,5.0,119.0,10.0,0.0,0.0,1121.0,230.0,3198.0,348.0
"Chhattisgarh",2011.0,17.0,0.0,64.0,0.0,79.0,0.0,59.0,2.0,10.0,0.0,2.0,0.0,879.0,26.0,1110.0,28.0
"Goa",2011.0,1.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,30.0,6.0,48.0,6.0
"Gujarat",2011.0,74.0,2.0,112.0,0.0,121.0,0.0,154.0,3.0,4.0,0.0,6.0,0.0,655.0,38.0,1126.0,43.0
"Haryana",2011.0,47.0,3.0,195.0,6.0,222.0,8.0,73.0,0.0,8.0,0.0,0.0,0.0,517.0,43.0,1062.0,60.0
"Himachal Pradesh",2011.0,2.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,130.0,6.0
"Jammu & Kashmir",2011.0,4.0,0.0,13.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,138.0,29.0,169.0,29.0
"Jharkhand",2011.0,173.0,1.0,357.0,13.0,273.0,8.0,210.0,0.0,62.0,1.0,3.0,0.0,669.0,60.0,1747.0,83.0
"Karnataka",2011.0,63.0,1.0,64.0,1.0,128.0,0.0,97.0,1.0,48.0,0.0,0.0,0.0,1420.0,82.0,1820.0,85.0
"Kerala",2011.0,11.0,0.0,11.0,0.0,100.0,2.0,3.0,0.0,0.0,5.0,1.0,0.0,239.0,98.0,365.0,105.0
"Madhya Pradesh",2011.0,113.0,1.0,332.0,0.0,540.0,5.0,207.0,2.0,55.0,1.0,3.0,0.0,1261.0,130.0,2511.0,139.0
"Maharashtra",2011.0,72.0,6.0,147.0,0.0,201.0,3.0,305.0,0.0,113.0,8.0,4.0,0.0,1976.0,127.0,2818.0,144.0
"Manipur",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,4.0,78.0,4.0
"Meghalaya",2011.0,21.0,0.0,19.0,0.0,32.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,95.0,2.0,170.0,3.0
"Mizoram",2011.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,26.0,8.0
"Nagaland",2011.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,11.0,46.0,11.0
"Orissa",2011.0,42.0,0.0,49.0,0.0,178.0,6.0,74.0,1.0,354.0,10.0,0.0,0.0,780.0,34.0,1477.0,51.0
"Punjab",2011.0,8.0,0.0,91.0,6.0,43.0,4.0,77.0,1.0,22.0,3.0,0.0,0.0,601.0,98.0,842.0,112.0
"Rajasthan",2011.0,37.0,0.0,60.0,0.0,73.0,0.0,37.0,0.0,43.0,10.0,0.0,0.0,1211.0,90.0,1461.0,100.0
"Sikkim",2011.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,14.0,8.0
"Tamil Nadu",2011.0,123.0,1.0,145.0,0.0,292.0,0.0,297.0,0.0,8.0,0.0,0.0,0.0,1012.0,27.0,1877.0,28.0
"Tripura",2011.0,8.0,0.0,24.0,0.0,62.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,45.0,0.0,163.0,0.0
"Uttar Pradesh",2011.0,148.0,1.0,138.0,5.0,202.0,3.0,318.0,3.0,0.0,0.0,1.0,0.0,4144.0,1442.0,4951.0,1454.0
"Uttarakhand",2011.0,6.0,0.0,2.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,158.0,52.0,178.0,54.0
"WestBengal",2011.0,62.0,3.0,27.0,15.0,125.0,15.0,12.0,1.0,226.0,10.0,0.0,2.0,1657.0,440.0,2109.0,486.0
"A. & N.Islands",2011.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,14.0,2.0
"Chandigarh",2011.0,1.0,0.0,1.0,1.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,24.0,6.0
"D. & N.Haveli",2011.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0
"Daman and Diu",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0
"Delhi",2011.0,39.0,1.0,25.0,4.0,55.0,3.0,36.0,0.0,14.0,0.0,0.0,0.0,374.0,63.0,543.0,71.0
"Lakshadweep",2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Puducherry",2011.0,1.0,0.0,0.0,0.0,17.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,32.0,12.0
