-----
{
 "description": "This table provides All India (2001-02 to 2010-11) and State wise (2009-10 to 2010-11) data on Area and Production of Plantations such as Cashewnut, Arecanut, Cocoa, and Coconut.", 
 "file_name": "AREA_AND_PRODUCTION_OF_PLANTATIONS.xls", 
 "title": "All India and State Wise Area and Production of Plantations ", 
 "url": "http://data.gov.in/sites/default/files/AREA_AND_PRODUCTION_OF_PLANTATIONS.xls"
}
-----
"State/Union Territory","Cashewnut 2009-10 Area (in '000 Hectare)","Cashewnut 2010-11 Area (in '000 Hectare)","Cashewnut 2009-10 Production (in '000 Tonne)","Cashewnut 2010-11 Production (in '000 Tonne)","Arecanut 2009-10 Area (in '000 Hectare)","Arecanut 2010-11 Area (in '000 Hectare)","Arecanut 2009-10 Production (in '000 Tonne)","Arecanut 2010-11 Production (in '000 Tonne)","Cocoa 2009-10 Area (in '000 Hectare)","Cocoa 2010-11 Area (in '000 Hectare)","Cocoa 2009-10 Production (in '000 Tonne)","Cocoa 2010-11 Production (in '000 Tonne)","Coconut 2009-10 Area (in '000 Hectare)","Coconut 2010-11 Area (in '000 Hectare)","Coconut 2009-10 Production (in '000 Tonne)","Coconut 2010-11 Production (in '000 Tonne)","Total 2009-10 Area (in '000 Hectare)","Total 2010-11 Area (in '000 Hectare)","Total 2009-10 Production (in '000 Tonne)","Total 2010-11 Production (in '000 Tonne)"
" Jharkhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Karnataka",118.0,119.0,53.0,57.0,184.5,184.5,224.0,224.0,9.0,9.5,3.0,3.4,419.0,419.0,"NA",1497.0,730.5,732.0,280.0,1781.4
" Kerala",72.0,78.0,66.0,71.0,97.2,97.2,112.1,112.1,11.0,11.6,6.3,7.0,788.0,788.0,"NA",3992.0,968.2,974.8,184.4,4182.1
" Madhya Pradesh ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Maharashtra",175.0,181.0,198.0,208.0,2.2,2.2,3.58,3.6,"NA","NA","NA","NA",21.0,21.0,"NA",120.0,198.2,204.2,201.58,331.6
" Manipur ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Meghalaya ","NA","NA","NA","NA",12.36,12.4,17.1,17.1,"NA","NA","NA","NA","NA","NA","NA","NA",12.36,12.4,17.1,17.1
" Mizoram","NA","NA","NA","NA",6.58,6.6,8.21,8.2,"NA","NA","NA","NA","NA","NA","NA","NA",6.58,6.6,8.21,8.2
" Nagaland ","NA","NA","NA","NA",0.2,0.2,1.3,1.3,"NA","NA","NA","NA",0.9,0.9,"NA",0.3,1.1,1.1,1.3,1.6
" Orissa",143.0,149.0,84.0,91.0,"NA","NA","NA","NA","NA","NA","NA","NA",51.0,51.0,"NA",190.0,194.0,200.0,84.0,281.0
" Punjab","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Rajasthan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Sikkim","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Tamil Nadu",133.0,135.0,60.0,65.0,5.03,5.0,10.39,10.4,9.3,17.9,0.9,1.0,390.0,390.0,"NA",3692.0,537.33,547.9,71.29,3768.4
" Tripura","NA","NA","NA","NA",4.4,4.4,8.4,8.4,"NA","NA","NA","NA",5.8,5.8,"NA",8.0,10.2,10.2,8.4,16.4
" Uttarakhand","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Uttar Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" West Bengal ",11.0,11.0,10.0,11.0,11.39,11.4,21.16,21.2,"NA","NA","NA","NA",28.6,28.6,"NA",245.0,50.99,51.0,31.16,277.2
" A. & N. Islands","NA",1.1,"NA",0.3,4.1,4.1,6.0,6.0,"NA","NA","NA","NA",21.7,21.7,56.0,65.4,25.8,26.9,62.0,71.7
" Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" D. & N. Haveli ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0.0,"NA",0.0
" Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.7,2.7,40.0,40.0,2.7,2.7,40.0,40.0
" Puducherry","NA","NA","NA","NA",0.06,0.1,0.08,0.1,"NA","NA","NA","NA",2.1,2.1,20.0,20.0,2.16,2.2,20.08,20.1
"Total",923.0,953.2,613.0,674.6,400.09,400.3,477.99,478.1,46.3,56.5,12.9,14.4,1895.2,1895.9,783.0,10840.0,3264.59,3305.9,1886.89,12007.1
