"Name of Agency","Address","Phone","Fax","Email","Region","City","State","Contact Person","TYPE"
"M/S ADVENTURE TOURS","""238 - 239, Somdutt Chamber - II,9, Bhikaji Cama Place""","""011-2616 3909, 011-2616 8214""","011-2617 1060","advtours@vsnl.com","North","NEW DELHI","Delhi","MR. SB GURONG","Adventure Tour Operator"
"M/S SEA & SKY TRAVEL (I) PVT. LTD.","""90/60, Malviya Nagar""","""011- 6461 027, 011-6476 452""","011-6426 248","shbashir@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR. SHEIKH BASHIR","Adventure Tour Operator"
"M/S. WELCOME TRAVELS ( A UNIT OF WELCOME DESTINATI","""209 - Skipper Corner, 88 - Nehru Place""","""011 - 2641 6559, 011 - 2641 6558""","011 - 2644 3037","welcometravel@vsnl.com","North","NEW DELHI","Delhi","MR. RAMESH WATTAL","Adventure Tour Operator"
"M/S. ARTOU VOYAGES PVT. LTD.","""J - 424, Shankar Road, New Rajinder Nagar""","""011 - 2874 2484, 011 - 2874 4320""","011 - 2874 2480","artou@nda.vsnl.net.in","North","NEW DELHI","Delhi","MS. INDRA KAUL","Adventure Tour Operator"
"M/S IBEX EXPEDITIONS PRIVATE LIMITED","""30, Community Centre, East of Kailash""","""011-2646 0244, 011-2646 0246""","011-2646 0245","ibex@ibexexpeditions.com","North","NEW DELHI","Delhi","MR. MANDIP SINGH SOIN","Adventure Tour Operator"
"M/S. FLOAT & FLY TOUR PVT. LTD.","""198/1, 3rd Floor, Ramesh Market,,Sapna Road, East of Kailash (HEAD OFFICE)""","""011 - 2622 4644, 011 - 4162 3562""","011 - 2644 7708","floatfly@del2.vsnl.net.in","North","NEW DELHI","Delhi","MR. NOOR M. ALIKADI","Adventure Tour Operator"
"M/S WORLD EXPEDITIONS (INDIA) PVT. LTD.","""7, L.S.C., Madangir""","""011 - 4164 9358, 011 - 4164 9359""","011- 4164 9357","worldexpeditions@vsnl.com","North","NEW DELHI","Delhi","MR HARSH VARDHAN SHARMA","Adventure Tour Operator"
"M/S. WILD LIFE ADVENTURE TOURS","""707, Akash Deep building , Barakhamba Road,""","""011 - 2331 3229, 011 - 2331 2773""","011 - 2331 2984","info@wildtours.com","North","NEW DELHI","Delhi","MS. SHANTI RANI KHOLI DUGAL","Adventure Tour Operator"
"M/S. KASH' VENTURE TRAVELS PVT. LTD.","""805 - 806, Kirti Shikhar, District Centre, Janakpuri""","""011 - 2552 3807, 011 - 2554 4089""","011 - 2553 4003","info@kvtholidays.com","North","NEW DELHI","Delhi","MR. MOHAN TICKOO","Adventure Tour Operator"
"M/S MERCURY HIMALAYAN EXPLORATIONS LTD.","""Jeevan Tara Building,Parliament Street""","""011-2334 6209, 011-2334 0033""","011-4356 5415","adventure@vsnl.com","North","NEW DELHI","Delhi","COMDT. S.P.AHUJA","Adventure Tour Operator"
"M/S. AAGMAN INDIA TRAVEL & LIVING PVT. LTD.","""H-13, Top Floor, ,South Extension-1""","011 2462 2954","011 2462 2958","sanjay@aagmanindia.com","North","New Delhi","Delhi","MR. SANJAY KUMAR CHHOKAR","Adventure Tour Operator"
"M/S. PRERANA TOUR & TRAVELS","""shop No-9 Mkt No-1,Sector-7 R.K Puram""","""011 2617 2825, 011 2617 2562""","011 2617 2562","subashchander941@gmail.com","North","New Delhi","Delhi","MR. SUBHASH CHANDER","Adventure Tour Operator"
"M/S RUCK SACK TOURS PRIVATE LIMITED","""B-412, Som Datt Chambers-I,5 Bhikaji Cama Place""","""011-2618 3696, 011-2617 3717""","011-26194377","rucksack@vsnl.com","North","NEW DELHI","Delhi","MS RANI PURI","Adventure Tour Operator"
"M/S. FLOAT & FLY TOUR PVT. LTD.","""Polo View, Srinagar (Branch Office)""","0194 - 475 418","0194 - 475 418","floatfly@del2.vsnl.net.in","North","SRINAGAR","Jammu & Kashmir","MR. J. P. SANGAR","Adventure Tour Operator"
"M/S. NALS OUTDOORS INDIA PRIVATE LIMITED","""No. 7, 1st Floor, Vincent Colony, R. S. Puram,,Coimbatore (Head Office)""","0422 - 2543 800","0422 - 2542 800","enquiry@nals.in","South","COIMBATORE","Tamilnadu","MR. SESHADRI VENKATESAN","Adventure Tour Operator"
"M/S. ADVENTURES UNLIMITED","""A - 29, Parsn Palm Apts, Ondipudur,Coimbatore""","0422 - 4348 025","0422 - 4348 025","adventunlimited@yahoo.com","South","COIMBATORE","Tamilnadu","MRS SHYAMALA JAYSHANKAR","Adventure Tour Operator"
"M/S. NALS OUTDOORS INDIA PRIVATE LIMITED","""NALS Camp Office - Branch, Palaniappa,,Coonoor, Distt., Nilgiris (BO)""","09585 - 500 905","NA","devashola@nals.in","South","COONOOR","Tamilnadu","MR. SESHADRI VENKATESAN","Adventure Tour Operator"
"M/S. CLUBSIDE TOURS & TRAVELS PVT. LTD.","""J. P. Sharma Road, Darjeeling,Darjeeling""","""0354 - 2254 646, 0354 - 2254 647""","0354 - 2254 123","tours@clubside.in","East","DARJEELING","West Bengal","MR. SURESH PERIWAL","Domestic Tour Operator"
"M/S. NEPTUNE HOLIDAYS PVT. LTD.","""55-B, Mirza Galib Street, Saberwal House,,Ground Floor, Kolkata - 700 016""","""0353 - 252 6668, 0353 - 252 5323""","0353-252 5323","slg@neptuneholidays.com","East","KOLKATA","West Bengal","MR. CHANDRA PRAKASH BHATTER","Domestic Tour Operator"
"M/S. EAST WIND HOLIDAY TOURS PVT. LTD.","""Suit No. 5, 8th Floor, Chatterjee International,Centre, 33A, J.L.Nehru Road, Kolkata""","033 - 4013 7777","NA","eastwind@visithimalaya.com","East","KOLKATA","West Bengal","MR. RAJIB BANERJEE","Domestic Tour Operator"
"M/S. KAIZEN LEISURE & HOLIDAYS LTD.","""6A, Acharya Jagadish Chandra Bose Road,Kolkata""","""033 - 2290 9269, 033 - 2287 1052""","033 - 2290 0138","enquiry@kaizenholidays.co.in","East","KOLKATA ","West Bengal ","MR. A.K. ADHIKARI","Domestic Tour Operator"
"M/S. INDIAN TOURIST BUREAU","""16, Ground Floor, Sukriti Complex,S.P. Verma Road, Patna""","""0612 - 3256 595, 0612 - 2235 175""","0612 - 2235 175","indiantouristbureay@rediffmail","East","PATNA","Bihar","MR. RAJESH KUMAR","Domestic Tour Operator"
"M/S. NBTT TRAVEL SOLUTION PVT. LTD.","""3, Tilok Road (Behind Kanchandzonga Stadium),""","0353 -6457 207","0353 - 2461 385","itdc.nbtt@gmail.com","East","SILIGURI","West Bengal","MR. SNEHASISH BHAUMIK","Domestic Tour Operator"
"M/S. HEAT TRAVELS & TOURS (INDIA) PVT. LTD.","""Shiv Mahal, 34, Bidyasagar Road, Khalpara,,Siliguri""","""0353 - 2504 631, 0353 - 2504 632""","0353 - 2503 630","heat@sancharnet.in","East","SILIGURI","West Bengal","MR DEEPAK GUPTA","Domestic Tour Operator"
"M/S. LEISURE TOURS(A DIV. OF MY LEISURE BREAKS PVT","""A26/12A, Ist & Iind Floor, DLF City Phase - I""","""0124 - 4105 790, 0124 - 4105 795""","0124 - 4105 799","contact@leisuretoursindia.com","North","GURGAON","Haryana","MR. NAVEEN KUNDU","Domestic Tour Operator"
"M/S. MARVEL TRIP LTD","""103, MARVEL HOUSE , , ARJUN MARG DLF PHASE-1, GURGAON""","0124 - 4223 344","0124-4223 344","info@marveltrip.com","North","GURGAON","Haryana","MR. NITIN JAIN","Domestic Tour Operator"
"M/S. MONAL HIMALAYAN TRAVELS","""The Mall, Manali, Distt. Kullu""","01902 - 254 215","01902 - 254215","safarimonal@sancharnet.in","North","KULLU","Himachal Pradesh","MR. SANJAY KUMAR","Domestic Tour Operator"
"M/S. GARHWAL HIMALAYAN EXPEDITION","""E - 15, First Floor, Plot No. 144 - 145,Sector - 8, Rohini""","011 - 2794 8870","011 - 2794 7265","garhwal@satyam.net.in","North","DELHI","Delhi","DR. M. SHARMA","Domestic Tour Operator"
"M/S. OFFBEAT TOURS PVT. LTD.","""4B - Mahalaxmi Sqaure, 2nd Floor, Sector - 12,,Vasundhara, Link Road, Ghaziabad""","""0120-2880 464, 0120 - 2880 465""","0120 - 2880 468","abhinav@indiaoffbeat.com","North","GHAZIABAD","Uttar Pradesh","MR. ABHINAV GOEL","Domestic Tour Operator"
"M/S. TATVA INDIA TOURS","""C - 760, Sushant Lok - 1,,Gurgaon""","""0124 - 2392 560, 0124 - 4049 870""","0124 - 4049 871","info@tatvaindiatours.com","North","GURGAON","Haryana","MR. S. C. MARWAH","Domestic Tour Operator"
"M/S. TRAVEL TRACKS LTD.","""Plot No. 7. Sector - 32. Institutional Area,Gurgaon""","""0124 - 403 4833, 0124 - 403 4835""","0124-403 4830","admin@mytraveltracks.com","North","GURGAON","Haryana","MR. NIKHIL KUMAR","Domestic Tour Operator"
"M/S. YATRA ONLINE PVT. LTD.","""B - 21, Infocity, Sector - 34,,Near Hero Honda Chowk""","0124 - 3040 500","0124 - 3040 500","dhruv.shringi@yatra.com","North","GURGAON","Haryana","MR DHRUV SHRINGI","Domestic Tour Operator"
"M/s. ROVER HOLIDAYS PVT LTD.","""1C/102, N.I.T,Faridabad""","""0129-4027006, 0129-4107006""","91-129-2422006","info@roverholidays.com","North","Haryana","Delhi","MR.PAUL DEVASSY","Domestic Tour Operator"
"M/S. TYBROS (INDIA) TOURS PVT. LTD.","""5/54 (FF), Shankar Road, Old Rajinder Nagar""","011 - 4141 1414","011 - 2572 5640","info@tybrosindia.com","North","NEW DELHI","Delhi","MR. VIVEK TYAGI","Domestic Tour Operator"
"M/S. WISH BONE INDIA","""D-25, Lajpat Nagar-11""","011- 4443 4443","011- 4443 4450","info@wbi.co.in","North","New Delhi","Delhi","MR. AMIT AGGARWAL","Domestic Tour Operator"
"M/S. FLIGHT CENTER TRAVELS PRIVATE LIMITED","""B -7, Extension / 63, Safdarjung Enclave""","""011 - 4165 3060, 011 - 4165 3061""","011 - 4165 3020","info@flightcentertravels.com","North","NEW DELHI","Delhi","MR. AJAY SAROOP GUPTA","Domestic Tour Operator"
"M/S. DIPLOMATIC TRAVEL POINT (P) LTD.","""C - 3, 2nd Floor, Main Market, Vasant Vihar""","011 - 2614 4654","011 - 2614 7375","info@indiatourismworld.com","North","NEW DELHI","Delhi","MR. P.P.KHANNA","Domestic Tour Operator"
"M/S. RAO TRAVELS (REGD.)","""17, 18, 19, Vasant Enclave Market,Vasant Vihar""","""011 - 2614 4545, 011 - 2614 3238""","011 - 2614 4433","info@raotravels.com","North","NEW DELHI","Delhi","MR. SRINIVAS RAO","Domestic Tour Operator"
"M/S. D. PAUL'S TRAVEL & TOURS","""(Travel Division of D. Pauls Consumer Benefit Ltd,B - 50, Shivalik""","""011 - 6621 1111, 011 - 6621 1197""","011 - 6621 1168","rishi@dpaulstravel.com","North","NEW DELHI","Delhi","MR. RAGHUVINDER PAL SINGH","Domestic Tour Operator"
"M/S. SHAMROCK JOURNEYS (P) LTD.","""108, R.B. House, Hzt. Nizamuddin West""","""011 - 2435 8826, 011 - 2435 8828""","011 - 4182 7919","travel@shamrockjourneys.com","North","NEW DELHI","Delhi","MR. SHAHID ALI KHAN","Domestic Tour Operator"
"M/S. COX & KINGS (INDIA) LTD.","""Indra Palace, H - Block, Connaught Circus,(Branch Office)""","""011 - 4129 7900, 011 - 2373 8811""","011 - 2331 7373","urrshila@coxandkings.com","North","NEW DELHI","Delhi","MR. VIJAY TIWARI","Domestic Tour Operator"
"M/S. PEARLS TOURISM LIMITED","""707 - 708, 7th Floor, Ashoka Estate,Barakhamba Road, Connaught Place""","011 - 4356 5000","011 - 4353 8906","info@pearlstourism.net","North","NEW DELHI","Delhi","MR. JYOTI NARAIN","Domestic Tour Operator"
"M/S. VIBGYOR TRAVELS PVT. LTD.","""14, School Lane, Bengali Market""","""011 - 4152 6029, 011 - 2335 9973""","011 - 2335 9972","vibgyortravels@gmail.com","North","NEW DELHI","Delhi","MS. TANUSHREE GANGULI","Domestic Tour Operator"
"M/S. ENGEE TOURS & TRAVELS","""103, Rattan Jyoti Building, 18, Rajendra Place""","""011 - 4153 8800, 011 - 4153 8811""","011 - 2582 4821","engeesales@gmail.com","North","NEW DELHI","Delhi","MR. VINEET GOPAL","Domestic Tour Operator"
"M/S. EXPLORE INDIA TOURISM PVT. LTD.","""F - 8, Kalkaji""","""011 - 4656 6865, 011 - 6569 8839""","NA","mktg@exploreindya.net","North","NEW DELHI","Delhi","MR. PRASHANT","Domestic Tour Operator"
"M/S. CREATIVE TRAVEL PVT. LTD.","""Creative Plaza, Nanakpura, Moti Bagh""","""011 - 2467 9192, 011 - 2687 2258""","011 - 2688 5886","creative@travel2india.com","North","NEW DELHI","Delhi","MR. SANDEEP KAPUR","Domestic Tour Operator"
"M/S. KSM HOTEL CONNECTIONS INDIA PVT. LTD.","""12/7, LGF, West Patel Nagar,,""","""011 - 6548 1693, 011 - 4509 4627""","011 - 4248 8694","sales@ksm-hci.com","North","NEW DELHI","Delhi","MR. K.B.MAHANTA","Domestic Tour Operator"
"M/S. ALPINE HOLIDAYS 'N' ADVENTURES","""82, Shiva Enclave, Pocket - 1, Sector - 25,Rohini""","011 - 2793 4832","011 - 2793 2932","alpine12@vsnl.com","North","NEW DELHI","Delhi","MR. DEEPAK GANJOO","Domestic Tour Operator"
"M/S. CORPORATE TOURS & TRAVELS ( A DIV. OF JDB LTD","""509, Amba Deep, 14, K. G. Marg,""","""011 - 2331 9690, 011 - 2331 9699""","011 - 2373 0524","jaydee@nde.vsnl.net.in","North","NEW DELHI","Delhi","MR. J. R. PANDEY","Domestic Tour Operator"
"M/S. ASHEX TOURISM","""267, Okhla Industrial Estae, Phase - III""","""011 - 4686 2772, 011 - 4161 2107""","011 - 4686 2777","reservations@ashextourism.com","North","NEW DELHI","Delhi","MR. ASHISH SAWHNEY","Domestic Tour Operator"
"M/S. TOURS N TRAVEL INDIA","""F - 105, Aditya Tower, Laxmi Nagar Dist. Centre""","011 - 4242 7954","011 - 2216 4892","info@w3travels.com","North","NEW DELHI","Delhi","MR. MUNISH SINGHAL","Domestic Tour Operator"
"M/S. THE CO - ORDINATORS","""135, Mohammadpur, Bhikaji Cama Place""","""011 - 2619 0576, 011 - 2618 9430""","011 - 2610 5518","co_ordinators@rediffmail.com","North","NEW DELHI","Delhi","MR. SUNIL KUMAR BASSI","Domestic Tour Operator"
"M/S. LANDMARK TOURS & TRAVELS PVT. LTD.","""15 A / 38, W.E.A., Karol Bagh""","""011 - 2578 6588, 011 - 2578 6589""","011 - 2578 6590","landmark@landmarkindia.com","North","NEW DELHI","Delhi","MR. RAVI LUTHRA","Domestic Tour Operator"
"M/S. GREENLAND JOURNEY PVT. LTD.","""21/45, Top Floor, West Patel Nagar""","""011 - 4503 7550, 011 - 2588 7393""","011 - 2588 7393","info@greenlandjourney.com","North","NEW DELHI","Delhi","MR. SUNIL VASHISHT","Domestic Tour Operator"
"M/S. R. K. ASSOCIATES & HOTELIERS PVT. LTD.","""A - 25, First Floor, Hospital Road,Jangpura - A""","011 - 4710 0223","011 - 2437 3621","sbagrawal_rka@rediffmail.com","North","NEW DELHI","Delhi","MR. RAJEEV MITTAL","Domestic Tour Operator"
"M/S. R.G. DESTINATIONS (P) LTD.","""207, Suchet Chambers, 1224 / 5,,Bank Street, Karol Bagh""","011 - 2875 2857","011 - 4504 2509","sales@rgdestinations.com","North","NEW DELHI","Delhi","MR. CHETAN GUPTA","Domestic Tour Operator"
"M/S. JETSAVE HOLIDAYS","""23 / 1, Lower Ground Floor,East Patel Nagar""","""011 - 4248 2525, 011 - 4248 2704""","011 - 4248 2706","jetsave@gmail.com","North","NEW DELHI","Delhi","MR. NAVEEN SHARMA","Domestic Tour Operator"
"M/S. METRO HOTEL & KHAZIR TRAVELS (PVT) LTD.","""Kohna Khan, Dalgate""","""0194 - 2471 199, 0194 - 2477 126""","0194 - 2478 256","metrokhaz@sanchar.net","North","SRINAGAR","Jammu & Kashmir","MR. HAJI .K . M. DAR","Domestic Tour Operator"
"M/S. RHINO TRAVELS","""M.L.Nehru Road, Panbazar,Guwahati""","""0361 - 2540 061, 0361 - 2540 666""","0361 - 2547 025","tourinfo@rhinotravels.com","North East","GUWAHATI","Assam","MR. ARUP KR. BARUA","Domestic Tour Operator"
"M/S. KAZIRANGA HOLIDAYS","""190, Savitri Villa, M. D. Road, Chandmari,Guwahati""","0361 - 2664 444","NA","info@kazirangaholidays.com","North East","GUWAHATI","Assam","MR. RAJKUMAR DAS","Domestic Tour Operator"
"M/S. SHIVANI AVIATES PVT. LTD.","""B 6, - 7, Tribeni's Commercial Complex,,Ground Floor, G. S Road, Ulubari""","""0361 - 2464 263, 0361 - 2464 266""","0361 - 2463 627","shivanoholid@sify.com","North East","GUWAHATI","Assam","MR. BHUPEN MAZUMDAR","Domestic Tour Operator"
"M/S. THY GRACE INTERNATIONAL'S COCOKERALA","""Room No. 141, IIIRd Floor, DD Mile Stone,Kadavanthara, Eranakulam""","0484 - 3230 431","0484 - 4000 335","info@cocokerala.com","South","ERANAKULAM","kerala","MR. JAIMY JOSEPH","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""D. No. 2953/E-I, 1st Floor, Service Road,Opp. Maruthi Mandir, Vijayanagar""","320 6104","NA","nirmalatravels@airtelmail.in","South","BANGALORE","Karnataka","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""No. 67/1, 'Sriranga' Subbaram Chetty Road,,Netkallapa Circle, Basavanagudi""","320 6104","NA","nirmalatravels@airtelmail.in","South","BANGALORE","Karnataka","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. FRONTIER TOURS AND TRAVELS","""#17, 1 Main Road, 1st Floor, 10th Cross,,Vasanth Nagar""","""080 - 2235 1342, 080 - 2220 6760""","080 - 2235 3406","bvn@frontierholidays.com","South","BANGALORE","Karnataka","MR. A. SENTHIVEL","Domestic Tour Operator"
"M/S. COMFORT HOLIDAYS","""2nd Floor, YWCA Cultural Complex,YWCA Cross Road, Calicut""","""0495 - 2762 574, 0495 - 4020 236""","0495 - 2762 573","info@comfortholidays.co.in","South","CALICUT","kerala","MR. MOHIYUDHEEN.P.K","Domestic Tour Operator"
"M/S. TAMIL NADU TOURISM DEVELOPMENT CORPORATION LT","""No. 2, Tourism Ceomplex, Wallajah Road,Near Kalaivanar Arangam""","""044 - 2536 7850, 044 - 2536 7854""","044 - 2538 1567","ttdc@md3.vsnl.net.in","South","CHENNAI","Tamilnadu","MR. THIRU SANWAT RAM","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""No. 6, First Floor, Eureka Blue Star Complex,Neeligin Road""","""2250 630, 235 3367""","225 0630","nirmalatravels@airtelmail.in","South","HUBLI","Karnataka","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. DHARANI TRAVEL SERVICES","""3-6-369/1, Sanatana Ecstasy, 4th Floor, Near TTD,Between St. No.1&2, Liberty""","""040 - 2763 9773, 040 - 6684 9773""","040 - 6610 7773","dharani_travels@yahoo.co.in","South","HYDERABAD","Andhra Pradesh","MRS. K. PRASANNA KUMARI","Domestic Tour Operator"
"M/S. HAPPY TRAVWORLD","""No. 5, Moghal's Emami Mansion, Opposite Shadan,College, Khairatabad""","040 - 2337 2339","040 - 2337 2336","mail@happytravworld.in","South","HYDERABAD","Andhra Pradesh","MR. ESWAR ANAND","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""Darasalam Building, Chandragiri Road""","04994 - 225 054","NA","nirmalatravels@airtelmail.in","South","KASARAGOD","Tamilnadu","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. KERALA TOUR MART INDIA PVT LTD.","""Osaka Bhawan, Opp. Muncipal Office,Angamally""","""0484- 3057 737, 0484- 3057 735""","0484- 2458 304","intl@keralatourmart.com","South","Kerala","kerala","MR.P.B BOSS","Domestic Tour Operator"
"M/S. FORTUNE TOURS & TRAVELS","""2nd Floor, V. B. Udyog, St. Vincent Road,,Ernakulam North, Cochin""","""0484 - 4020 030, 0484 - 2395 599""","NA","fortunekochi@gmail.com","South","Kochi","kerala","MR. VINOD V","Domestic Tour Operator"
"M/S. VIKRAM TRAVELS & RESORTS INDIA PVT. LTD.","""K. R. Rao Road, Karangalpady""","""0824 - 2494 140, 0824 - 2491 109""","0824-2494 570","viktours@rediffmail.com","South","MANGALORE","kerala","MR. H.V.SHIVANAND","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""105, City Plaza, Kudmal Ranga Rao Road,(Head Office)""","""0824-249 7051, 0824-427 4007""","0824-249 7054","nirmalatravels@airtelmail.in","South","MANGALORE","Karnataka","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. VOYAGES KERALA","""TC 36 / 1099 (3), 2nd Floor, Sandini Building,,Enjakkal Jn., Vallakkadavu P.O., Trivandrum""","0471 - 257 2070","0471 - 257 2071","tours@voyageskerala.com","South","THIRUVANANTHAPURAM","kerala","MR. SANJEEV KUMAR","Domestic Tour Operator"
"M/S. NIRMALA TRAVELS","""Shanti Nivas Building, Kavi Muddanna Marg""","0820 - 252 0631","NA","nirmale@sancharnet.in","South","UDUPI","Tamilnadu","MRS. C. NIRMALA KAMATH","Domestic Tour Operator"
"M/S. TRAVEL CONNECTION","""149, 1st floor, Arcade Silver 56,,Chappan Dukan(56 shops), New Palasia""","""0731 - 4066990, 0731 - 2436620""","0731 - 4066990","info@travelconnectionindia.com","West","INDORE","Madhya Pradesh","MR. ATUL SINGH","Domestic Tour Operator"
"M/S TREASURE TOURS & TRAVELS PVT. LTD","""18/C/1-2, ' Zenith', Bhavani Nagar, M.M. Road,Andheri (E)""","""022 - 2925 5555, 022 - 6678 7740""","022 - 2925 5557","holidays@mimgroup.in","West","MUMBAI","Maharastra","MR. IQBAL MULLA","Domestic Tour Operator"
"M/S CITIZEN WORLD TRAVELS PVT. LTD.","""18/C/1 -2, ' Zenith', Bhavani Nagar, M.M.Road,,Andheri (E)""","""022 - 2925 5555, 022 - 6678 7740""","022 - 2925 5557","citizentpt@mimgroup.in","West","MUMBAI","Maharastra","MS. VAHEEDA I. MULLA","Domestic Tour Operator"
"M/S. HEENA TOURS & TRAVELS","""101, 102, Liberty Bldg., Behind ML Donals Sarojini,Road, Vile Parle (West)""","""022 - 6729 4444, 022 - 2616 6666""","022 -2619 1919","mail@heenatours.in","West","MUMBAI","Maharastra","MR. JITENDRA SHAH","Domestic Tour Operator"
"M/S. COX AND KINGS (INDIA) LIMITED","""Turner Morrison Building, 16, Bank Street,Fort (Head Office)""","022 - 2270 9100","022 - 2270 9161","urrshila@coxandkings.com","West","MUMBAI","Maharastra","MR. VIJAY TIWARI","Domestic Tour Operator"
"M/S. K. V. TOURS & TRAVELS","""5, Blue Bell CHS Ltd., Royal Complex, Eksar Road,Borivali (West)""","""022 - 2895 2929, 022 - 3246 9191""","022 - 2895 2929","kvedu@yahoo.co.in","West","MUMBAI","Maharastra","MR. VIJAY THAKKER","Domestic Tour Operator"
"M/S. NIVA TRAVELS (A DIFFIRENT VISION OF TRAVELS)","""208, Ruby Industrial Estate, Chincholi Bunder Road,Malad (West)""","""022 - 6523 1500, 022 - 4003 9949""","022 - 4003 9949","info@nivatravel.com","West","MUMBAI","Maharastra","MR. ROHIT KHANNA","Domestic Tour Operator"
"M/S. MADHUCHANDA TRAVELS","""2, Raghukul, Kelkar Road,Ramnagar,,Dombivli (East)""","""0251 - 2861 884, 0251 - 2860 982""","NA","mchandae@yahoo.com","West","MUMBAI","Maharastra","MRS. NILIMA C. DUNAKHE","Domestic Tour Operator"
"M/S. SOTC HOLIDAYS OF INDIA","""4th Floor, RNA Corporate Park,Bandra (East)""","022 - 6661 7500","022 - 6614 2010","bineetam@kuoniindia.com","West","MUMBAI","Maharastra","MR. ZUBIN KARKARIA","Domestic Tour Operator"
"M/S. KESARI TOURS PRIVATE LIMITED","""1-4, 4A, Kings Corner CHS,L.J.Road, Mahim""","022 - 2433 2222","022 - 2432 2020","smiles@kesari.in","West","MUMBAI","Maharastra","MR. KESARI PATIL","Domestic Tour Operator"
"M/S. CHOUDHARY YATRA CO, PVT. LTD.","""276, M. G. Road (H.O)""","""0253 - 2598 242, 0253 - 2598 871""","0253 - 2598 871","choudhary_yatra@rediffmail.com","West","NASHIK","Maharastra","MR. RAMGOPAL C. CHOUDHARY","Domestic Tour Operator"
"M/S. MAKSON AUTO HIRERS","""A2/22, Elite Garden, Off D.P.Road,Aundh""","""020-66488888, 020-25885748""","020-66488866","info@makson.co.in","West","PUNE","Maharastra","MR. LAKSHMIKANT MAKHARIA","Domestic Tour Operator"
"M/S. ECSELS THE TRAVEL AGENCY (PVT.) LTD.","""B - 23, Saheed Nagar, Bhubaneswar""","""0674 - 2547 853, 0674 - 2547 339""","0674 - 2547 853","ecselsholidays@gmail.com","East","BHUBANESWAR","Orisa","MR. MANOJ KUMAR MOHANTY","Tourist Transport Operator"
