"State","Sector","Project","Type","Date of Sanction","Approved Cost (Rs. in Lakh)","Release as on Date (Rs. in Lakh)","Utilisation as on Date (Rs. in Lakh)","Last Release Amount (Rs. in Lakh)","Last Release Date","Target Date of Completion","Actual Date of Completion"
"Arunachal Pradesh","Education","Infrastructure Development of the School (C/o Hostel Building of JNK School) run by Arunachal Welfare and Education Society located at Itanagar, Arunachal Pradesh. (Additional proposal of JNK school Building)","NLCPR","20/12/2007","157.45","49.60","49.60","49.60","26/12/2007","31/12/2009",""
"Arunachal Pradesh","Education","Hostel buildings for 110 primary  & middle sc","NLCPR","28/07/2000","2200.00","2200.00","2200.00","600.00","20/07/2004","31/03/2002","31/03/2005"
"Arunachal Pradesh","Education","Furniture for 1557 Primary & Middle school.","NLCPR","23/08/2001","163.00","163.00","163.00","163.00","23/08/2001","29/08/2003","13/05/2004"
"Arunachal Pradesh","Education","Construction of 150 Borders Hostel at Higher Secondary School Kolariang","NLCPR","23/12/2005","95.00","83.01","83.01","53.09","27/09/2007","31/12/2007","31/03/2005"
"Arunachal Pradesh","Education","Vivekananda Kendra Vidyalaya, Koliarang,","NLCPR","30/10/2001","80.00","80.00","80.00","80.00","30/10/2001","31/10/2004","17/07/2006"
"Arunachal Pradesh","Education","Infrastucrctural devlopment of 275 community schools running pre- primary classes in villages","NLCPR","10/08/2000","582.00","551.00","550.00","260.00","05/05/2004","31/03/2002","31/08/2007"
"Arunachal Pradesh","Education","Sarva Shiksha Abhiyan 2006-07","NLCPR","26/09/2006","1428.74","1428.74","1428.74","606.76","31/03/2008","31/03/2008","09/03/2011"
"Arunachal Pradesh","Education","Infrastructure Development of various Schools under Palin Circle, Kurung Kumey District","NLCPR","26/12/2011","1382.12","487.80","0.00","487.80","26/12/2011","31/12/2014",""
"Arunachal Pradesh","Education","Sarva Shiksha Abhiyan 2005-06","NLCPR","28/03/2006","820.10","820.10","820.10","820.10","28/03/2006","31/12/2006","09/03/2011"
"Arunachal Pradesh","Education","Infrastructure development of VKV Koloriang (Phase-II)","NLCPR","02/06/2010","281.48","198.68","99.34","99.34","19/03/2012","30/11/2011",""
"Arunachal Pradesh","Education","Opening of Ramakrishna Sarada Mission School for girls at Khaso (Dirang) in West Kameng District","NLCPR","26/12/2007","588.05","518.87","518.87","133.63","20/03/2009","31/12/2009","31/03/2011"
"Arunachal Pradesh","Education","Development of Shantideva Vidyalaya, Bomdila Monastry","NLCPR","26/12/2007","297.45","93.70","91.57","93.70","28/12/2007","31/12/2009",""
"Arunachal Pradesh","Education","Rama Krishna Mission School at Along.","NLCPR","17/07/2000","256.00","218.20","218.20","90.20","19/03/2004","31/07/2004","25/06/2010"
"Arunachal Pradesh","Education","Rama Krishna Mission  Residential School at Narottam Nagar, Tirap District.","NLCPR","10/09/2001","1220.00","1220.00","1220.00","1220.00","10/09/2001","08/06/2004","08/06/2004"
"Arunachal Pradesh","Education","Construction of Academic Block of Arunachal Pali Vidyapith, Chokham, Phase-I","NLCPR","23/09/2002","59.00","59.00","59.00","59.00","23/09/2002","30/09/2004","25/06/2004"
"Arunachal Pradesh","Education","North Eastern Regional Institute of science & Techonolgy","NLCPR","31/03/2000","4000.00","2400.00","2000.00","400.00","18/10/2002","12/09/2003","12/09/2003"
"Arunachal Pradesh","Education","Vivekananda Kendra Vidyalaya at Kitpi in Tawang District","NLCPR","26/09/2006","520.84","455.11","455.11","91.05","18/12/2009","30/09/2008","31/12/2011"
"Arunachal Pradesh","Health","Rama Krishna Mission Hospital, Itanagar and Repair, renovation and extension of GNM School of Nursing","NLCPR","16/10/2000","136.00","136.00","136.00","86.00","15/11/2001","31/07/2005","12/07/2007"
"Arunachal Pradesh","Health","Upgradation of medical equipments at R.K Mission Hospital, Itanagar","NLCPR","29/06/2007","407.60","366.77","366.77","238.38","17/12/2007","30/06/2008","17/06/2010"
"Arunachal Pradesh","Health","""Corpus Fund for R.K. Mission Hospital, Itanagar""","NLCPR","01/05/2008","2222.22","2000.00","2000.00","2000.00","02/05/2008","31/08/2008","11/01/2009"
"Arunachal Pradesh","Health","Infrastructure strengthening of Secondary Health care facilities in Arunachal Pradesh (General Hospital Naharlagun)","NLCPR","26/03/2007","471.53","412.02","412.02","63.56","24/03/2009","31/03/2008","31/08/2009"
"Arunachal Pradesh","Health","New OPD Block of R.K. Mission Hospital","NLCPR","03/08/2005","387.69","338.76","338.76","221.76","05/10/2006","31/08/2007","20/01/2010"
"Arunachal Pradesh","Power","132 KV S/C Transmission line from Along to Pasighat","NLCPR","03/08/2005","2901.96","1964.60","1964.60","884.60","31/03/2009","01/08/2008",""
"Arunachal Pradesh","Power","Construction of 2x3.15 MVA, 33/11 kV S/S at Seppa i/c distribution transformer and assocaited 11 kV link, East Kameng District","NLCPR","11/10/2010","835.62","297.86","0.00","297.86","11/10/2010","31/10/2013",""
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 2x3.15 MVA Substation at Nirjuli","NLCPR","16/10/2000","143.00","143.00","138.56","43.00","19/03/2002","31/10/2003","25/06/2004"
"Arunachal Pradesh","Power","Ziro-Doparijo-Along transmission Line","NLCPR","31/03/1999","5317.00","5281.40","4961.00","320.40","31/01/2007","31/03/2002",""
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 2x5 KVA Substation at Bomdila","NLCPR","16/10/2000","172.00","172.00","172.00","97.00","29/07/2004","31/10/2003","31/03/2005"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 33 KV Express line from Tago to Old Ziro","NLCPR","16/10/2000","68.00","30.00","30.00","30.00","21/10/2002","31/10/2003","26/12/2007"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 2x5 MVA Substation at Naharlagun","NLCPR","16/10/2000","169.00","169.00","155.00","49.00","21/10/2002","31/10/2003","25/06/2004"
"Arunachal Pradesh","Power","Electrification of Tribal villages.","NLCPR","26/09/2001","896.00","896.00","896.00","448.00","12/03/2004","31/10/2003","31/08/2006"
"Arunachal Pradesh","Power","C/o 33 KV  Express line from Tawang to Lumla with 33/11 KV, 2x1.6 MVA sub station at Lumla","NLCPR","26/03/2007","621.76","559.58","559.58","163.73","28/03/2009","31/03/2009","31/12/2009"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 2x5 MVA Substation at Old Ziro","NLCPR","16/10/2000","264.00","264.00","130.68","174.00","20/02/2004","31/10/2003","25/06/2004"
"Arunachal Pradesh","Power","Construction of 11/KV Transmission lines from Hawai to Kibithu","NLCPR","21/12/2004","234.00","215.17","215.17","134.17","01/12/2006","31/12/2006","20/09/2010"
"Arunachal Pradesh","Power","Construction of 33 kv Line from Mebo to Dambuk for Evacuation of Central Sector Power, Lower Dibang Valley district","NLCPR","06/04/2010","652.83","235.00","0.00","235.00","01/12/2010","31/03/2012",""
"Arunachal Pradesh","Power","Kathalguri Deomali Transmission line","NLCPR","29/06/2000","2945.00","2945.00","2945.00","1742.00","17/09/2003","31/07/2005","09/03/2011"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 33 KV DC Line from Nirjuli to Itanagar","NLCPR","16/10/2000","287.03","279.86","230.00","49.86","26/05/2008","31/07/2008","12/05/2009"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 2x1 MVA Substation at Sangram","NLCPR","16/10/2000","55.00","50.00","50.00","50.00","21/10/2002","31/10/2003","08/12/2009"
"Arunachal Pradesh","Power","Sub- transmission  and Distribution - 33 KV DC line from Geku-Along-Passighat.","NLCPR","16/10/2000","1653.00","1580.20","1580.20","655.20","29/12/2005","31/10/2003","24/07/2007"
"Arunachal Pradesh","Road & Bridges","Improvement of Porter Track from Tungri to Mago (70 Km)","NLCPR","27/12/2005","310.56","271.36","271.36","173.52","22/12/2006","31/12/2007","31/03/2009"
"Arunachal Pradesh","Road & Bridges","Construction of Wak Liromoba Road (78 Km) – Phase – I (15 Km)","NLCPR","15/09/2008","660.04","582.39","436.00","146.39","23/05/2011","31/08/2011",""
"Arunachal Pradesh","Road & Bridges","Improvement & Extension of Dosing, Pareng, Sine, Yibuk, Liging road. (Phase-I)","NLCPR","30/03/2009","1826.08","1231.51","575.21","656.30","09/03/2012","30/03/2012",""
"Arunachal Pradesh","Road & Bridges","Construction of road from 10 km point of Likabali-Aalo BRTF road to connect Kane village via Magi (7.5 km)","NLCPR","28/02/2011","1823.32","651.55","0.00","651.55","28/02/2011","31/01/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Bameng to Lada (40 Km)","NLCPR","27/12/2005","890.19","777.83","777.83","262.83","22/02/2011","31/12/2007",""
"Arunachal Pradesh","Road & Bridges","C/o road from Hawai to Manchal Bridge point (55.77 KM)","NLCPR","08/10/2008","3252.92","1024.67","1024.67","1024.67","18/11/2008","30/09/2011",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Kheti to Dadam (21 KM)","NLCPR","30/03/2009","1087.08","725.19","725.19","382.76","29/03/2010","31/03/2011",""
"Arunachal Pradesh","Road & Bridges","Improvement of Doimukh Toru Road 40 Km. (from NH-52A) Nirjuli to Sagalee","NLCPR","27/12/2005","2186.90","1914.52","1914.52","124.65","16/01/2012","31/12/2008","31/05/2012"
"Arunachal Pradesh","Road & Bridges","Construction of Single lane bailey bridge (span 40 mtr) over Tasing river in between Borguli village and Seram in East Siang district","NLCPR","28/03/2009","340.37","229.56","107.21","122.35","14/02/2012","31/03/2011",""
"Arunachal Pradesh","Road & Bridges","C/o road from Nyorak to Rime Moku village in West Siang District (20 Km, Ph-I – 9.20 km)","NLCPR","28/06/2007","989.75","890.78","639.49","251.29","05/03/2012","31/03/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of road from J.N. College Pasighat to Balek, East Siang District","NLCPR","02/06/2010","500.26","172.49","172.49","172.49","25/02/2011","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Digi to Panimuri via Sinyumrijo","NLCPR","24/06/2011","369.24","131.95","131.95","131.95","24/06/2011","30/06/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Sangram to Phassang-Pallang via Nyapin (SDO HQ) – Phase-I","NLCPR","24/12/2008","881.72","777.99","777.99","231.44","25/02/2011","31/12/2009","31/03/2011"
"Arunachal Pradesh","Road & Bridges","Construction of road from Lumba to Rayung via Gallang, Joru and Rissi villages (20 km), Phase 1","NLCPR","03/12/2010","2160.04","1553.86","776.93","776.93","29/02/2012","31/10/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of Steel Suspension Bridge over Subansiri river near Siyum (Span 174.00 Mtr)","NLCPR","17/02/2006","1308.00","1158.13","775.45","382.68","09/03/2012","27/02/2009",""
"Arunachal Pradesh","Road & Bridges","Construction of Motorable Suspension Bridge over river Siang between BRTF road & Komsing village (Span 225 m) at Sangam point in East Siang District","NLCPR","26/09/2007","1834.41","1229.88","577.84","652.04","09/03/2012","31/03/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Mahadevpur Town to Krishnapur Village Lekang Circle in Lohit District (4.5km)","NLCPR","27/06/2011","599.30","214.33","214.33","214.33","28/06/2011","30/06/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of Motorable Steel Arch Bridge over river Yamne at Reglat under Mariyang Division span 90 Mtr.","NLCPR","05/02/2010","634.39","228.38","0.00","228.38","09/02/2010","31/12/2012",""
"Arunachal Pradesh","Road & Bridges","Improvement of Tawang Township road Network in Arunachal Pradesh","NLCPR","15/02/2010","489.64","348.64","172.82","175.82","18/10/2011","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of Motorable Suspension Bridge over river Siang at the site of Gandhi Bridge","NLCPR","27/03/2006","4843.00","2541.89","1377.71","1164.18","28/02/2012","30/04/2009",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Pakke to Wai (18.00 Km)","NLCPR","17/02/2006","1335.41","1166.86","1000.65","346.21","25/03/2009","27/02/2009",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Chambang to Phaa (30 km), Phase 1","NLCPR","23/12/2010","1179.22","424.46","424.46","424.46","05/01/2011","30/11/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of Satnaguri to Longding road via Kanubari, Banfera, Wanu and Zedua (Phase-I) – (15.50 Km)","NLCPR","26/03/2008","565.75","499.19","499.19","124.48","10/12/2009","31/03/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of porter Track from Nuranang to Mago","NLCPR","15/01/2004","259.00","255.00","255.23","111.00","08/11/2004","31/01/2006","18/10/2006"
"Arunachal Pradesh","Road & Bridges","Construction of road from Rani to Oiramghat (Assam) via Sika Tode-Sika Bamin Village - Jampani and Anchalghat Camp road (25km) in East Siang District","NLCPR","19/09/2011","3325.47","1195.85","0.00","1195.85","24/10/2011","31/08/2014",""
"Arunachal Pradesh","Road & Bridges","Development of Pakke to Seppi Liya Road (22 km) in East Kameng District","NLCPR","23/09/2011","1598.75","574.63","0.00","574.63","26/09/2011","30/09/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of Gacham – Morshing Road (24.50 Km)","NLCPR","15/09/2008","1962.49","1731.61","1310.80","420.81","14/06/2011","31/08/2011",""
"Arunachal Pradesh","Road & Bridges","Construction of road from NH-153 Longbi village point to Tengman village via Khetwa and Jotin Juda (35.00 km)","NLCPR","28/02/2011","2133.60","767.86","765.36","767.86","28/02/2011","31/01/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of Steel Suspension Bridge over Siang River and approach roads at Kodak near Tuting","NLCPR","27/12/2005","3894.00","1219.82","1219.82","246.23","17/03/2011","31/12/2008",""
"Arunachal Pradesh","Road & Bridges","Construction of Road from New Mohong to Mahadevpur Township via Nongkhon (12 Km)","NLCPR","15/09/2008","355.40","313.59","218.39","95.20","21/02/2012","31/08/2011",""
"Arunachal Pradesh","Road & Bridges","Construction of bridge over Siyom on Kaying to Paksing road (Span 122.00 mtr.)","NLCPR","06/12/2006","763.82","667.41","667.41","126.81","11/03/2010","31/12/2009","28/02/2011"
"Arunachal Pradesh","Road & Bridges","Construction of road from 80 KM point on Kimin – Ziro BRTF road to Krishi Vigyan Kendra at Yachuli (5.50 KM) (Lower Subansiri)","NLCPR","11/01/2010","769.05","553.02","270.00","276.17","31/01/2011","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Improvement and Upgradation of Internal Road at Daporijo township in Upper Subansari District","NLCPR","19/12/2011","534.69","188.71","0.00","188.71","19/12/2011","31/12/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of Motorable Suspension Bridge over River Lohit to connect Manchal Administrative Circle (Span 156.55 m)","NLCPR","27/12/2005","1309.79","1144.48","825.18","319.30","05/03/2012","31/12/2008",""
"Arunachal Pradesh","Road & Bridges","Restoration and upgradation of 32 KM internal road at Ziro Township","NLCPR","28/03/2009","1399.97","1235.26","935.99","299.27","17/01/2012","29/02/2012",""
"Arunachal Pradesh","Road & Bridges","Construction of Bailey Bridge (Steel Built-up Girder Bridge) between Namara and many other villages under Seijosa circle","NLCPR","31/12/2007","854.12","269.05","20.60","269.05","31/12/2007","31/12/2009",""
"Arunachal Pradesh","Road & Bridges","C/o road from Jop to Silsango in Lower Subansiri District (30 Km)","NLCPR","28/06/2007","3449.52","3011.01","3011.00","774.41","17/03/2010","31/03/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Loffa to Pakoti village (8 km)","NLCPR","14/06/2010","676.33","477.40","238.70","238.70","20/03/2012","15/06/2013",""
"Arunachal Pradesh","Road & Bridges","Upgradation of road from Subansari bridge point to Segi CO(HQ)","NLCPR","24/06/2011","1982.05","704.98","0.00","704.98","24/06/2011","30/06/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of Namsang - Khela Road (45.30)","NLCPR","29/12/2009","494.74","352.72","352.72","174.61","28/07/2010","31/12/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Pachi to Rigom via Fachang, Tabri Lochung and Bokar (33 km)","NLCPR","24/12/2010","1416.82","509.99","0.00","509.99","24/12/2010","30/11/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Jia tiniali on Roing shantipur road (Ch:9.20 Km) to Bizari via Idilli (19.80 Km)","NLCPR","05/02/2010","1544.61","1090.30","545.15","545.15","29/02/2012","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Jengging to Ramsing in Upper Siang District (35 Km)","NLCPR","25/09/2006","536.62","482.96","369.04","113.92","29/03/2010","30/09/2009",""
"Arunachal Pradesh","Road & Bridges","Construction of Road from PWD road from Kamhua Noknu Village (Pongchau Circle) to Nginu - BRTF Road point (Wakka Circle) in Tirap District","NLCPR","12/02/2010","1353.18","955.20","955.20","477.60","26/04/2011","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Improvement/ Upgradation of Menga-Giba Road (8 Km)","NLCPR","27/03/2006","356.67","321.00","240.75","80.25","08/08/2011","30/04/2009",""
"Arunachal Pradesh","Road & Bridges","C/o road from Dumporijo to Hali (45 Km)","NLCPR","27/03/2008","3176.36","2802.67","2101.99","700.68","14/02/2012","30/03/2012",""
"Arunachal Pradesh","Road & Bridges","Construction of Steel Bridge over river Wome at Pakke point","NLCPR","25/11/2010","237.48","83.82","0.00","83.82","29/11/2010","31/10/2012",""
"Arunachal Pradesh","Road & Bridges","Construction of Motorable Bridge over Siyom River to connect left bank at Paya (span 120m) in West Siang District","NLCPR","19/09/2011","968.53","341.83","0.00","341.83","19/12/2011","31/08/2014",""
"Arunachal Pradesh","Road & Bridges","Maintenance of Foot track and Sustension Bridges","NLCPR","22/03/2000","100.00","100.00","100.00","100.00","22/03/2000","31/03/2001","28/02/2004"
"Arunachal Pradesh","Road & Bridges","Upgradation of Namchik-Miao-M'Pen Road (37 km)","NLCPR","19/09/2011","2079.84","747.62","0.00","747.62","27/09/2011","31/08/2014",""
"Arunachal Pradesh","Road & Bridges","Improvement of Janagthung-Cherrong-Panchvati-Chhanda road, West Kameng District","NLCPR","28/02/2011","2510.17","1782.85","891.47","891.38","17/01/2012","31/01/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Dipulamgu bridge point to Pipu (14 Km)","NLCPR","27/12/2005","417.20","364.54","279.62","105.18","24/03/2009","31/12/2007",""
"Arunachal Pradesh","Road & Bridges","Construction of Road from Changlang to Khimiyang (36.10 Km)","NLCPR","15/09/2008","858.70","757.67","557.16","200.51","29/02/2012","31/08/2011",""
"Arunachal Pradesh","Road & Bridges","C/o road from Nafra to Nakhu and Nachiban in West Kameng District (11 Km)","NLCPR","26/03/2007","754.01","678.61","678.64","53.91","23/12/2010","31/03/2009","30/06/2011"
"Arunachal Pradesh","Road & Bridges","Construction of link road from Lhou Nallah to Mukto Circle HQ. via Mirba, Gomkelling and Serjong (15 Km) in Tawang District","NLCPR","27/12/2005","1802.97","1575.41","1575.41","480.12","19/12/2008","31/12/2008","31/12/2011"
"Arunachal Pradesh","Road & Bridges","C/o road from BRO road (4 KM point) on Anini Dambuine road to Etabe (12 KM)","NLCPR","28/03/2009","2213.96","697.40","404.87","697.40","30/03/2009","30/03/2012",""
"Arunachal Pradesh","Road & Bridges","Construction of Road from NH 52 ‘A’ to Pappu Hill Settlement (2 Km)","NLCPR","28/06/2007","398.99","125.68","125.68","125.68","27/09/2007","30/06/2008",""
"Arunachal Pradesh","Road & Bridges","Construction of RCC Bridge over river Kamphai under Wakro Circle (Span 80 mtr)","NLCPR","23/12/2010","608.10","214.00","214.00","214.00","24/12/2010","30/11/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of road from Magopam to Bichom via Namfri, Ditching, Sacheda, Ramu-Sutu and Uchini (Phase-II) in West Kameng District","NLCPR","28/12/2011","2052.43","735.76","0.00","735.76","28/12/2011","31/12/2014",""
"Arunachal Pradesh","Road & Bridges","Construction of Tamen-Tali road via Yirkoum (60 KM) – Phase-I 0-49 Km","NLCPR","24/12/2008","898.11","792.45","792.45","186.23","18/03/2010","30/12/2011","31/03/2011"
"Arunachal Pradesh","Road & Bridges","Construction of road from Darak to Belo to Yomcha","NLCPR","25/11/2010","980.81","352.96","0.00","352.96","29/11/2010","31/10/2013",""
"Arunachal Pradesh","Road & Bridges","Improvement/ Construction of Road from Sagalee to Sakiang (50 Km)","NLCPR","17/02/2006","4288.70","3755.14","3755.14","265.39","16/01/2012","27/02/2009","31/05/2012"
"Arunachal Pradesh","Road & Bridges","Construction of road from Janam to Okhasun under Wakka Circle Hq. (19 km) phase 1","NLCPR","23/12/2010","1085.87","781.80","781.80","390.90","28/06/2011","30/11/2013",""
"Arunachal Pradesh","Road & Bridges","Road from Magopam to Bichom via Namfri (50 KM) via Ditching, Sacheda, Ramu-Sotu and Lichini under Singchung sub-division.","NLCPR","31/07/2009","1567.17","1382.79","1041.91","340.88","14/06/2011","31/07/2012",""
"Arunachal Pradesh","Road & Bridges","Constrcution of Road from Pugging to Palling","NLCPR","15/02/2010","1530.19","540.07","104.00","540.07","16/02/2010","31/01/2013",""
"Arunachal Pradesh","Road & Bridges","Construction of Wak Liromaba Road (78km) - [Phase-II: 0-26Km] in West siang District","NLCPR","23/03/2012","2280.18","0.00","0.00","0.00","16/01/2013","31/03/2015",""
"Arunachal Pradesh","Road & Bridges","Improvement of Palizi – Thrizino Road (17.00 Km)","NLCPR","17/02/2006","743.90","669.51","669.51","217.59","13/02/2008","27/02/2009","31/03/2010"
"Arunachal Pradesh","Road & Bridges","Construction of road from Itanagar to Seijosa (86 km) [Phase 1: Road from Kampa to Tapiaso (30 km)","NLCPR","25/11/2010","4316.87","1551.75","0.00","1551.75","29/11/2010","31/10/2013",""
"Arunachal Pradesh","Road & Bridges","Improvement and realignment of Porter Track from Jhang to Sulungthi (95 KMs)","NLCPR","28/10/2002","255.00","255.00","255.00","30.00","15/01/2004","29/10/2004","01/06/2007"
"Arunachal Pradesh","Road & Bridges","C/o road from Sille to Yagrung  in East Siang district. (10KM)","NLCPR","16/11/2007","500.94","334.60","334.60","176.80","31/03/2010","30/11/2010",""
"Arunachal Pradesh","Road & Bridges","Construction of Bailey /RCC bridge over river Buche and Bah of Litemore-Taramori road, West Siang District","NLCPR","11/10/2010","300.00","216.00","108.00","108.00","26/06/2012","31/10/2013",""
"Arunachal Pradesh","Sports","Construction of High Altitude Sports Complex at Tawang","NLCPR","11/10/2010","1306.60","461.15","0.00","461.15","11/10/2010","31/03/2013",""
"Arunachal Pradesh","Water Supply","Water Supply schemes at Along","NLCPR","17/07/2000","337.00","302.07","302.07","2.07","20/02/2004","31/07/2002","09/03/2011"
"Arunachal Pradesh","Water Supply","Doparijo Water Supply Scheme","NLCPR","21/03/2003","397.00","366.68","366.68","329.98","01/07/2004","31/03/2005","09/03/2011"
"Arunachal Pradesh","Water Supply","Itanagar Water Supply project","NLCPR","31/03/1999","1059.00","1059.00","1059.00","459.00","05/02/2001","31/03/2004","31/01/2003"
"Arunachal Pradesh","Water Supply","Augmentation of water supply at Khonsa township in Tirap District","NLCPR","23/03/2012","1983.41","713.74","0.00","713.74","26/06/2012","31/03/2015",""
"Arunachal Pradesh","Water Supply","Providing drinking water supply for Tezu township","NLCPR","11/10/2010","2342.79","826.87","826.87","826.87","11/10/2010","31/10/2013",""
"Arunachal Pradesh","Water Supply","Providing water supply at Yupia District Administrative Headquarter, Papum Pare District","NLCPR","19/05/2011","611.80","220.13","220.13","220.13","20/05/2011","31/05/2014",""
"Arunachal Pradesh","Water Supply","Providing potable drinking water supply to Mebo Sub-divisional Hq and adjoining villages, East Siang district in Arunachal Pradesh","NLCPR","22/03/2010","2053.39","1461.89","1382.87","737.17","21/03/2011","15/03/2013",""
"Arunachal Pradesh","Water Supply","Water Supply schemes at Pasighat.","NLCPR","16/08/2001","505.00","485.00","484.99","285.00","20/02/2004","31/08/2003","09/03/2011"
"Arunachal Pradesh","Water Supply","Naharlagun Water Supply Scheme","NLCPR","18/02/2003","1173.00","1104.04","1104.04","118.04","27/03/2006","28/02/2005","09/03/2011"
"Arunachal Pradesh","Water Supply","Providing Water Supply at Lumla Township” in Tawang District","NLCPR","23/05/2006","488.25","426.62","426.62","112.80","16/03/2009","31/05/2009",""
"Arunachal Pradesh","Water Supply","Water Supply at Chayangtajo Township, East Kameng Dist.","NLCPR","15/03/2011","1485.25","533.30","533.30","533.30","16/03/2011","28/02/2014",""
"Arunachal Pradesh","Water Supply","Restoration of Water Supply Facilities at Tezu.","NLCPR","17/07/2000","200.00","200.00","200.00","100.00","05/02/2002","31/07/2002","23/12/2004"
"Arunachal Pradesh","Water Supply","Water Supply schemes at Roing.","NLCPR","16/08/2001","405.00","382.91","382.91","182.91","20/02/2004","31/08/2003","09/03/2011"
"Arunachal Pradesh","Water Supply","Providing water supply-cum-irrigation to Jangloom Area","NLCPR","23/09/2010","491.52","349.69","173.48","176.21","26/06/2012","30/09/2013",""
"Arunachal Pradesh","Water Supply","Water supply project at Bomdila Township","NLCPR","20/10/2004","1709.23","1543.50","1543.46","282.96","26/03/2007","31/10/2007",""
