"sl_no","Fin_year","Major_head","HeadsofDevelopment-all-figures-in-Rs-lakhs","Andhra-Pradesh-Approved-Outlay","Arunachal-Pradesh-Approved-Outlay","Assam-Approved-Outlay","Bihar-Approved-Outlay","Chhatisgarh-Approved-Outlay","Goa-Approved-Outlay","Gujarat-Approved-Outlay","Haryana-Approved-Outlay","Himachal-pradesh-Approved-Outlay","Jammu-Kashmir-Approved-Outlay","Jharkhand-Approved-Outlay","Karnataka-Approved-Outlay","Kerala-Approved-Outlay","MP-Approved-Outlay","Maharashtra-Approved-Outlay","Manipur-Approved-Outlay","Meghalaya-Approved-Outlay","Mizoram-Approved-Outlay","Nagaland-Approved-Outlay","Orissa-Approved-Outlay","Punjab-Approved-Outlay","Rajasthan-Approved-Outlay","Sikkim-Approved-Outlay","TamilNadu-Approved-Outlay","Tripura-Approved-Outlay","UP-Approved-Outlay","Uttrakhand-Approved-Outlay","WB-Approved-Outlay","Total-States-Approved-Outlay","AandN-Islands-Approved-Outlay","Chandigarh-Approved-Outlay","DandN-Haveli-Approved-Outlay","DandDiu-Approved-Outlay","Delhi-Approved-Outlay","Lakshadweep-Approved-Outlay","Puducherry-Approved-Outlay","Total-UTs-Approved-Outlay","Total-States-UTs-Approved-Outlay"
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","11. Cooperation",4744.0,392.0,1332.0,24253.79,13271.0,1724.92,7500.0,10400.0,135.0,838.0,8450.54,39543.0,4300.0,50980.0,4816.32,683.0,1250.0,871.0,790.0,10300.0,750.0,1173.53,239.07,27192.0,744.29,4480.0,3887.43,12568.0,237608.89,183.0,20.0,0.0,18.0,0.0,600.0,3100.0,3921.0,241529.89
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (a) Agiculture marketing",0.0,79.0,152.0,0.0,2840.0,0.08,880.0,0.0,0.0,1115.0,0.0,350.0,35758.0,0.0,0.0,5.0,700.0,0.0,0.0,1618.0,0.0,7500.0,0.0,0.0,1153.25,0.0,0.0,9437.76,61588.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61588.09
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","12. Other Agricultural Programmes : (b) Others",0.0,0.0,0.0,0.0,50600.0,0.0,0.0,0.0,1365.0,7184.0,19913.0,0.0,0.0,7476.82,0.0,0.0,1348.0,250.0,2350.0,32248.0,0.0,0.0,0.0,0.0,0.0,231134.0,0.0,0.0,353868.82,0.0,0.0,0.0,0.0,0.0,0.0,365.0,365.0,354233.82
"I","2011-12","AGRICULTURE & ALLIED ACTIVITIES","Total - (I) ",204494.56,8660.39,71520.05,138662.72,162169.0,14461.75,257797.27,70555.0,29347.0,21787.53,58450.54,365306.0,96263.0,178120.61,255027.33,9260.0,25393.0,32155.64,17530.0,103355.0,43409.66,111215.66,3920.8,203586.0,18327.25,471458.0,52148.09,86761.7,3111143.55,5731.0,56.0,958.0,1518.0,0.0,3250.0,18933.3,30446.3,3141589.85
"II","2011-12","RURAL DEVELOPMENT","1. Special Programme for Rural Development ",335711.46,520.0,0.0,1230.0,2359.0,1025.0,13664.58,0.0,1611.0,1051.91,2700.0,51497.0,28102.0,46756.6,52046.61,542.05,0.0,595.0,0.0,5400.0,3088.1,37257.23,172.98,309346.0,35.0,5645.0,0.0,650.0,901006.52,0.0,0.0,0.0,0.0,0.0,120.0,35.0,155.0,901161.52
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (a) Swaranjyanti Gram Swarozgar Yojana (SGSY)",0.0,107.0,0.0,10000.0,2447.0,260.0,5500.0,0.0,57.0,689.73,5500.0,2416.0,0.0,5162.0,0.0,145.19,400.0,0.0,0.0,3000.0,"",0.0,0.0,0.0,524.23,16000.0,0.0,6540.0,58748.15,0.0,0.0,0.0,0.0,0.0,0.0,34.98,34.98,58783.13
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (b) Sampoorna Gram  Rozgar Yojana (SGRY)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6860.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6885.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6885.74
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (c)  National Food for Work Programme/NEGP",0.0,0.0,0.0,27200.0,26087.0,621.0,12727.12,0.0,0.0,0.0,10000.0,13913.0,0.0,49500.0,0.0,0.0,4900.0,1000.0,0.0,15000.0,0.0,35000.0,500.0,0.0,3955.0,65000.0,0.0,19525.0,284928.12,52.0,0.0,0.0,0.0,0.0,0.0,0.01,52.01,284980.13
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: (d) Others (To be specified)",0.0,510.0,72527.0,0.0,55.0,0.0,5000.0,11720.0,16594.0,0.0,19000.0,0.0,0.0,15712.0,16526.57,4209.0,1300.0,0.0,0.0,0.0,5000.0,7500.0,0.0,0.0,1.87,1800.0,48823.92,15000.0,241279.36,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,241279.37
"II","2011-12","RURAL DEVELOPMENT","2. Rural Employment: Sub-Total",0.0,617.0,72527.0,37200.0,28589.0,881.0,23227.12,11720.0,16651.0,7550.47,34500.0,16329.0,0.0,70374.0,16526.57,4354.19,6600.0,1000.0,0.0,18000.0,5000.0,42500.0,500.0,0.0,4481.1,82800.0,48823.92,41090.0,591841.37,52.0,0.0,0.0,0.0,0.0,0.0,35.0,87.0,591928.37
"II","2011-12","RURAL DEVELOPMENT","3. Land Reforms",7620.0,450.0,1500.5,11201.27,236.0,732.0,54438.41,1650.0,139.0,2500.0,1500.0,390.0,825.0,5403.1,4354.01,50.0,550.0,378.0,175.0,9540.0,0.0,6963.42,204.14,0.0,100.84,812.0,0.0,4300.0,116012.69,455.0,0.0,8.0,44.0,0.0,0.0,75.0,582.0,116594.69
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (a) Community Development & Panchayts",45340.0,1385.0,12229.0,4669.0,12305.0,3834.0,57011.7,17000.0,5217.0,2200.0,0.0,0.0,17200.0,72559.03,15000.0,201.42,1650.0,550.0,3019.0,20.0,0.0,0.0,12385.23,11697.0,2751.8,110050.0,8050.11,0.0,416324.29,5081.0,300.0,1208.0,1218.0,1002.0,400.0,5580.21,14789.21,431113.5
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: (b) Other Programmes of Rural Development",35637.0,467.4,0.0,35689.0,6125.0,6181.0,7369.0,57500.0,0.0,0.0,131445.0,76776.0,0.0,400.0,30310.67,5674.0,9931.0,1387.0,60.0,185.0,94051.0,191620.4,4019.22,0.0,1333.52,76120.0,0.0,97525.0,869806.21,368.0,0.0,253.0,0.0,15220.0,0.0,419.0,16260.0,886066.21
"II","2011-12","RURAL DEVELOPMENT","4. Other Rural Development Programmes: Sub-Total",80977.0,1852.4,12229.0,40358.0,18430.0,10015.0,64380.7,74500.0,5217.0,2200.0,131445.0,76776.0,17200.0,72959.03,45310.67,5875.42,11581.0,1937.0,3079.0,205.0,94051.0,191620.4,16404.45,11697.0,4085.32,186170.0,8050.11,97525.0,1286130.5,5449.0,300.0,1461.0,1218.0,16222.0,400.0,5999.21,31049.21,1317179.71
"II","2011-12","RURAL DEVELOPMENT","TOTAL - II",424308.46,3439.4,86256.5,89989.27,49614.0,12653.0,155710.81,87870.0,23618.0,13302.38,170145.0,144992.0,46127.0,195492.73,118237.86,10821.66,18731.0,3910.0,3254.0,33145.0,102139.1,278341.05,17281.57,321043.0,8702.26,275427.0,56874.03,143565.0,2894991.08,5956.0,300.0,1469.0,1262.0,16222.0,520.0,6144.21,31873.21,2926864.29
"III","2011-12","SPECIAL AREAS PROGRAMMES"," SPECIAL AREAS PROGRAMMES",2500.0,13715.73,125723.0,195054.5,72849.0,1456.25,14895.0,3000.0,2401.0,39022.87,102555.0,52279.0,16151.0,103398.0,18548.0,2896.0,2581.0,8459.0,10080.0,153997.0,0.0,12634.0,4097.0,18400.0,13727.0,109575.0,0.0,141362.42,1241356.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241356.77
"IV","2011-12","IRRIGATION & FLOOD CONTROL","1. Major and Medium Irrigation",1205446.5,72.0,15163.0,98486.09,20408.0,11066.4,808010.44,60000.0,10177.0,12582.46,142400.0,543400.0,27110.0,139885.26,612400.07,26225.0,55.0,1.0,0.0,131000.0,50356.0,60987.12,0.0,37089.0,3815.08,191998.0,29051.6,8600.21,4245785.23,0.0,0.0,175.0,284.0,0.0,0.0,0.0,459.0,4246244.23
"IV","2011-12","IRRIGATION & FLOOD CONTROL","2. Minor Irrigation",256358.0,7407.19,19246.0,25546.34,75836.0,6905.6,114052.44,0.0,16189.0,20981.99,11100.0,95676.0,7533.0,49904.41,138014.74,6342.0,9655.0,7840.0,163.0,59240.0,14033.0,25700.78,394.96,17383.0,9930.78,61903.0,23495.05,39048.02,1119879.3,239.0,20.0,1011.0,20.0,5.0,0.0,2015.0,3310.0,1123189.3
"IV","2011-12","IRRIGATION & FLOOD CONTROL","3. Command Area Development",2652.5,300.0,1928.0,9000.0,2196.0,692.0,1362.74,9000.0,1000.0,1800.0,200.0,43815.0,425.0,1825.0,4400.0,1700.0,55.0,15.0,100.0,7600.0,25500.0,10200.24,55.0,2467.0,50.0,29478.0,0.0,2400.0,160216.48,0.0,0.0,350.0,0.0,0.0,0.0,3000.0,3350.0,163566.48
"IV","2011-12","IRRIGATION & FLOOD CONTROL","4. Flood Control (includes flood protection works)",32506.0,3976.0,64887.25,98389.13,105720.0,7995.0,9331.18,10000.0,9253.0,9666.19,1800.0,1450.0,20035.0,113050.0,2902.4,9722.0,3075.0,0.0,14500.0,27000.0,13147.0,200.0,13942.0,18280.0,3692.14,53500.0,1050.01,140224.79,789294.09,1523.0,0.0,0.0,240.0,5995.0,300.0,3000.0,11058.0,800352.09
"IV","2011-12","IRRIGATION & FLOOD CONTROL","TOTAL - IV ",1496963.0,11755.19,101224.25,231421.56,204160.0,26659.0,932756.8,79000.0,36619.0,45030.64,155500.0,684341.0,55103.0,304664.67,757717.21,43989.0,12840.0,7856.0,14763.0,224840.0,103036.0,97088.14,14391.96,75219.0,17488.0,336879.0,53596.66,190273.02,6315175.1,1762.0,20.0,1536.0,544.0,6000.0,300.0,8015.0,18177.0,6333352.1
"V","2011-12","ENERGY","  ENERGY",65593.0,22463.91,50497.0,168223.1,28690.0,20330.0,201901.0,163680.0,46160.0,47800.0,160000.0,440658.0,112300.0,198791.01,304635.92,14608.0,56632.0,9125.0,6100.0,251049.95,331166.0,1206700.14,2554.22,206779.0,3395.96,403724.0,40395.68,168857.0,4732809.89,6890.0,4170.0,4758.0,3699.0,250900.0,2550.0,15515.0,288482.0,5021291.89
"VI","2011-12","INDUSTRY & MINERALS","1. Village & Small Enterprises    ",43401.71,1033.0,6697.7,25914.62,3095.0,3131.95,15736.45,5500.0,2575.0,5999.9,11291.0,33064.0,24436.0,12839.3,7507.64,3030.0,2000.0,2654.5,2500.0,8210.0,5812.3,2891.31,565.06,29328.0,1183.91,8415.0,2647.72,28655.0,300116.07,669.0,0.0,242.0,57.0,1841.0,300.0,2172.5,5281.5,305397.57
"VI","2011-12","INDUSTRY & MINERALS","2. Other Industries (Other than VSE)",18742.13,197.0,7337.02,21330.04,12036.0,500.0,98255.72,60.0,121.0,7820.0,7709.0,32721.0,22030.0,23168.12,21858.85,60.0,2040.0,10.0,1000.0,740.0,0.0,1504.02,100.0,2271.0,2012.0,415142.0,50.0,52086.89,750901.79,0.0,150.0,0.0,461.0,649.0,0.0,7731.0,8991.0,759892.79
"VI","2011-12","INDUSTRY & MINERALS","3. Minerals",1100.0,332.0,639.0,0.0,10530.0,10770.0,4166.0,100.0,6.0,1320.0,400.0,0.0,162.0,1110.0,868.89,1818.75,500.0,100.0,964.0,60.0,0.0,13454.73,49.55,0.0,0.0,0.0,130.0,373.89,48954.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48954.81
"VI","2011-12","INDUSTRY & MINERALS","TOTAL - (VI) ",63243.84,1562.0,14673.72,47244.66,25661.0,14401.95,118158.17,5660.0,2702.0,15139.9,19400.0,65785.0,46628.0,37117.42,30235.38,4908.75,4540.0,2764.5,4464.0,9010.0,5812.3,17850.06,714.61,31599.0,3195.91,423557.0,2827.72,81115.78,1099972.67,669.0,150.0,242.0,518.0,2490.0,300.0,9903.5,14272.5,1114245.17
"VII","2011-12","TRANSPORT","1. Minor Ports",4500.0,0.0,0.0,0.0,0.0,929.0,5000.0,0.0,0.0,0.0,0.0,5000.0,23081.0,0.0,11690.16,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50605.16,1537.0,0.0,0.0,210.0,0.0,14900.0,400.0,17047.0,67652.16
"VII","2011-12","TRANSPORT","2. Civil Aviation",6900.0,236.65,0.0,945.0,1651.0,2050.0,6000.0,85.0,133.0,4000.0,6000.0,0.0,0.0,3150.0,403556.39,0.0,0.0,100.0,0.0,3872.0,2401.0,0.0,0.0,0.0,0.0,4140.0,2005.03,230.0,447455.07,2632.0,0.0,0.0,414.0,0.0,0.0,0.0,3046.0,450501.07
"VII","2011-12","TRANSPORT","3. Roads and Bridges  ",226932.0,23797.64,78089.68,472417.35,142681.0,23689.2,316076.52,127168.0,59972.0,77033.9,170000.0,359891.0,62596.0,206238.0,0.0,26192.0,27830.0,12214.22,13105.0,159033.0,60701.0,121607.13,7433.51,220623.0,16567.75,249179.0,99678.01,88419.01,3449164.92,16226.0,270.0,7521.0,8059.0,165000.0,1200.0,24900.0,223176.0,3672340.92
"VII","2011-12","TRANSPORT","4. Road Transport",0.0,989.0,5781.0,1250.85,0.0,9161.0,44000.0,16500.0,1565.0,500.0,0.0,62163.0,5319.0,44808.2,9750.0,0.0,300.0,507.34,3818.0,1200.0,1860.42,15120.82,221.31,26767.0,59.93,11263.0,0.0,14405.94,277310.81,2168.0,509.0,0.0,0.0,82725.0,100.0,2927.0,88429.0,365739.81
"VII","2011-12","TRANSPORT","5. Inland Water Transport",0.0,0.0,500.0,0.0,0.0,639.65,0.0,0.0,0.0,0.0,0.0,0.0,11163.0,0.0,102.01,0.0,0.0,5.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.05,13388.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13388.71
"VII","2011-12","TRANSPORT","6. Other Transport Services",54533.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,407.0,45500.0,100.0,11280.0,0.0,52450.0,30.0,1100.0,130.0,0.0,1600.0,91600.0,0.0,0.0,0.0,53.06,0.0,14630.58,21625.0,295775.64,32671.0,75.0,13.0,0.0,107070.0,0.0,0.0,139829.0,435604.64
"VII","2011-12","TRANSPORT","TOTAL - (VII)",292865.0,25240.29,84370.68,474613.2,144332.0,36468.85,371076.52,143753.0,62190.0,81940.9,221500.0,427154.0,113439.0,254196.2,477548.56,26222.0,29230.0,12956.56,16923.0,166175.0,156562.42,136727.95,7654.82,247390.0,16680.74,264582.0,116313.62,125594.0,4533700.31,55234.0,854.0,7534.0,8683.0,354795.0,16200.0,28227.0,471527.0,5005227.31
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","1. Scientific Research ",52.5,602.28,1595.0,800.0,970.0,223.4,14127.58,850.0,850.0,350.0,100.0,3818.0,7642.0,2352.0,750.0,163.0,335.0,197.0,150.0,2351.05,490.0,610.22,88.52,481.0,146.93,1774.0,2822.5,2480.0,47171.98,66.0,47.0,20.0,58.0,10.0,2000.0,100.0,2301.0,49472.98
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","2. Information Technology & E-Governance",210.0,976.41,6710.0,20721.51,3653.0,5728.0,58538.67,2402.0,1741.0,982.2,6100.0,12778.0,17339.0,2817.0,500.0,746.0,1300.0,380.0,800.0,10983.4,2450.05,0.0,221.39,1776.0,400.85,0.0,1376.0,8936.0,170566.48,396.0,896.0,0.0,245.0,4500.0,1500.0,232.4,7769.4,178335.88
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","3. Ecology & Environment",500.0,30.0,20.0,2707.9,50.0,299.0,9199.0,300.0,50.0,100.0,0.0,1180.0,1522.0,1440.0,1600.0,1735.0,135.0,4.0,0.0,2126.0,1141.5,2441.56,18.44,418.0,50.0,374.0,0.0,2400.0,29841.4,0.0,330.0,0.0,8.0,1140.0,300.0,75.0,1853.0,31694.4
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","4. Forestry & Wildlife",5211.0,3590.0,7047.0,1754.5,32850.0,1682.25,6453.1,14650.0,12008.0,2250.0,11200.16,17759.0,7537.0,43858.34,27688.76,4429.0,4250.0,2974.4,4019.0,19498.0,1920.38,11567.54,6501.04,13187.0,6189.94,14423.0,14500.0,10628.0,309626.41,2792.0,749.0,574.0,474.0,2800.0,100.0,290.0,7779.0,317405.41
"VIII","2011-12","SCIENCE,TECHNOLOGY & ENVIRONMENT","TOTAL - (VIII) ",5973.5,5198.69,15372.0,25983.91,37523.0,7932.65,88318.35,18202.0,14649.0,3682.2,17400.16,35535.0,34040.0,50467.34,30538.76,7073.0,6020.0,3555.4,4969.0,34958.45,6001.93,14619.32,6829.39,15862.0,6787.72,16571.0,18698.5,24444.0,557206.27,3254.0,2022.0,594.0,785.0,8450.0,3900.0,697.4,19702.4,576908.67
"IX","2011-12","GENERAL ECONOMIC SERVICES","1. Secretariat Economic Services",112699.5,2479.0,16232.43,2045.0,4550.0,2940.0,960.59,210.0,300.0,66015.73,10299.3,100.0,9326.0,25344.7,830.0,87246.57,4292.0,5680.39,44196.24,362.0,23804.6,5902.75,10276.76,283.0,8849.16,143545.0,2170.0,244.98,591185.7,451.0,1.0,5.0,1.0,130.0,7.0,1615.0,2210.0,593395.7
"IX","2011-12","GENERAL ECONOMIC SERVICES","2. Tourism",1055.0,1100.0,3615.0,3043.89,4785.0,6096.0,26909.0,2000.0,1735.0,13917.28,2500.0,24000.0,15300.0,7271.5,48548.23,300.0,1600.0,332.31,1300.0,4000.0,2239.0,2811.0,9670.76,1880.0,277.7,6037.0,11108.14,4300.0,207731.81,4600.0,461.0,1003.0,1639.0,1550.0,440.0,9270.0,18963.0,226694.81
"IX","2011-12","GENERAL ECONOMIC SERVICES","3. Census, Surveys & Statistics",495.5,350.2,1300.0,7700.0,1862.0,415.2,9757.83,16.0,240.0,13978.23,0.0,20.0,410.0,36916.9,0.0,113.0,250.0,240.0,650.0,336.5,299.6,223.26,182.86,644.0,17.68,192.0,161.02,4200.0,80971.78,90.0,1.0,4.0,7.0,0.0,40.0,50.0,192.0,81163.78
"IX","2011-12","GENERAL ECONOMIC SERVICES","4. Civil Supplies",8767.5,417.25,383.0,31983.97,50016.0,204.0,23081.26,0.0,6.0,0.0,73281.0,0.0,8524.0,650.0,0.0,0.0,150.0,358.0,217.0,334.4,2364.13,750.01,416.29,125000.0,26.53,0.0,1067.31,1061.24,329058.89,527.0,85.0,10.0,3.0,0.0,400.0,1742.16,2767.16,331826.05
"IX","2011-12","GENERAL ECONOMIC SERVICES","5. Other General Economic Services :",25.0,176194.19,11407.0,52066.0,86.0,677.0,93318.74,23213.3,4936.0,6120.0,0.0,82560.0,215.0,20.0,24510.01,14116.8,20820.0,5684.0,270.0,47105.1,0.0,15089.6,0.0,5.0,12.65,112980.0,0.0,1452.76,692884.15,0.0,1.0,41.0,4.0,0.0,3.0,5.0,54.0,692938.15
"IX","2011-12","GENERAL ECONOMIC SERVICES","TOTAL - (IX)",123042.5,180540.64,32937.43,96838.86,61299.0,10332.2,154027.42,25439.3,7217.0,100031.24,86080.3,106680.0,33775.0,70203.1,73888.24,101776.37,27112.0,12294.7,46633.24,52138.0,28707.33,24776.62,20546.67,127812.0,9183.72,262754.0,14506.47,11258.98,1901832.33,5668.0,549.0,1063.0,1654.0,1680.0,890.0,12682.16,24186.16,1926018.49
"X","2011-12","SOCIAL SERVICES","Education: 1. General Education",272694.19,10865.43,61722.12,301475.0,393051.0,17170.0,168912.62,172802.0,30701.0,95939.56,120000.0,234279.0,33868.0,320243.27,147351.31,11362.22,19836.0,18761.0,5285.0,145451.0,94133.5,161848.33,12667.3,180096.0,21141.2,355756.0,66124.67,246160.1,3719696.82,14048.0,6937.0,4934.0,2030.4,107900.0,2200.0,19303.18,157352.58,3877049.4
"X","2011-12","SOCIAL SERVICES","Education: 2. Technical Education",58326.0,0.0,2830.0,11251.88,5727.0,6070.0,38131.11,17100.0,3390.0,1825.0,7400.0,15340.0,7919.0,5360.0,39197.28,1470.0,1750.0,320.0,303.0,4850.0,5091.0,5556.2,133.48,8235.0,155.5,13484.0,6568.66,39420.5,307204.61,1291.0,2081.0,501.0,642.0,20813.0,0.0,12300.0,37628.0,344832.61
"X","2011-12","SOCIAL SERVICES","Education: 3. Sports & Youth Services ",8732.75,650.0,1208.6,3316.67,3533.0,5185.0,17234.73,2500.0,1146.0,8200.0,4240.0,10067.0,5550.0,6295.0,21218.05,3718.0,2185.0,2348.56,5472.94,1200.0,4815.33,1150.0,730.08,1628.23,156.33,6018.0,3899.57,9375.1,141773.94,308.0,1598.0,22.0,562.6,2160.0,300.0,1162.89,6113.49,147887.43
"X","2011-12","SOCIAL SERVICES","Education: 4. Art & Culture",12019.67,572.63,6507.41,2500.0,2064.0,18799.0,7754.06,350.7,270.0,1600.0,3260.0,25475.0,3755.0,6789.76,10333.76,2403.5,3425.0,469.0,460.0,3611.0,10358.0,2717.11,1941.77,197.52,45.0,4157.0,2494.5,5744.3,140074.69,261.0,668.0,17.0,66.0,3190.0,330.0,910.0,5442.0,145516.69
"X","2011-12","SOCIAL SERVICES","Education: SubTotal (Education)",351772.61,12088.06,72268.13,318543.55,404375.0,47224.0,232032.52,192752.7,35507.0,107564.56,134900.0,285161.0,51092.0,338688.03,218100.4,18953.72,27196.0,21898.56,11520.94,155112.0,114397.83,171271.64,15472.63,190156.75,21498.03,379415.0,79087.4,300700.0,4308750.06,15908.0,11284.0,5474.0,3301.0,134063.0,2830.0,33676.07,206536.07,4515286.13
