"S.No.","Area","Title","Project Investigator/Institute","Date of Sanction","Duration","Total Cost (In Rs.)"
11.0,"Agriculture-II","Engineering Broad Spectrum Resistance against Gemini viruses [BT/PR14812/AGR/02/760/2010]","Dr. Supriya  Chakraborty
Jawaharlal Nehru University New Delhi, Delhi-110067","01/12/2011","3 Years 0 Month",6014800.0
12.0,"Agriculture-II","Evaluation of transgenic banana for resistance to Banana Bunchy top virus [BT/PR14745/AGR/02/756/2010]","Dr. R  Selvarajan
National Research Centre For Banana Tiruchirappalli, Tamilnadu-620102","01/12/2011","3 Years 0 Month",4323700.0
13.0,"Agriculture-II","Identification of consistent QTLs for fibre quality traits in cotton (Gossypium spp.) based on two mapping populations and four environments [BT/PR12902/AGR/02/673/2009]","Dr. N Manikanda Boopathy
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","02/11/2010","3 Years 0 Month",6503204.0
14.0,"Agriculture-II","Identification and molecular characterization of a new virus causing severe mosaic disease in melons (Cucumis melo) [BT/PR15388/AGR/02/796/2011]","Dr. Gopinath  Kodetham
University of Hyderabad Hyderabad, Andhra Pradesh-500046","05/12/2011","3 Years 0 Month",7000454.0
15.0,"Agriculture-II","Exploitation of resistance gene derived markers (GDMs) for the development of blast and bacterial blight resistant version of rice var. ‘HPR2143 [BT/PR6573/AGII/106/884/2012]","Dr. Rajeev  Rathour
CSK Himachal Pradesh Krishi Vishvavidyalaya  Palampur, Himachal Pradesh-176062","07/01/2013","5 Years 0 Month",7453456.0
16.0,"Agriculture-II","Pyramiding multiple resistance genes (Ty, Ph and Mi) in high yielding varieties of tomato through MAS [BT/PR6499/AGII/106/890/2012]","Dr. Major Singh Dhaliwal
Punjab Agricultural University Ludhiana, Punjab-141004","07/01/2013","4 Years 0 Month",3913200.0
17.0,"Agriculture-II","“Metabolic Engineering of Phytic Acid Pathway for Improving Iron 
  Bioavailability in Wheat” [BT/PR5989/AGII/106/867/2012]","Dr. Ajay Kumar Pandey
National Agri - Food Biotechnology Institute Mohali, Punjab-160071","07/11/2012","4 Years 0 Month",4465200.0
18.0,"Agriculture-II","Deployment of molecular markers in chickpea breeding for developing superior cultivars with enhanced disease resistance. [BT/PR11693/AGR/02/641/2008]","Dr. Rajeev K Varshney
INTERNATIONAL CROPS RESEARCH INSTT. FOR THE SEMI-ARID TROPIS Hyderabad, Andhra Pradesh-502324","08/10/2009","5 Years 0 Month",33466000.0
19.0,"Agriculture-II","Comparative analysis of functional and anonymous SNP diversity in Legumes: PCR based direct (gene-based) and indirect (marker-based) tools for legume genome analysis [BT/PR9814/AGR/02/516/2007]","Dr. H C Lohithaswa
University of Agricultural Sciences, Bangalore Bangalore, Karnataka-560065","09/04/2008","5 Years 0 Month",8838024.0
20.0,"Agriculture-II","Development of QTL marker assisted selection (MAS) breeding to develop high Zn content & high bioavailability varieties of pigeon pea(Canjanus canjan) [BT/PR9678/AGR/02/478/2007]","Dr. A G  Shankar
University of Agricultural Sciences, Bangalore Bangalore, Karnataka-560065","12/01/2009","5 Years 0 Month",9317000.0
21.0,"Agriculture-II","Mapping of the stem rot resistant gene (s) in groundnut and its transfer to an elite groundnut cultivar [BT/PR14416/AGR/02/737/2010]","Dr. S K Bera
Directorate of Groundnut Research Junagadh, Gujarat-362001","13/02/2013","5 Years 0 Month",5270400.0
22.0,"Agriculture-II","Marker-assisted introgression of Pup1 into elite rice varieties [BT/PR4665/AGII/106/854/2012]","Dr. B C Viraktamath
Directorate of Rice Research Hyderabad, Andhra Pradesh-500030","13/02/2013","3 Years 0 Month",4165747.0
23.0,"Agriculture-II","Marker assisted breeding for development of gynoecious Indian cucumber (Cucumis sativus L.) lines [BT/PR6489/AGII/106/880/2012]","Dr. Tusar Kanti Behera
Indian Agricultural Research Institute New Delhi, Delhi-110012","13/02/2013","4 Years 0 Month",6059756.0
24.0,"Agriculture-II","Integrated MAS to develop groundnut varieties for resistance to 
foliar fungal diseases Rust and Late Leaf Spot [BT/PR6583/AGII/106/881/2012]","Dr. Manivannan  N
Tamilnadu Agricultural University Coimbatore, Tamilnadu-641003","13/02/2013","5 Years 0 Month",6401004.0
25.0,"Agriculture-II","Marker Assisted Introgression of Bacterial Blight Resistance in Popular Rice Cultivars of Andaman and Nicobar Islands [BT/PR6575/AGII/106/892/2012]","Dr. RAJ KUMAR GAUTAM
Central Agricultural Research Institute Port Blair, Andaman and Nicobar-744101","14/02/2013","4 Years 0 Month",6842421.0
26.0,"Agriculture-II","Development of rice varieties for kerala with pyramided genes for Resistance to BLB by marker assisted selection [BT/PR13469/AGR/02/703/2010]","Dr. Jayalekshmy V G
Kerala Agricultural University Thrissur, Kerala-680656","14/02/2013","5 Years 0 Month",6169662.0
27.0,"Agriculture-II","Development of Citrus tristeza virus resistant citrus plant [BT/PR14830/AGR/02/763/2010]","Dr. Kajal Kumar Biswas
Indian Agricultural Research Institute New Delhi, Delhi-110012","15/02/2012","3 Years 0 Month",4761600.0
28.0,"Agriculture-II","Transgenic Approaches to Improve Seasame (Sesammum indicum Linn) oil quality with omega3 fatty acid [BT/PR10826/AGR/02/596/2008]","Dr. Selvi  Subramanian
PSG College of Technology Coimbatore, Tamilnadu-641004","15/06/2010","3 Years 0 Month",3306064.0
29.0,"Agriculture-II","Enhanced ion homeostasis and its impact on saline tolerance in Rice: Over expression of two relevant vacuolar transporter genes NHX1 and AVPl. [BT/PR11840/AGR/02/654/2009]","Dr. V R Sashidhar
University of Agricultural Sciences, Bangalore Bangalore, Karnataka-560065","16/11/2010","3 Years 0 Month",2847000.48
30.0,"Agriculture-II","Studies on The Role of Antioxidative Defense Mechanisms In Deciphering Drought Stress Tolerance In Soybean (Glycine max (L) Merr.) [BT/PR14467/AGR/02/742/2010]","Dr. K Viswanatha Chaitanya
GITAM University Visakhapatnam, Andhra Pradesh-530045","17/09/2012","3 Years 0 Month",4073924.0
31.0,"Agriculture-II","Identification of QTLs for seed weight and seed number in chickpea (Cicer arietinum L.). [BT/PR10864/AGR/02/609/2008]","Dr. Chellapilla  Bharadwaj
Indian Agricultural Research Institute New Delhi, Delhi-110012","17/11/2008","5 Years 0 Month",6449588.0
32.0,"Agriculture-II","TILLING by sequencing of morphogenesis and flowering control genes to augment flowering and growth habit in Mungbean. [BT/PR14261/AGR/02/735/2010]","Dr. Sundaram  Ganeshram
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","17/11/2011","3 Years 0 Month",5196024.0
33.0,"Agriculture-II","Development of Double Low (Canola Type) Indian Mustard (Brassica juncea) Through Marker Assisted Selection [BT/PR10809/AGR/02/584/2008]","Dr. D K  Yadava
Indian Agricultural Research Institute New Delhi, Delhi-110012","18/02/2009","5 Years 0 Month",9016800.0
34.0,"Agriculture-II","Construction of a Linkage map and tagging of resistance to MYMV and Powdery Mildew in Urdbeam (Vigna Mungo(L.) Hepper [BT/PR9707/AGR/02/485/2007]","Dr. P M Salimath
University of Agricultural Sciences, Dharwad  Dharwad, Karnataka-580005","18/06/2008","6 Years 0 Month",7109000.0
35.0,"Agriculture-II","Molecular and physiological Characterization of annexin transgenics of Green Gram (Vigna radiate L.) For oxidation stress Tolerance [BT/PR14568/AGR/02/746/2010]","Dr. S K Yadav
Central Research Institute For Dryland Agriculture Hyderabad, Andhra Pradesh-500059","18/11/2011","3 Years 0 Month",2377020.0
36.0,"Agriculture-II","Impact studies on the project of Bt cotton on the functional microbes in the rhizosphere [BT/PR14831/AGR/02/329/2010]","Dr. R  Sridar
Tamilnadu Agricultural University Coimbatore, Tamilnadu-641003","18/11/2011","3 Years 0 Month",1982000.0
37.0,"Agriculture-II","Development of high yielding aerobic rice lines with intact Basmati grain quality traits using conventional breeding and marker assisted selection strategies [BT/PR13465/AGR/02/699/2010]","Dr. Rajinder Kumar Jain
CCS Haryana Agricultural University Hisar, Haryana-125004","19/10/2010","3 Years 0 Month",3990008.0
38.0,"Agriculture-II","Isolation and Characterization of Genes Involved in the Santalol Biosynthesis in Indian Sandalwood, Santalum album [BT/PR6398/AGII/106/893/2012]","Dr. Thulasiram H V
National Chemical Laboratory Pune, Maharashtra-411008","21/01/2013","3 Years 0 Month",7520615.0
39.0,"Agriculture-II","Introduction of very-long-chain polyunsaturated fatty acids biosynthesis pathway in Indian mustard (Brassica juncea) [BT/PR6027/AGII/106/859/2012]","Dr. Girish  Mishra
University of Delhi, North Campus Delhi, Delhi-110007","21/01/2013","3 Years 0 Month",8842949.0
40.0,"Agriculture-II","Diversification of canola quality traits to some
Important Indian cultivars of B. juncea through marker-assisted backcross breeding (MAB) [BT/PR6473/AGII/106/875/2012]","Prof. Akshay K Pradhan
Delhi University, South Campus New Delhi, Delhi-110021","21/02/2013","3 Years 0 Month",6443354.0
41.0,"Agriculture-II","Development and Evaluation of Transgenic Cowpea over expressing AtNHX1 for Salt Tolerance. [BT/PR10818/AGR/02/591/2008]","Dr. Lingaraj  Sahoo
INDIAN INSTITUTE OF TECHNOLOGY, GUWAHATI Guwahati, Assam-781039","21/11/2008","5 Years 0 Month",9857080.0
42.0,"Agriculture-II","Development of Biotic stress resistant in Rice through Marker Assisted Breeding. [BT/PR11705/AGR/02/646/2008]","Dr. B C Viraktamath
Directorate of Rice Research Hyderabad, Andhra Pradesh-500030","22/09/2009","5 Years 0 Month",44055568.0
43.0,"Agriculture-II","Rapid conversion of normal maize inbreds to quality protein maize and further enhancement of limiting amino acids in elite inbreds through market-assisted selection [BT/PR11708/AGR/02/649/2008]","Dr. H S Gupta
Indian Agricultural Research Institute New Delhi, Delhi-110012","22/09/2009","5 Years 0 Month",40421080.0
44.0,"Agriculture-II","Mapping of Mungbean yellow Mosaic Virus resistance loci in soybean [BT/PR14302/AGR/02/736/2010]","Dr. Manoj  Prasad
National Institute of Plant Genome Research New Delhi, Delhi-110067","22/11/2011","3 Years 0 Month",6680000.0
45.0,"Agriculture-II","Mobilizing QTL/Genes for quality Traits into High Yielding Wheat Varieties Through Marker-Assisted Selection. [BT/PR11695/AGR/02/643/2008]","Prof. Pushpendra Kumar Gupta
Chaudhary Charan Singh University Meerut, Uttar Pradesh-250004","23/09/2009","5 Years 0 Month",47240944.0
46.0,"Agriculture-II","Molecular marker assisted development of biofic stress resistant wheat varieties [BT/PR11704/AGR/02/645/2008]","Dr. K V  Prabhu
DIRECTORATE OF WHEAT RESEARCH, KARNAL Karnal, Delhi-132001","23/09/2009","5 Years 0 Month",49608260.0
47.0,"Agriculture-II","Marker assisted Selection for development of kunitz typsin inhibitor free soyabean variaties. [BT/PR11691/AGR/02/639/2008]","Dr. Vineet  Kumar
Directorate of Soybean Research Indore, Madhya Pradesh-452001","24/09/2009","5 Years 0 Month",11301160.0
48.0,"Agriculture-II","Development of salinity stress resistance in rice varieties [BT/PR11694/AGR/02/642/2008]","Dr. S  Geetha
Tamilnadu Agricultural University Coimbatore, Tamilnadu-641003","24/09/2009","4 Years 0 Month",10135060.0
49.0,"Agriculture-II","Identification and Mapping of QTLs Linked to Jassid (Amrasca devastans) Tolerance in Cotton (Gossypium spp.,) [BT/PR15387/AGR/02/794/2011]","Dr. P Amala Babu
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","25/07/2012","3 Years 0 Month",2325012.0
50.0,"Agriculture-II","Development of Saturated genetic linkage map for Gossypium hirsutum L. using SSR and SNP markers. [BT/PR13150/AGR/02/694/2009]","Dr. Samir V Sawant
National Botanical Research Institute Lucknow, Uttar Pradesh-226001","26/07/2012","3 Years 0 Month",9966400.0
51.0,"Agriculture-II","Evaluation and characterization of transgenic events of groundnut containing the DREB1A gene for drought tolerance traits under greenhouse and contained field conditions [BT/PR10844/AGR/02/598/2008]","Ms. Pooja bhatnagar Mathur
International Crop Research Institute for The Semi Arid Tropics Patancheru, Andhra Pradesh-502324","27/05/2009","4 Years 0 Month",10021052.0
52.0,"Agriculture-II","DEVELOPMENT OF VITAMIN E BIOFORTIFIED INDICA RICE [BT/PR6135/AGII/106/864/2012]","Dr. Sathishkumar  Ramalingam
Bharathiar University Coimbatore, Tamilnadu-641046","27/09/2012","3 Years 0 Month",4286550.0
53.0,"Agriculture-II","Metabolic engineering of Catharanthus roseus for improved accumulation of terpene indole alkaloids [BT/PR6109/AGII/106/857/2012]","Dr. Dinesh A  Nagegowda
Central Institute of Medicinal And Aromatic Plants Lucknow, Karnataka-226015","27/09/2012","3 Years 0 Month",5249177.0
54.0,"Agriculture-II","Development of low sinapine mustard (Brassica juncea) lines through antisense and RNAi technology [BT/PR6363/AGII/106/874/2012]","Prof. Akshay K Pradhan
Delhi University, South Campus New Delhi, Delhi-110021","27/09/2012","3 Years 0 Month",4914600.0
55.0,"Agriculture-II","Spatiotemporal Manipulation of Profilin Gene Family in Cotton Fiber Cells for Increased Yield and Quality [BT/PR6044/AGII/106/863/2012]","Dr. Bhupendra  Chaudhary
Gautam Buddha University, Greater Noida Greater Noida, Uttar Pradesh-201308","27/09/2012","3 Years 0 Month",5845000.0
56.0,"Agriculture-II","Improvement of locally Adapted Rice Cultivars of north East Hill Region by Incorporating Blast Resistance Genes through marker assisted Backcrossing. [BT/PR13258/AGR/02/693/2009]","Dr. Mayank  Rai
Central Agricultural University (Manipur) Imphal, Meghalaya-795004","27/11/2009","5 Years 0 Month",10602040.0
57.0,"Agriculture-II","Marker-assisted backcrossing for transfer of durable bacterial blight resistance into elite deepwater rice varieties [BT/PR13744/AGR/02/720/2010]","Dr. Sharat Kumar Pradhan
Central Rice Research Institute Cuttack, Orissa-753006","28/10/2010","5 Years 0 Month",4878040.0
58.0,"Agriculture-II","Testing transgenic black pepper for resistance to viruses [BT/PR14813/AGR/02/761/2010]","Dr. A Ishwara  Bhat
INDIAN INSTITUTE OF SPICES RESEARCH Calicut, Kerala-673012","28/10/2011","3 Years 0 Month",2444400.0
59.0,"Agriculture-II","Genetic transformation and molecular analysis of Indian sweet sorghum genotypes with Bt gene constructs [BT/PR9786/AGR/02/504/2007]","Dr. KBRS  Visarada
Directorate of Sorghum Research Hyderabad, Andhra Pradesh-500030","29/04/2008","5 Years 0 Month",5647104.0
60.0,"Agriculture-II","Identification of genes involved during disease development by gall forming rust fungi in Acacia eburnean and Jasminum malbaricum [BT/PR10149/AGR/02/551/2007]","Dr. Gandhe  Kanchanganga R
Modern College of Arts,Science and Commerce Pune, Maharashtra-411005","29/04/2008","5 Years 0 Month",4847012.0
61.0,"Agriculture-II","Characterization of intergeneric hybrids of saccharum using molecular markers [BT/PR9096/AGR/02/402/2007]","Dr. N Vijayan Nair
Sugarcane Breeding Institute Coimbatore, Tamilnadu-641007","29/05/2009","5 Years 0 Month",4134064.0
62.0,"Agriculture-II","Molecular mapping of Mungbean Yellow Mosaic Virus (MYMV) resistance genes in blackgram (Vigna mungo (L) Hepper). [BT/PR13464/AGR/02/698/2010]","Dr. P  Jayamani
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","30/11/2010","3 Years 0 Month",3955000.2
63.0,"Agriculture-II","Characterization of protesease inhibitor and isolation of gene encoding protese inhibitors from rice bean (Vigna umbellate) [BT/PR14132/AGR/02/743/2010]","Dr. Rajan  Katoch
CSK Himachal Pradesh Krishi Vishvavidyalaya  Palampur, Himachal Pradesh-176062","30/11/2011","3 Years 0 Month",2765700.0
64.0,"Agriculture-II","Development of yellow mosaic virus resistance in black gram (Vigna munga L.Hepper) and cowpea (Vigna unguiculata L.Walp): Transformation of black gram and cowpea with MYMV-Vig.genes [BT/PR3342/AGR/02/820/2011]","Dr. Pawan Kumar Jaiwal
Maharshi Dayanand University Rohtak, Haryana-124001","30/11/2011","2 Years 0 Month",1716800.0
65.0,"Agriculture-III","Functional characterization of cytosine DNA methyltransferases to understand the role of epigenetic elements in regulating reproductive development in rice [BT/PR11853/AGR/02/655/2009]","Dr. Meenu  Kapoor
Guru Gobind Singh Indraprastha University Delhi, Delhi-110075","02/02/2011","3 Years 0 Month",5851800.0
66.0,"Agriculture-III","Physical mapping and sample sequencing of wheat chromosome 2A- International Wheat Genome Sequencing Consortium (India) [BT/IWGSC/03/TF/2008]","Dr. Kuleep  Singh
Punjab Agricultural University Ludhiana, Punjab-141004","07/12/2010","4 Years 0 Month",345645352.0
67.0,"Agriculture-III","Development of molecular markers in rice associated with genes responsible for salinity tolerance, exploring new genetic variations, and development of rice cultivars with strong tolerance to salinity through  molecular breeding. [BT/PR14538/AGR/02/753/2010]","Dr. Vanaja  T
Kerala Agricultural University Thrissur, Kerala-680656","09/11/2012","3 Years 0 Month",2238700.0
68.0,"Agriculture-III","Generation of Virus-resistant rice for India: Diversifying transgenic resistance to popular varieties – Phase - II [BT/PR15033/AGR/02/773/2011]","Prof. Indranil Das Gupta
Delhi University, South Campus New Delhi, Delhi-110021","12/09/2011","3 Years 0 Month",6959100.0
69.0,"Agriculture-III","Molecular characterization of sorghum sterility inducing cytoplasm and mapping fertility restoration genes [BT/PR14570/AGR/02/747/2010]","Dr. R  Madhusudhana
Directorate of Sorghum Research Hyderabad, Andhra Pradesh-500030","13/09/2011","3 Years 0 Month",5940800.0
70.0,"Agriculture-III","Isolation and validation of salt tolerantgenes in ragi [BT/PR10482/AGR/02/564/2008]","Dr. Raveendran  Muthurajan
Tamil Nadu Agricultural University Coimbatore, Tamilnadu-641003","15/09/2010","3 Years 0 Month",1964800.0
71.0,"Agriculture-III","Characterization of Xanthomonas oryzae pv. oryzae strains from North – West and eastern regions for screening for Xop like Type III effectors to investigate its role as virulence determinants to induce blight in rice [BT/PR14870/AGR/02/767/2010]","Dr. Kalyan Kumar Mondal
Indian Agricultural Research Institute New Delhi, Delhi-110012","15/12/2011","3 Years 0 Month",6887600.0
72.0,"Agriculture-III","Antioxidative Modulation and Stress Related Genes & sRNA Expression Profiling of Maize (Zea mays L.) in Response to Arsenic Exposure. [BT/PR538/AGR/2/795/2011]","Dr. Zahed  Hossain
West Bengal State University Kolkata, West Bengal-700126","16/01/2013","3 Years 0 Month",3025000.0
73.0,"Agriculture-III","Generation of mapping population and identification of QTL(s) for Downt Mildew resistance in Pearl Millet (Pennisetum glaucum (L) Br.) [BT/PR-11035/AGR/02/622/2008]","Dr. C Tara  Satyavathi
Indian Agricultural Research Institute New Delhi, Delhi-110012","17/09/2010","3 Years 0 Month",6039200.0
74.0,"Agriculture-III","Molecular cloning and characterization of salinity and/or drought stress-induced helicase from rice and its functional validation [BT/PR12642/AGR/02/665/2009]","Dr. Narendra  Tuteja
International Centre for Genetic Engineering &  Biotechnology New Delhi, Delhi-110067","18/09/2010","3 Years 0 Month",4688000.0
75.0,"Agriculture-III","Crop biofortification of groundnut and pigeonpea for alleviating vitamin A deficiencies in India [BT/AB/CropBiofort/KKS/2009]","Dr. K K Sharma
International Crop Research Institute for The Semi Arid Tropics Patancheru, Andhra Pradesh-502324","18/09/2010","3 Years 0 Month",24916064.0
76.0,"Agriculture-III","Puccinia triticina genomics network on De Novo genome sequencing, fitness, variation and pathogenicity [BT/PR13631/AGR/02/717/2010]","Dr. T R Sharma
National Research Centre On Plant Biotechnology New Delhi, Delhi-110012","18/09/2010","5 Years 0 Month",59647808.0
77.0,"Agriculture-III","Molecular and functional characterization of yield enhancing quantitative trait loci from wild rice [BT/PR13357/AGR/02/695/2009]","Dr. Rajeshwari  Ramanan
Centre For Cellular And Molecular Biology Hyderabad, Andhra Pradesh-500007","20/09/2011","3 Years 0 Month",5664000.0
78.0,"Agriculture-III","Genetic modification of starch biosynthetic pathway in indica rice cultivar in favor of resistant starch production [BT/PR12533/AGR/02/05/2009]","Dr. A  Basu
INDIAN INSTITUTE OF TECHNOLOGY, KHARAGPUR Kharagpur, West Bengal-721302","20/09/2011","2 Years 0 Month",2587800.0
79.0,"Agriculture-III","Molecular mapping and introgression of stigma exsertion trait in hybrid rice parental lines [BT/PR13466/AGR/02/700/2010]","Dr. Vinay  Shenoy
Barwale Foundation Hyderabad, Andhra Pradesh-500029","22/05/2012","3 Years 0 Month",6994600.0
80.0,"Agriculture-III","Metabolic and molecular profiling of aromatic rice germplasm of India for gaining insights about aroma [BT/PR13888/AGR/02/723/2010]","Dr. N Shobha Rani
Directorate of Rice Research Hyderabad, Andhra Pradesh-500030","22/08/2012","3 Years 0 Month",22844900.0
81.0,"Agriculture-III","Identification of candidate genes for enhanced water use efficiency in rice through activation tagging [BT/PR13105/AGR/02/684/2009]","Dr. P B Kirti
University of Hyderabad Hyderabad, Andhra Pradesh-500046","22/09/2010","5 Years 0 Month",43592116.0
82.0,"Agriculture-III","Temporal and spatial expression pattern of ethylene and starch synthesizing genes during development of rice kernels contrast for grain weight [BT/PR10975/AGR/02/619/2008]","Dr. P K Mohapatra
Sambalpur University, Jyotivihar Sambalpur, Orissa-768019","23/05/2011","3 Years 0 Month",5906056.0
83.0,"Agriculture-III","Molecular and biochemical study of protein-L-lsoaspartyl Methyltransferase (PIMT) and its biological role in seed vigor, vialbility and stress tolerance in rice [BT/PR-13692/AGR/02/718/2010]","Dr. Manoj  Majee
National Institute of Plant Genome Research New Delhi, Delhi-110067","23/08/2011","3 Years 0 Month",4366400.0
84.0,"Agriculture-III","Assessment of genetic diversity of basmati rice using molecular markers and in situ conservation through participatory approach [BT/PR-11036/AGR/02/623/2008]","Dr. R K Salgotra
Sher-E-Kashmir University of Agricultural Sciences & Technology of Jammu Srinagar, Jammu And Kashmir-191121","23/08/2011","3 Years 0 Month",1913000.0
85.0,"Agriculture-III","Phenotyping of mapping populations at hot spots and tagging of major QTLS associated with spot blotch resistance in wheat [BT/PR10592/AGR/02/568/2008]","Dr. Gyanendra  Singh
DIRECTORATE OF WHEAT RESEARCH, KARNAL Karnal, Haryana-132001","23/09/2011","3 Years 0 Month",7098800.0
86.0,"Agriculture-III","Development of bi-parental population for mapping of leaf rust resistance gene and QTLs for 1000- kernel weight in wheat. [BT/PR14735/AGR/02/755/2010]","Dr. PRADEEP KUMAR SINGH
Indian Agricultural Research Institute New Delhi, Delhi-110012","24/01/2013","3 Years 0 Month",4780200.0
87.0,"Agriculture-III","Metabolic engineering of oil biosynthetic pathway in safflower [Carthamus tintorius] for fortification with Omega 3 FA [BT/PR4077/AGR/2/832/2011]","Dr. Anil Kumar Kush
Vittal Mallya Scientific Research Foundation Bangalore, Karnataka-560076","24/02/2012","3 Years 0 Month",4973200.0
88.0,"Agriculture-III","Identification, cloning and characterization of genes associated with cytoplasmic male sterility (CMS) and designing PCR based markers for seed purity testing in peral millet [BT/PR15218/AGR/02/784/2011]","Dr. Arun Kumar M B
Indian Agricultural Research Institute New Delhi, Delhi-110012","26/09/2011","3 Years 0 Month",5395900.0
89.0,"Agriculture-III","Genetic enhancement of indigenous aromatic rice of Assam (Joha Rice) using genomic approach with particular reference to Aroma. [BT/PR9309/AGR/02/408/2007]","Dr. Ramendra Nath Sharma
Assam Agricultural University Jorhat, Assam-785013","27/01/2011","3 Years 0 Month",3572000.03
90.0,"Agriculture-III","BIOFORTIFYING SORGHUM WITH HIGH GRAIN IRON AND ZINC CONTENT FOR COMBATING MICRONUTRIENT MALNUTRITION [BT/PR1630/AGR/2/806/2011]","Dr. A Ashok Kumar
International Crop Research Institute for The Semi Arid Tropics Patancheru, Andhra Pradesh-502324","27/02/2012","3 Years 0 Month",12588800.0
91.0,"Agriculture-III","Identification of suitable varieties and strains for saline sodic soils having more nutritional quality and less anti-nutritional factors of sawan and kodo  millets using biochemical traits [BT/PR14817/AGR/02/762/2010]","Dr. Rudra Pratap Singh
N.D. University of Agriculture & Technology Faizabad, Uttar Pradesh-224229","27/02/2012","3 Years 0 Month",1754400.0
92.0,"Agriculture-III","Analysis of genome and epigenome of indica rice varieties Nagina 22 and IR64 [BT/PR3311/AGR/2/817/2011]","Dr. Saurabh  Raghuvanshi
Delhi University, South Campus New Delhi, Delhi-110021","27/09/2011","5 Years 0 Month",19787000.0
93.0,"Agriculture-III","Functional Genomics of Nodulation in Chickpea Roots [BT/PR3305/AGR/2/816/2011]","Dr. Sabhyata  Bhatia
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",4365600.0
94.0,"Agriculture-III","Identification of Genes Involved in Regulation of Phosphate Utilization by root under Water-Deficit Stress in Rice [BT/PR3299/AGR/2/813/2011]","Dr. Jitender  Giri
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",3811200.0
95.0,"Agriculture-III","Molecular Characterization of Variation in Root System Architecture among Selected Indicia Rice Varieties [BT/PR3292/AGR/2/811/2011]","Dr. Ananda K  Sarkar
National Institute of Plant Genome Research New Delhi, Delhi-110067","27/09/2011","3 Years 0 Month",3530400.0
