"Indicators","1999-2000","2000-01","2001-02","2002-03","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Bank Credit Growth",18.2,17.3,15.3,23.7,15.3,30.9,37.0,28.1,22.3,17.5,16.9,21.5,17.0,17.0
"Bank Deposit growth",13.9,18.4,14.6,16.1,17.5,13.0,24.0,23.8,22.4,19.9,17.0,16.0,16.0,16.0
"Fiscal Deficit (% of GDP, 2004-05 Series)",5.2,5.48,6.0,5.73,4.34,3.88,3.96,3.32,2.54,5.99,6.46,4.79,5.75,5.9
"State Fiscal Deficit (% of GDP)",-4.5,-4.0,-4.1,-3.9,-4.2,-3.32,-2.44,-1.8,-1.51,-2.39,-2.91,-2.07,-2.32,-2.5
"Combined Deficit (Centre+State) % of GDP",-9.0,-9.1,-9.5,-9.1,-8.1,-7.2,-6.5,-5.1,-4.01,-8.39,-9.41,-6.97,-8.22,-8.4
"Inflation - WPI (Average)",3.26936744847,7.15760495526,3.59666024406,3.4,5.5,6.5,4.4,6.5,4.82,8.0,4.1,9.6,8.8,7.8
"CPI (Average)",3.4,3.7,4.3,4.1,3.8,3.9,4.2,6.8,6.2,9.1,13.0,9.5,9.0,8.0
"Exports (US$bn)",37.5,45.5,44.7,53.8,66.3,85.2,105.2,128.9,166.2,189.0,182.4,250.5,309.8,291.2
"Export % YoY",9.5,21.1,-1.6,20.3,23.3,28.5,23.4,22.6,28.9,13.7,-3.5,40.4,20.9,-6.0
"Imports (US$bn)",55.4,57.9,56.3,64.5,80.0,118.9,157.1,190.7,257.6,308.5,300.6,381.1,499.5,479.6
"Imports %YoY",16.5,4.6,-2.8,14.5,24.1,48.6,32.1,21.4,35.1,19.8,-2.6,27.6,30.3,-4.0
"Trade deficit (US$bn)",-17.8,-12.5,-11.6,-10.7,-13.7,-33.7,-51.9,-61.8,-91.5,-119.5,-118.2,-130.6,-189.8,-188.4
"Invisibles (US$bn)",13.7,9.8,15.0,17.0,27.8,31.2,42.0,52.2,75.7,91.6,80.0,79.3,111.6,112.4
"Current Account Deficit (US$bn)",-4.1,-2.7,3.4,6.3,14.1,-2.5,-9.9,-9.6,-15.7,-27.9,-38.2,-45.9,-78.2,-69.9
"Current Account Deficit (% to GDP)",-0.9,-0.6,0.7,1.2,2.3,-0.3,-1.2,-1.0,-1.3,-2.3,-2.8,-2.7,-4.2,-3.7
"Capital Account (US$bn)",9.5,8.8,8.6,10.8,16.7,28.0,25.5,45.2,106.6,6.8,51.6,63.7,67.8,77.6
"Capital Account (% GDP)",2.0,1.9,1.7,2.1,2.7,3.9,3.1,4.8,8.6,0.6,3.8,3.8,3.7,4.1
"Debt Service Ratio",17.1,16.6,13.7,16.0,16.1,5.9,10.1,4.7,4.8,4.4,5.8,4.3,6.0,4.5
"Forex Assets (exc. gold)(US$bn)",35.1,39.6,51.0,71.9,106.1,135.1,145.1,191.9,299.1,241.6,252.8,273.7,260.9,259.6
"External Debt (US$bn)",98.3,101.3,98.8,104.9,112.7,134.0,139.1,172.4,224.4,224.5,260.9,305.9,345.4,360.4
"Short Term Debt",3.9,3.6,2.7,4.7,4.4,17.7,19.5,28.1,45.7,43.3,52.3,65.0,78.2,83.2
"Exchange Rate US$/Rs. - average",45.9,45.7,48.3,45.9,45.0,44.3,45.2,40.2,46.0,47.4,45.6,48.1,54.0,54.5
