Sl.No., States/Union Territories,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
11,Maharashtra,12.3,12.8,13.6,11.5,11.4,11.3,12.8,10.3,10.9,9.7,9.6,8.8,9.2,9.4,8.4,8.4,8.3,8.9,8,7.4,8.2,7.9,7.3,7.5,7.5,7.4,7.3,7.7,7.5,7.5,7.5,7.3,7.2,6.2,6.7,6.7,6.6,6.6,6.7,6.5,6.3
12,Odisha,15.5,20,18.2,15.8,17.7,15.8,16.6,14.1,15,14.3,13.1,13,12.5,14.4,14,13,13.1,12.3,12.7,11.7,12.8,11.7,12.2,11.2,10.8,10.8,10.9,11.1,10.7,10.5,10.4,9.8,9.7,9.6,9.5,9.3,9.2,9,8.8,8.6,8.5
13,Punjab,10.4,12.6,12.1,10.6,10.8,11,10.8,11.6,9.9,8.7,9.4,8.4,9.5,9,8.9,8.2,8.1,8.4,8.2,7.8,7.8,8.2,7.9,7.6,7.3,7.4,7.4,7.7,7.4,7.4,7,7.1,7,6.4,6.7,6.8,7,7.2,7,7,6.8
14,Rajasthan,15.6,16.8,16.1,14.3,15.9,14.7,14.8,15.6,12.8,13.4,14.3,12.1,13.6,14.3,13.2,11.7,11.6,14,10.7,9.6,10.1,10.5,9.1,9,9.1,9.1,8.9,8.8,8.4,8.5,8,7.7,7.6,7,7,6.9,6.8,6.8,6.6,6.7,6.7
15,Tamil Nadu,14.4,15.1,14.1,13.9,15,14.6,13.7,12.8,12.1,11.2,11.8,11.2,11.7,10.8,9.5,9.5,9.9,9.3,8.7,8.5,8.8,8.4,8.2,8,8,8,8,8.5,8,7.9,7.7,7.7,7.6,7.5,7.4,7.5,7.2,7.4,7.6,7.6,7.4
16,Uttar Pradesh,20.1,25.6,19.4,19.7,22.6,20.5,19.1,20.2,16.2,16.6,16.3,15.1,15.7,17.8,15.8,14.6,14.5,13.2,12.6,12,11.3,12.8,11.6,11,10.3,10.3,10.3,10.5,10.5,10.3,10.1,9.7,9.5,8.8,8.7,8.6,8.5,8.4,8.2,8.1,7.9
17,West Bengal,NA,NA,NA,12.4,13,11.9,11.7,11.6,NA,10.9,11,10.4,10.3,10.7,9.6,8.8,8.8,8.4,8.8,8.4,8.3,8.4,7.4,8.3,7.9,7.8,7.7,7.5,7.1,7,7,6.7,6.6,6.3,6.4,6.2,6.3,6.2,6.2,6,6.2
18,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,17.3,16.7,14.3,15,13.2,17.2,14.2,13.2,13.5,9.4,8.9,9.9,6,5.5,5.8,6.1,6,6,5.7,4.8,4.7,4.7,5,5,5.1,5.2,6.1,5.9,5.8
19,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,7.6,7.2,8.5,8.1,7.3,7.5,7.6,6.6,6.2,6.3,6.5,4.3,5.9,6,5.7,5.4,5.3,4.8,5.1,5.1,5.1,5,4.7,4.6,4.7,4.8,4.8,4.4,4.2,4.3
20,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,7.2,7.5,8.4,8,7.6,7.5,7.9,6.9,7.5,7.4,6.6,6.7,6.5,7.5,7.4,7.7,8.2,7.2,7.4,7.7,8.3,8.1,7.2,7.1,7.4,7.2,6.6,6.7,6.6,6.7
21,Himachal Pradesh,15.6,15.9,12.4,12.3,13.2,13.5,11.6,11.8,10.1,10.4,11.1,9.5,10.3,10.3,10.5,8.7,8.5,9.6,8.7,8.5,8.9,8.8,8.6,8.6,8.7,8,8.1,7.7,7.3,7.2,7.1,7.5,7.1,6.8,6.9,6.8,7.1,7.4,7.2,6.9,6.7
22,Jammu & Kashmir,10.6,10.8,10.3,9.9,12.6,11.3,11.3,11.7,9.3,9.6,9,8.4,8.8,9.5,9.8,8.6,7.7,8.4,7.6,7.9, NA,NA,NA,NA,NA,NA,NA,5.4,6.3,6.2,6.1,5.7,5.7,5.6,5.5,5.9,5.8,5.8,5.7,5.7,5.5
23,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,7,6.2,7.7,6.3,5.6,6.8,6.8,5.9,5.4,5.6,4.8,6.7,6.7,5.8,5.9,5.3,5.4,5.6,5.2,4.6,4.8,4.3,4.1,4.5,4.4,5,4.7,4.2,4.1
24,Meghalaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.9,8.3,11.8,12.2,10.1,9.1,9.1,11.9,7.8,8.8,8.5,6.8,7.1,8.9,8.9,8.8,9,9.1,9.2,9,7.7,7.4,7.3,7.5,8,7.5,7.9,8.1,7.9,7.8
25,Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,5.5,5.2,4.4,4.8,5.1,5.2,5.1,5.5,5.2,5.1,4.5,4.5,4.4
26,Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.3,6.3,5.9,4.9,5,4.1,4.1,3.3,3.8,4.7,4.3,NA,NA,NA,1.7,NA,     NA,     NA,NA,NA,3.7,3.8,4.8,5,4.6,3.6,3.6,3.3
27,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,9.5,10.9,10.2,10.7,11.7,10.3,10.1,9.1,7.3,7.5,5.8,6.9,2.9,6.9,6.5,6.5,6.1,5.8,5.7,5.1,4.9,5,4.9,5.1,5.6,5.3,5.2,5.7,5.6,5.6
28,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.7,7.5,9.6,9.9,10.3,9.2,8.1,7.7,7.1,7.6,7.6,6.4,5.3,7.7,6.5,6.8,6.1,5.7,5.4,5.6,5.7,5.5,5.5,5.7,6.3,6.5,5.9,5.1,5,5
29,Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7.4,6.5,6.9,7.8,6.4,6.5,7.2,7.4,6.7,6.8,6.4,6.5,6.3,6.2
30,A&N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,6.1,7.7,8.9,6.8,7.8,6.1,6.4,5.9,5.7,5.8,5.2,5.5,3.2,5.8,4.8,5.1,4.6,5.5,5.1,4.7,5.5,5.6,3.7,4.7,5.1,4.5,4.8,4.1,4.3,4.6
31,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.7,3.7,4.6,4,4.6,3.8,4.7,4,3.4,4.6,3.3,2.7,3.7,5.7,4.3,4.2,4.1,3.9,3.9,3.6,3.4,3.8,2.9,4.5,4.1,4,4.4,3.9,3.9,4.1
32,D&N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,13.2,14,15.5,11.9,9.4,11.3,9.8,8.7,9.6,11.4,11.4,12.2,9.4,8.2,9.2,8.2,7.9,6.6,7.8,6.5,6.8,6.1,5.2,5.1,4.8,4.8,5.4,4.8,4.7,4.6
33,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,8.1,7.1,8.9,8.3,8.5,9,7.5,8.6,7,8,9,5.9,7,7.1,6.6,6.7,6.6,6.6,5.8,5.6,5.5,5.5,5.3,5.1,4.9,4.9
34,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,7.4,7.2,4.9,6.3,6.6,6,5.8,4.7,6.1,6.2,7.1,7.6,6.3,6.2,6.2,4.7,6,5,5.2,5.2,7.3,6.3,6.4,6.5,7.1,5.8,6.4,6.4
35,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6.5,8.5,8.3,7.2,8.3,8,7.9,7.8,6.2,6.6,6.8,6.3,7.5,7.6,7.1,8,7.8,6.9,6.5,7,6.7,6.3,8,7.1,7.3,7.7,7.5,7,7.4,7.2
36,ALL INDIA,14.9,16.9,15.5,14.5,15.9,15,14.7,14.2,12.8,12.6,12.5,11.9,11.9,12.6,11.8,11.1,10.9,11,10.3,9.7,9.8,10.1,9.3,9.3,9,9,8.9,9,8.7,8.5,8.4,8.1,8,7.5,7.6,7.5,7.4,7.4,7.3,7.2,7.1
