"S.No.","Name of SRTU ","Avg. Fleet Held (Number)","Avg Fleet Operated (Number)","Avg Age of Fleet (Yrs)","% of Overage vehicles to total Fleet","Revenue Earning KMS (Lakhs)","Staff Strength (Number)","Fuel Efficiency (Km/litre of HSD)","Passenger KMS Offered (Lakhs)","Passenger KMS Performed (Lakhs)","Passenger Carried (Lakhs)","No.of Accidents  ","No. of Fatal Accidents "
33.0,"TN STC(Madurai)Ltd. Nagercoil regn",678.0,641.0,7.57,76.55,917.23,4287.0,4.47,56215.0,38569.0,2464.33,158.0,48.0
34.0,"TN STC(Madurai)Ltd., TNV regn.",818.0,747.0,6.98,72.96,1243.96,5936.0,4.69,80183.0,55719.0,2982.81,334.0,69.0
35.0,"TN STC(Salem)Ltd.",1566.0,1488.0,5.17,41.69,2378.3,10706.0,4.59,159211.62,111015.81,5452.06,587.0,106.0
36.0,"TN STC(Salem)Ltd.Dharampuri regn.",676.0,646.0,4.38,33.09,1060.23,4647.0,4.73,68166.45,52181.42,2230.38,299.0,41.0
37.0,"TN STC(Villupuram)Ltd.",1058.0,995.0,4.3,31.39,1743.88,6928.0,4.46,120677.0,95093.0,3024.77,494.0,117.0
38.0,"TN STC(Villupuram)Ltd. Vellore regn.",835.0,774.0,6.53,68.51,1220.46,5501.0,4.54,81152.0,59613.0,2826.51,479.0,65.0
39.0,"TN STC(Villupuram)Ltd.Kancheepuram",753.0,724.0,6.76,66.98,1166.6,5417.0,4.59,74098.0,53278.0,2280.98,264.0,68.0
40.0,"Tripura RTC",96.0,59.0,7.0,20.0,28.0,730.0,3.57,1316.0,1044.0,13.2,0.0,0.0
41.0,"Uttar Pradesh SRTC",7394.0,6909.0,5.06,43.2,7482.59,37747.0,4.88,387252.0,224606.0,3622.0,930.0,340.0
"Total","All India",103302.0,95997.08,"","",115407.69,653672.0,"",6613091.68,4123870.45,194719.76,21444.0,4127.0
