"Year","Arts  Total  2008-09","Arts  Total  2009-10","Arts  Women  2008-09","Arts  Women  2009-10","Science  Total  2008-09","Science  Total  2009-10","Science  Women  2008-09","Science  Women  2009-10","Commerce  Total  2008-09","Commerce  Total  2009-10","Commerce  Women  2008-09","Commerce  Women  2009-10","       Total  2008-09","       Total  2009-10","       Total  Women  2008-09","       Total  Women  2009-10","Education  Total   2008-09","Education  Total  2009-10","Education  Women   2008-09","Education  Women  2009-10","Engineering/Tech., Including Polytechnics Total   2008-09","Engineering/Tech., Including Polytechnics Total  2009-10","Engineering/Tech., Including Polytechnics Women   2008-09","Engineering/Tech., Including Polytechnics Women  2009-10","Medicine  Total   2008-09","Medicine  Total  2009-10","Medicine  Women   2008-09","Medicine  Women  2009-10","Agriculture  Total   2008-09","Agriculture  Total  2009-10","Agriculture  Women   2008-09","Agriculture  Women  2009-10","         Law  Total   2008-09","         Law  Total  2009-10","         Law  Women   2008-09","         Law  Women  2009-10","        Others  Total   2008-09","        Others  Total  2009-10","        Others  Women   2008-09","        Others  Women  2009-10","        Total   2008-09","        Total  2009-10","        Total  Women   2008-09","        Total  Women  2009-10"
"Jharkhand",102851.0,102860.0,37603.0,37609.0,29952.0,29974.0,9356.0,9364.0,40372.0,40372.0,10774.0,12878.0,173175.0,263987.0,57733.0,59851.0,1409.0,1409.0,940.0,940.0,11772.0,11772.0,2349.0,2349.0,552.0,3671.0,163.0,163.0,398.0,398.0,79.0,79.0,1878.0,1878.0,222.0,222.0,2168.0,1970.0,558.0,580.0,18177.0,21098.0,4311.0,4333.0
" Karnataka",161930.0,360702.0,78606.0,174619.0,50753.0,95618.0,28902.0,51180.0,90572.0,193486.0,41818.0,88114.0,303255.0,828302.0,149326.0,313913.0,9489.0,9489.0,4902.0,4902.0,181555.0,181830.0,66093.0,71651.0,69992.0,552.0,32539.0,32539.0,4636.0,4594.0,1483.0,1696.0,6968.0,9380.0,1445.0,2226.0,57816.0,6480.0,25094.0,2903.0,330456.0,212325.0,131556.0,115917.0
" Kerala",89217.0,82050.0,60311.0,52158.0,71904.0,76890.0,52187.0,55827.0,38863.0,40309.0,22014.0,23168.0,199984.0,692070.0,134512.0,131153.0,3541.0,3544.0,3046.0,3159.0,98792.0,101274.0,33709.0,34592.0,18360.0,69992.0,12440.0,12440.0,987.0,987.0,453.0,453.0,3309.0,3309.0,1880.0,1880.0,4304.0,4454.0,2177.0,2330.0,129293.0,183560.0,53705.0,54854.0
" Madhya Pradesh",327908.0,345734.0,169247.0,159593.0,33954.0,307385.0,61092.0,129394.0,122583.0,186475.0,52249.0,82995.0,484445.0,665681.0,282588.0,371982.0,15648.0,15648.0,7889.0,6135.0,5045.0,50315.0,11458.0,12323.0,3575.0,18360.0,670.0,7477.0,3301.0,2303.0,682.0,574.0,22697.0,18986.0,5180.0,4529.0,8299.0,58693.0,2383.0,20955.0,58565.0,164305.0,28262.0,51993.0
" Maharashtra",667811.0,636929.0,329584.0,345299.0,314112.0,294885.0,111523.0,98247.0,408153.0,553689.0,186690.0,89584.0,1390076.0,946410.0,627797.0,533130.0,63489.0,63489.0,33020.0,37810.0,246032.0,280603.0,58702.0,78560.0,23814.0,16340.0,7929.0,11063.0,12671.0,12671.0,3397.0,3397.0,35166.0,38420.0,14183.0,15622.0,70271.0,74983.0,27004.0,33972.0,451443.0,486506.0,144235.0,180424.0
" Manipur",13858.0,16375.0,6402.0,7424.0,10060.0,11339.0,4295.0,4839.0,1348.0,896.0,1136.0,299.0,25266.0,32161.0,11833.0,12562.0,854.0,854.0,515.0,544.0,395.0,494.0,130.0,150.0,170.0,28732.0,68.0,69.0,679.0,74.0,266.0,29.0,521.0,414.0,189.0,145.0,256.0,284.0,104.0,135.0,2875.0,30852.0,1272.0,1072.0
" Meghalaya",26868.0,22638.0,15776.0,12678.0,3791.0,2605.0,1792.0,1290.0,2618.0,1531.0,827.0,628.0,33277.0,39017.0,18395.0,14596.0,926.0,926.0,420.0,471.0,397.0,519.0,91.0,116.0,94.0,171.0,85.0,159.0,0.0,0.0,0.0,0.0,1417.0,905.0,611.0,417.0,698.0,365.0,308.0,197.0,3532.0,2886.0,1515.0,1360.0
" Mizoram",6685.0,8180.0,3299.0,3858.0,1823.0,1147.0,583.0,427.0,431.0,395.0,189.0,162.0,8939.0,64877.0,4071.0,4447.0,211.0,201.0,155.0,165.0,32.0,76.0,12.0,26.0,373.0,176.0,298.0,140.0,236.0,245.0,97.0,100.0,198.0,271.0,77.0,94.0,622.0,606.0,407.0,446.0,1672.0,1575.0,1046.0,971.0
" Nagaland",19256.0,23512.0,9242.0,11751.0,1787.0,2227.0,694.0,1023.0,3047.0,3049.0,1102.0,1000.0,24090.0,135797.0,11038.0,13774.0,277.0,277.0,160.0,98.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,241.0,56.0,107.0,24.0,368.0,412.0,126.0,132.0,1681.0,2602.0,826.0,12373.0,2567.0,3554.0,1219.0,12627.0
"Odisha",130524.0,138005.0,36384.0,38153.0,45171.0,54778.0,10120.0,12370.0,34270.0,34573.0,4946.0,5027.0,209965.0,369403.0,51450.0,55550.0,812.0,812.0,331.0,345.0,51231.0,113767.0,6832.0,21975.0,10587.0,27430.0,3566.0,17505.0,693.0,693.0,290.0,290.0,5319.0,8414.0,893.0,2267.0,38324.0,36706.0,12421.0,6832.0,106966.0,187822.0,24333.0,49214.0
" Punjab",133766.0,31036.0,79216.0,78673.0,31521.0,27222.0,21396.0,20401.0,22860.0,23093.0,11477.0,10984.0,188147.0,60362.0,112089.0,110058.0,6019.0,6019.0,4529.0,1975.0,53879.0,54001.0,11587.0,14310.0,10663.0,11530.0,7352.0,7424.0,1331.0,1286.0,430.0,396.0,504.0,1389.0,158.0,451.0,4817.0,19985.0,1857.0,6832.0,77213.0,94210.0,25913.0,31388.0
" Rajasthan",274857.0,295193.0,119021.0,127389.0,62160.0,64010.0,28599.0,27565.0,54953.0,65298.0,19141.0,21666.0,391970.0,661749.0,166761.0,176620.0,46994.0,46994.0,22668.0,22668.0,602.0,96007.0,11638.0,17339.0,13633.0,13633.0,4057.0,4057.0,3425.0,3602.0,592.0,693.0,9346.0,7280.0,2194.0,1750.0,13266.0,13427.0,5192.0,5313.0,87266.0,180943.0,46341.0,51820.0
" Sikkim",4008.0,2841.0,2233.0,1647.0,786.0,730.0,313.0,270.0,503.0,412.0,209.0,187.0,5297.0,14835.0,2755.0,2104.0,214.0,214.0,124.0,136.0,63688.0,2113.0,474.0,706.0,743.0,778.0,299.0,358.0,0.0,0.0,0.0,0.0,393.0,391.0,184.0,197.0,257.0,427.0,81.0,180.0,65295.0,3923.0,1162.0,1577.0
" Tamil Nadu",250420.0,274961.0,118706.0,138791.0,296889.0,308103.0,157896.0,156254.0,135061.0,145716.0,66852.0,7501.0,682370.0,1456085.0,343454.0,302546.0,22034.0,22034.0,13837.0,43749.0,1993.0,196983.0,71787.0,63706.0,44180.0,44180.0,25221.0,25221.0,874.0,1179.0,492.0,688.0,8836.0,8836.0,2657.0,2657.0,63337.0,67515.0,28094.0,30000.0,141254.0,340727.0,142088.0,166021.0
" Tripura",22963.0,21454.0,10894.0,10123.0,2875.0,2814.0,1085.0,1011.0,1523.0,1476.0,114.0,130.0,27361.0,261769.0,12093.0,11264.0,377.0,277.0,173.0,217.0,208583.0,2481.0,405.0,541.0,427.0,513.0,144.0,177.0,134.0,163.0,49.0,67.0,598.0,557.0,239.0,229.0,1123.0,777.0,459.0,290.0,211242.0,4768.0,1469.0,1521.0
" Uttar Pradesh",1304169.0,1508377.0,573781.0,672829.0,344184.0,324401.0,110459.0,127288.0,201685.0,211890.0,80810.0,72904.0,1850038.0,2225563.0,765050.0,873021.0,73256.0,73256.0,19448.0,19418.0,1689.0,96071.0,12119.0,34942.0,11751.0,11751.0,3509.0,3509.0,24400.0,22322.0,1611.0,1343.0,49117.0,46956.0,8067.0,9939.0,36477.0,24215.0,13091.0,6633.0,196690.0,274571.0,57845.0,75784.0
" Uttrakhand",73299.0,323581.0,46658.0,208268.0,21717.0,27681.0,11045.0,16935.0,23467.0,28573.0,9350.0,12298.0,118483.0,23,67053.0,237501.0,2198.0,2198.0,1440.0,1443.0,62158.0,6530.0,567.0,867.0,1811.0,1881.0,432.0,432.0,466.0,346.0,45.0,0.0,838.0,1494.0,188.0,279.0,2542.0,2668.0,862.0,927.0,70013.0,15117.0,3534.0,3948.0
" West Bengal",603575.0,630818.0,293191.0,302834.0,113996.0,147339.0,44573.0,65462.0,92135.0,10829.0,22894.0,24489.0,809706.0,23,360658.0,392785.0,9186.0,9186.0,3775.0,3948.0,54968.0,62940.0,11425.0,14480.0,13679.0,13535.0,4191.0,4249.0,21917.0,21896.0,2415.0,2416.0,6904.0,7124.0,2996.0,3050.0,12704.0,18162.0,4252.0,63320.0,119358.0,132843.0,29054.0,91463.0
" A & N Islands",1967.0,1934.0,1143.0,1101.0,375.0,355.0,223.0,210.0,495.0,455.0,213.0,213.0,2837.0,2917.0,1579.0,1524.0,216.0,216.0,174.0,174.0,0.0,97.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,319.0,54.0,221.0,322.0,632.0,228.0,429.0
" Chandigarh",26378.0,13533.0,12604.0,6423.0,8261.0,6583.0,5615.0,4527.0,10510.0,6570.0,5518.0,4114.0,45149.0,20386.0,23737.0,15064.0,2408.0,2408.0,1894.0,635.0,5037.0,2655.0,1113.0,582.0,1013.0,525.0,652.0,356.0,0.0,0.0,0.0,0.0,2115.0,2114.0,751.0,954.0,2192.0,2268.0,1302.0,1409.0,12765.0,9970.0,5712.0,3936.0
" D & N Haveli",165.0,165.0,86.0,86.0,532.0,532.0,223.0,223.0,717.0,717.0,319.0,319.0,1414.0,192541.0,628.0,628.0,46.0,46.0,13.0,13.0,0.0,0.0,0.0,0.0,188.0,188.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,255.0,41.0,58.0,421.0,489.0,155.0,172.0
" Daman & Diu",228.0,256.0,147.0,153.0,48.0,74.0,25.0,38.0,146.0,219.0,60.0,79.0,422.0,554.0,232.0,270.0,160.0,160.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,142.0,142.0
" Delhi",50726.0,221181.0,28421.0,123436.0,46163.0,45681.0,15558.0,15031.0,61358.0,121602.0,10632.0,53377.0,158247.0,278984.0,54611.0,191844.0,1662.0,1662.0,684.0,4011.0,14459.0,22087.0,2519.0,3988.0,4758.0,6487.0,2377.0,3316.0,1219.0,1281.0,292.0,296.0,6727.0,5564.0,1841.0,1695.0,9825.0,30203.0,3209.0,15271.0,38650.0,67284.0,10922.0,28577.0
" Lakshadweep",156.0,86.0,116.0,69.0,65.0,127.0,37.0,89.0,110.0,104.0,59.0,66.0,331.0,6508596.0,212.0,224.0,0.0," ..",0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,43.0,30.0,43.0,43.0,43.0,73.0
" Puducherry",14303.0,14303.0,8308.0,8308.0,3772.0,3772.0,2470.0,2470.0,2092.0,2092.0,1344.0,1344.0,20167.0,23,12122.0,12122.0,42.0,4632.0,3102.0,3102.0,9762.0,9762.0,3156.0,3156.0,2892.0,2892.0,2037.0,2037.0,201.0,194.0,71.0,71.0,561.0,561.0,156.0,156.0,587.0,587.0,182.0,182.0,14045.0,18628.0,8704.0,8704.0
